rxn,rxnNames,subSystem
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","Valine, leucine, and isoleucine metabolism"
3HKYNAKGAT,"3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase","Tryptophan metabolism"
3HLYTCL,"3-Hydroxy-L-tyrosine carboxy-lyase","Tyrosine metabolism"
3MLDAt,"3MLDA extracellular transport via diffusion","Transport, extracellular"
3MOBt2im,"3-methyl-2-oxobutanoate mitochondrial transport via proton symport","Transport, mitochondrial"
3MOPt2im,"3-Methyl-2-oxopentanoate mitochondrial transport via proton symport","Transport, mitochondrial"
3MOX4HOXPGALDOX,"3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase","Tyrosine metabolism"
3MOX4HOXPGALDOX_NADP_,"3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase","Tyrosine metabolism"
3SALAASPm,"cysteinesulfinate-aspartate mitochondrial shuttle","Transport, mitochondrial"
3SALACBOXL,"3-Sulfino-L-alanine carboxy-lyase","Taurine and hypotaurine metabolism"
3SALAOX,"cysteinesulfinic acid oxidase","Taurine and hypotaurine metabolism"
3SALATAi,"3-sulfino-alanine transaminase (irreversible)","Methionine and cysteine metabolism"
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial","Methionine and cysteine metabolism"
3SPYRSP,"3-sulfinopyruvate hydrolase (spotaneous reaction)","Methionine and cysteine metabolism"
3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial","Methionine and cysteine metabolism"
41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","Tyrosine metabolism"
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)","Tyrosine metabolism"
4ABUTtm,"4-aminobutanoate mitochondrial transport via diffusion","Transport, mitochondrial"
4HBZCOAFm,"4-hydroxybenzoyl-CoA formation","Ubiquinone synthesis"
4HBZFm,"4-hydroxybenzoate formation","Ubiquinone synthesis"
4HDEBRISOQUINEte,"xenobiotic transport","Transport, extracellular"
4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial","Arginine and Proline Metabolism"
4HOXPACDOX_NADP_,"4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase","Tyrosine metabolism"
4MOPt2im,"4-methyl-2-oxopentanoate mitochondrial transport  via proton symport","Transport, mitochondrial"
4MPTNLte,"4-methylpentanal transport","Transport, extracellular"
4MPTNLtm,"4-methylpentanal transport (mitochondria)","Transport, mitochondrial"
4MTOLBUTAMIDEte,"xenobiotic transport","Transport, extracellular"
4NPHSFte,"xenobiotic transport","Transport, extracellular"
4NPHSULT,"4-Nitrophenol Sulfotransferase","Cytochrome metabolism"
4NPHte,"xenobiotic transport","Transport, extracellular"
4PYRDX,"4-Pyridoxal secretion","Transport, extracellular"
5ADTSTSTERONEGLCte,"glucuronidated compound transport","Transport, extracellular"
5ADTSTSTERONEGLCtr,"glucuronidated compound transport","Transport, endoplasmic reticular"
5ADTSTSTERONESte,"sulfonated testosterone transport","Transport, extracellular"
5ADTSTSTERONESULT,"5alpha-Dihydrotestosterone sulfotransferase","Steroid metabolism"
5ADTSTSTERONEte,"5 alpha dihydrotesterone transport","Transport, extracellular"
5ADTSTSTERONEtr,"5 alpha dihydrotesterone intracellular transport","Transport, endoplasmic reticular"
5AOPtm,"5-Aminolevulinate mitochondrial transport","Heme synthesis"
5DHFtl,"5-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
5FTHFt2,"5-formyltetrahydrofolate transport via anion exchange","Transport, extracellular"
5HLTDL,"5-Hydroxy-L-tryptophan decarboxy-lyase","Tryptophan metabolism"
5HOMEPRAZOLEte,"xenobiotic transport","Transport, extracellular"
5HOXINDACTO2OX,"5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase","Tryptophan metabolism"
5HTRPVESSEC,"5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven)","Transport, extracellular"
5MTHFt,"5-Methyltetrahydrofolate transport via receptor binding and protolysis","Transport, extracellular"
5MTHFt2,"5-methyltetrahydrofolate transport via anion exchange","Transport, extracellular"
5THFtl,"5-glutamyl-THF transport, lysosomal","Transport, lysosomal"
5THFtm,"5-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
6DHFtl,"6-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
6DHFtm,"6-glutamyl-DHF transport,m mitochondrial","Transport, mitochondrial"
6HTSTSTERONEte,"hydroxylated testosterone transport","Transport, extracellular"
6HTSTSTERONEtr,"hydroxylated testosterone transport","Transport, endoplasmic reticular"
6THFtl,"6-glutamyl-THF transport, lysosomal","Transport, lysosomal"
6THFtm,"6-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
7DHCHSTEROLtr,"cholesterol precursor intracellular transport","Transport, endoplasmic reticular"
7DHFtl,"7-glutamyl-DHF transport, lysosomal","Transport, lysosomal"
7DHFtm,"7-glutamyl-DHF transport,m mitochondrial","Transport, mitochondrial"
7THFtl,"7-glutamyl-THF transport, lysosomal","Transport, lysosomal"
7THFtm,"7-glutamyl-THF transport,m mitochondrial","Transport, mitochondrial"
A_MANASEly,"alpha-mannosidase, lysosomal","N-glycan degradation"
A4GALTg,"Lactosylceramide 4-alpha-galactosyltransferase","Sphingolipid metabolism"
A4GNT2g,"alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus","O-glycan synthesis"
AACOAT,"Acetoacetyl-CoA:acetate CoA-transferase","Propanoate metabolism"
AACTOOR,"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)","Glycine, serine, alanine and threonine metabolism"
AACTtm,"Aminoacetone transport (mitochondrial)","Transport, mitochondrial"
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial","Lysine metabolism"
AATAi,"2-aminoadipate transaminase, irreversible","Lysine metabolism"
ABO1g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO2g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO3g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO4g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO5g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO6g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO7g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO8g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABO9g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","Blood group synthesis"
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)","Glutamate metabolism"
ABTD,"L-arabinitol 4-dehydrogenase","Pentose phosphate pathway"
ABTti,"L-arabinitol transport via passive diffusion","Transport, extracellular"
ABUTD,"Aminobutyraldehyde dehydrogenase","beta-Alanine metabolism"
ABUTt2r,"4-aminobutyrate reversible transport in via proton symport","Transport, extracellular"
ABUTt4_2_r,"4-aminobutyrate reversible transport in via sodium symport (1:2)","Transport, extracellular"
ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial","Valine, leucine, and isoleucine metabolism"
ACACT1r,"acetyl-CoA C-acetyltransferase","Tryptophan metabolism"
ACACT1rm,"acetyl-CoA C-acetyltransferase, mitochondrial","Tryptophan metabolism"
ACACT1x,"acetyl-CoA C-acetyltransferase, mitochondrial","Cholesterol metabolism"
ACACt2,"acetoacetate transport via proton symport","Transport, extracellular"
ACACt2m,"Acetoacetate mitochondrial transport via H+ symport","Transport, mitochondrial"
ACACT4p,"acetyl-CoA C-acetyltransferase (octanoyl-CoA), peroxisomal","Fatty acid oxidation"
ACACT5p,"acetyl-CoA C-acyltransferase (decanoyl-CoA), peroxisomal","Fatty acid oxidation"
ACACT6p,"acetyl-CoA C-acetyltransferase (dodecanoyl), peroxisomal","Fatty acid oxidation"
ACACT7p,"acetyl-CoA acyltransferase (tetradecanoyl-CoA), peroxisomal","Fatty acid oxidation"
ACACtx,"acetoacetate intracellular transport unknown mechanism","Transport, peroxisomal"
ACALDt,"acetaldehyde reversible transport","Transport, extracellular"
ACALDtm,"acetaldehyde mitochondrial diffusion","Transport, mitochondrial"
ACALDtr,"acetaldehyde reversible transport (ER)","Transport, endoplasmic reticular"
ACALDtx,"acetaldehyde peroxisomal diffusion","Transport, peroxisomal"
ACCOAC,"acetyl-CoA carboxylase","Fatty acid oxidation"
ACCOACm,"Acetyl-Coa carboxylase, beta isoform","Fatty acid oxidation"
ACCOAgt,"acetyl-coa transport","Transport, extracellular"
ACCOAL,"acetate-CoA ligase (ADP-forming)","Propanoate metabolism"
ACCOALm,"acetate-CoA ligase (AMP-forming)","Propanoate metabolism"
ACCOAtn,"acetyl-CoA transport, nuclear","Transport, nuclear"
ACCOAtr,"acetyl-coa transport","Transport, endoplasmic reticular"
ACETONEt2,"acetone transport via proton symport","Transport, extracellular"
ACETONEt2m,"acetone mitochondrial transport via proton symport","Transport, mitochondrial"
ACGAGBSIDEtg,"acgagbside hs intracellular transport","Transport, golgi apparatus"
ACGAGBSIDEtl,"acgagbside hs intracellular transport","Transport, lysosomal"
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,"blood group intracellular transport","Transport, extracellular"
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,"blood group intracellular transport","Transport, golgi apparatus"
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,"blood group intracellular transport","Transport, extracellular"
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,"blood group intracellular transport","Transport, golgi apparatus"
ACGALK,"N-acetylgalactosamine kinase","Aminosugar metabolism"
ACGALK2,"N-acetylgalactosamine kinase (ITP)","Aminosugar metabolism"
ACGALtlg,"N-acetyl-galactosamine intracellular transport","Transport, golgi apparatus"
ACGALtly,"N-acetyl-galactosamine lysosomal efflux","Transport, lysosomal"
ACGAM2E,"N-acetylglucosamine 2-epimerase","Aminosugar metabolism"
ACGAM6PSi,"N-acetylglucosamine-6-phosphate synthase","Aminosugar metabolism"
ACGAMK,"N-acetylglucosamine kinase","Aminosugar metabolism"
ACGAMPM,"phosphoacetylglucosamine mutase","Aminosugar metabolism"
ACGAMtly,"N-acetyl-glucosamine lysosomal efflux","Transport, lysosomal"
ACGBGBSIDEtg,"acgbgbside hs intracellular transport","Transport, golgi apparatus"
ACGBGBSIDEtl,"acgbgbside hs intracellular transport","Transport, lysosomal"
ACGPID,"N-acetylglucosaminylphosphatidylinositol deacetylase","Phosphatidylinositol phosphate metabolism"
ACHEe,"Acetylcholinesterase","Glycerophospholipid metabolism"
ACHtn,"Acetylcholin transport, nuclear trhough pores","Transport, nuclear"
ACHVESSEC,"Acetylcholine secretion via secretory vesicle (ATP driven)","Transport, extracellular"
ACITL,"ATP-Citrate lyase","Citric acid cycle"
ACN13ACNGALGBSIDEte,"acn13acngalgbside hs transport","Transport, extracellular"
ACN13ACNGALGBSIDEtg,"acn13acngalgbside hs intracellular transport","Transport, golgi apparatus"
ACN23ACNGALGBSIDEte,"acn23acngalgbside transport","Transport, extracellular"
ACN23ACNGALGBSIDEtg,"acn23acngalgbside intracellular transport","Transport, golgi apparatus"
ACNACNGAL14ACGLCGALGLUSIDEte,"blood group intracellular transport","Transport, extracellular"
ACNACNGAL14ACGLCGALGLUSIDEtg,"blood group intracellular transport","Transport, golgi apparatus"
ACNACNGALGBSIDEte,"acnacngalgbside hs transport","Transport, extracellular"
ACNACNGALGBSIDEtg,"acnacngalgbside hs intracellular transport","Transport, golgi apparatus"
ACNAM9PL,"N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)","Aminosugar metabolism"
ACNAM9PL2,"N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating)","Aminosugar metabolism"
ACNAMlt,"N-acetylneuraminate transport into lysososme","Transport, lysosomal"
ACNAMPH,"N-Acetylneuraminate 9-phosphate phosphohydrolase","Aminosugar metabolism"
ACNAMtn,"N-acetylneuraminate nuclear import","Transport, nuclear"
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,"blood group intracellular transport","Transport, extracellular"
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,"blood group intracellular transport","Transport, golgi apparatus"
ACNMLr,"N-Acetylneuraminate lyase (reversible)","Aminosugar metabolism"
ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism"
ACOAD1fm,"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial","Butanoate metabolism"
ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism"
ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial","Valine, leucine, and isoleucine metabolism"
ACOAHi,"acetyl-CoA hydrolase","Pyruvate metabolism"
ACOAO7p,"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal","Fatty acid oxidation"
ACONT,"aconitase","Citric acid cycle"
ACONTm,"Aconitate hydratase","Citric acid cycle"
ACOX22x,"acyl-Coenzyme A oxidase 2, branched chain","Bile acid synthesis"
ACOX2x,"acyl-Coenzyme A oxidase 2, branched chain","Bile acid synthesis"
ACP1_FMN_,"acid phosphatase (FMN)","Vitamin B2 metabolism"
ACRNtm,"O-acetylcarnintine transport into mitochondria via diffusion","Transport, mitochondrial"
ACS,"acetyl-CoA synthetase","Glycolysis/gluconeogenesis"
ACS2,"acetyl-CoA synthase (propionate)","Propanoate metabolism"
ACSm,"acetyl-CoA synthetase","Glycolysis/gluconeogenesis"
ACt2m,"acetate mitochondrial transport via proton symport","Transport, mitochondrial"
ACt2r,"acetate reversible transport via proton symport","Transport, extracellular"
ACTLMO,"acetol monooxygenase","Pyruvate metabolism"
ACTNMO,"acetone monooxygenase","Pyruvate metabolism"
ACYP,"acylphosphatase","Glycolysis/gluconeogenesis"
ADA,"Adenosine deaminase","Purine catabolism"
ADAe,"Adenosine deaminase, extracellular","Purine catabolism"
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial","Propanoate metabolism"
ADEt,"adenine reversible transport, cytosol","Transport, extracellular"
ADK1,"adenylate kinase","Nucleotide interconversion"
ADK1m,"adenylate kinase, mitochondrial","Nucleotide interconversion"
ADK3,"adentylate kinase (GTP)","Nucleotide interconversion"
ADK3m,"adentylate kinase (GTP)","Nucleotide interconversion"
ADKd,"adenylate kinase (d form)","Nucleotide interconversion"
ADMDC,"adenosylmethionine decarboxylase","Arginine and Proline Metabolism"
ADNCYC,"adenylate cyclase","Nucleotide interconversion"
ADNK1,"adenosine kinase","Nucleotide interconversion"
ADNK1m,"adenosine kinase, mitochondrial","Nucleotide interconversion"
ADNt,"adenosine facilated transport in cytosol","Transport, extracellular"
ADNt4,"adenosine transport (Na/Adn cotransport)","Transport, extracellular"
ADNtm,"adenosine facilated transport in mitochondria","Transport, mitochondrial"
ADPRDP,"ADPribose diphosphatase","Nucleotide interconversion"
ADPRIBt,"ADPribose transport","Transport, extracellular"
ADPT,"adenine phosphoribosyltransferase","Nucleotide salvage pathway"
ADPtx,"ADP transporter, peroxisomal","Transport, peroxisomal"
ADRNCOAtx,"fatty acid intracellular transport","Transport, peroxisomal"
ADRNCPT1,"carnitine O-palmitoyltransferase","Fatty acid oxidation"
ADRNCPT2,"carnitine transferase","Fatty acid oxidation"
ADRNCRNt,"transport into the mitochondria (carnitine)","Fatty acid oxidation"
ADRNLPVESSEC,"Adrenaline secretion via secretory vesicle (ATP driven)","Transport, extracellular"
ADRNt,"fatty acid transport via diffusion","Transport, extracellular"
ADSK,"adenylyl-sulfate kinase","Nucleotide interconversion"
ADSL1,"adenylosuccinate lyase","Nucleotide interconversion"
ADSL2,"adenylosuccinate lyase","Purine synthesis"
ADSS,"adenylosuccinate synthase","Nucleotide interconversion"
AFLATOXINte,"xenobiotic transport","Transport, extracellular"
AG13T10g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T11g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T12g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T13g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T14g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T15g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T16g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T17g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T18g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T1g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T2g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T3g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T4g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T5g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T6g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T7g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T8g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AG13T9g,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, Golgi apparatus","Keratan sulfate synthesis"
AGDC,"N-acetylglucosamine-6-phosphate deacetylase","Aminosugar metabolism"
AGMTm,"agmatinase (m)","Arginine and Proline Metabolism"
AGPAT1,"1-acylglycerol-3-phosphate O-acyltransferase 1","Triacylglycerol synthesis"
AGTim,"alanine-glyoxylate transaminase (irreversible), mitochondrial","Alanine and aspartate metabolism"
AGTix,"alanine-glyoxylate transaminase (irreversible), (peroxisomal)","Alanine and aspartate metabolism"
AHC,"adenosylhomocysteinase","Methionine and cysteine metabolism"
AHCYStr,"S-Adenosyl-L-homocysteine intracellular diffusion","Transport, endoplasmic reticular"
AHEXASE2ly,"beta-N-acetylhexosaminidase, lysosomal","N-glycan degradation"
AHEXASEly,"beta-N-acetylhexosaminidase, lysosomal","N-glycan degradation"
AICART,"phosphoribosylaminoimidazolecarboxamide formyltransferase","Purine synthesis"
AIRCr,"phosphoribosylaminoimidazole carboxylase","Purine synthesis"
AK2LGCHOLt,"1-alkyl 2-acylglycerol 3-phosphocholine transport","Transport, extracellular"
AKGDm,"2-oxoglutarate dehydrogenase","Citric acid cycle"
AKGMALtm,"alpha-ketoglutarate/malate transporter","Transport, mitochondrial"
AKGt4_3,"AKG transport via sodium symport","Transport, extracellular"
AKGtp,"AKG transporter, peroxisome","Transport, peroxisomal"
AKR1C1,"aldo-keto reductase family 1, member C1 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)","Steroid metabolism"
AKR1C41,"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)","Bile acid synthesis"
AKR1C42,"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)","Bile acid synthesis"
AKR1D,"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)","Bile acid synthesis"
AKR1D2,"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)","Bile acid synthesis"
ALAASNNaEx,"L-alanine/L-asparagine Na-dependent exchange (Ala-L in)","Transport, extracellular"
ALACYSNaEx,"L-alanine/L-cysteine Na-dependent exchange (Ala-L in)","Transport, extracellular"
ALADGLNexR,"L-alanine/glutamine reversible exchange","Transport, extracellular"
ALADGLYexR,"D-alanine/glycine reversible exchange","Transport, extracellular"
ALAGLNexR,"L-alanine/glutamine reversible exchange","Transport, extracellular"
ALAGLNNaEx,"L-alanine/L-glutamine Na-dependent exchange (Ala-L in)","Transport, extracellular"
ALAGLYexR,"L-alanine/glycine reversible exchange","Transport, extracellular"
ALAR,"alanine racemase","Alanine and aspartate metabolism"
ALASERNaEx,"L-alanine/L-serine Na-dependent exchange (Ala-L in)","Transport, extracellular"
ALASm,"5-aminolevulinate synthase","Glycine, serine, alanine and threonine metabolism"
ALAt2r,"L-alanine reversible transport via proton symport","Transport, extracellular"
ALAt4,"Alanine-Sodium symporter","Transport, extracellular"
ALATA_L,"L-alanine transaminase","Glutamate metabolism"
ALATHRNaEx,"L-alanine/L-threonine Na-dependent exchange (Ala-L in)","Transport, extracellular"
