Var1,Var2
"Transport, extracellular","5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis"
"Transport, extracellular","5-Methyltetrahydrofolate Transport via Anion Exchange"
"Transport, lysosomal","5-Glutamyl-Thf Transport, Lysosomal"
"Transport, mitochondrial","5-Glutamyl-Thf Transport, M Mitochondrial"
"Transport, lysosomal","6-Glutamyl-Dhf Transport, Lysosomal"
"Transport, mitochondrial","6-Glutamyl-Dhf Transport, M Mitochondrial"
"Transport, extracellular","Hydroxylated Testosterone Transport"
"Transport, endoplasmic reticular","Hydroxylated Testosterone Transport"
"Transport, lysosomal","6-Glutamyl-Thf Transport, Lysosomal"
"Transport, mitochondrial","6-Glutamyl-Thf Transport, M Mitochondrial"
"Transport, endoplasmic reticular","Cholesterol Precursor Intracellular Transport"
"Transport, lysosomal","7-Glutamyl-Dhf Transport, Lysosomal"
"Transport, mitochondrial","7-Glutamyl-Dhf Transport, M Mitochondrial"
"Transport, lysosomal","7-Glutamyl-Thf Transport, Lysosomal"
"Transport, mitochondrial","7-Glutamyl-Thf Transport, M Mitochondrial"
N-glycan degradation,"Alpha-Mannosidase, Lysosomal"
Sphingolipid metabolism,"Lactosylceramide 4-Alpha-Galactosyltransferase"
Sphingolipid metabolism,"Lactosylceramide 4-Alpha-Galactosyltransferase"
O-glycan metabolism,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus"
O-glycan metabolism,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus"
"Glycine, serine, alanine, and threonine metabolism","Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)"
"Transport, mitochondrial","Aminoacetone Transport, Mitochondrial"
Lysine metabolism,"L-Aminoadipate-Semialdehyde Dehydrogenase (NADH), Mitochondrial"
Lysine metabolism,"2-Aminoadipate Transaminase, Irreversible"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase"
Glutamate metabolism,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial"
Pentose phosphate pathway,"L-Arabinitol 4-Dehydrogenase"
"Transport, extracellular","L-Arabinitol Transport via Passive Diffusion"
"Transport, lysosomal","4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal"
"Transport, extracellular","4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2)"
"Valine, leucine, and isoleucine metabolism","Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial"
Tryptophan metabolism,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial"
Cholesterol metabolism,"Acetyl Coenzyme A C-Acetyltransferase"
"Transport, mitochondrial","Acetoacetate Mitochondrial Transport via H+ Symport"
Fatty acid oxidation,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal"
Fatty acid oxidation,"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal"
Fatty acid oxidation,"Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal"
Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal"
Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal"
Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal"
"Transport, peroxisomal","Acetoacetate Intracellular Transport Unknown Mechanism"
"Transport, mitochondrial","Acetaldehyde Mitochondrial Diffusion"
"Transport, endoplasmic reticular","Acetaldehyde Reversible Transport, Endoplasmatic Reticulum"
"Transport, peroxisomal","Acetaldehyde Peroxisomal Diffusion"
Fatty acid oxidation,"Acetyl Coenzyme A Carboxylase, Beta Isoform"
"Transport, extracellular","Acetyl Coenzyme A Transport"
Propanoate metabolism,"Acetate Coenzyme A Ligase (AMP-Forming)"
"Transport, nuclear","Acetyl Coenzyme A Transport, Nuclear"
"Transport, endoplasmic reticular","Acetyl Coenzyme A Transport"
"Transport, extracellular","Acetone Transport via Proton Symport"
"Transport, mitochondrial","Acetone Mitochondrial Transport via Proton Symport"
"Transport, golgi apparatus","Acgagbside Hs Intracellular Transport"
"Transport, lysosomal","Acgagbside Hs Intracellular Transport"
"Transport, extracellular","Blood Group Intracellular Transport"
"Transport, golgi apparatus","Blood Group Intracellular Transport"
"Transport, extracellular","Blood Group Intracellular Transport"
"Transport, golgi apparatus","Blood Group Intracellular Transport"
Aminosugar metabolism,"N-Acetylgalactosamine Kinase"
Aminosugar metabolism,"N-Acetylgalactosamine Kinase (ITP)"
"Transport, golgi apparatus","N-Acetyl-Galactosamine Intracellular Transport"
"Transport, lysosomal","N-Acetyl-Galactosamine Lysosomal Efflux"
Aminosugar metabolism,"N-Acetylglucosamine-6-Phosphate Synthase"
Aminosugar metabolism,"N-Acetylglucosamine Kinase"
Aminosugar metabolism,"Phosphoacetylglucosamine Mutase"
"Transport, lysosomal","N-Acetyl-Glucosamine Lysosomal Efflux"
"Transport, golgi apparatus","Acgbgbside Hs Intracellular Transport"
"Transport, lysosomal","Acgbgbside Hs Intracellular Transport"
Phosphatidylinositol phosphate metabolism,"N-Acetylglucosaminylphosphatidylinositol Deacetylase"
Urea cycle,"N-Acteylglutamate Synthase, Mitochondrial"
Glycerophospholipid metabolism,"Acetylcholinesterase"
"Transport, nuclear","Acetylcholin Transport, Nuclear through Pores"
"Transport, extracellular","Acetylcholine Secretion via Secretory Vesicle (ATP Driven)"
Citric acid cycle,"ATP-Citrate Lyase"
"Transport, extracellular","Acn13Acngalgbside Hs Transport"
"Transport, golgi apparatus","Acn13Acngalgbside Hs Intracellular Transport"
"Transport, extracellular","Acn23Acngalgbside Transport"
"Transport, golgi apparatus","Acn23Acngalgbside Intracellular Transport"
"Transport, extracellular","Blood Group Intracellular Transport"
"Transport, golgi apparatus","Blood Group Intracellular Transport"
"Transport, extracellular","Acnacngalgbside Hs Transport"
"Transport, golgi apparatus","Acnacngalgbside Hs Intracellular Transport"
Aminosugar metabolism,"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)"
Aminosugar metabolism,"N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating)"
"Transport, lysosomal","N-Acetylneuraminate Transport into Lysososme"
Aminosugar metabolism,"N-Acetylneuraminate 9-Phosphate Phosphohydrolase"
"Transport, nuclear","N-Acetylneuraminate Nuclear Import"
"Transport, extracellular","Blood Group Intracellular Transport"
"Transport, golgi apparatus","Blood Group Intracellular Transport"
Aminosugar metabolism,"N-Acetylneuraminate Lyase (Reversible)"
"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial"
Butanoate metabolism,"Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial"
"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (Isovaleryl Coenzyme A), Mitochondrial"
"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial"
Pyruvate metabolism,"Acetyl Coenzyme A Hydrolase"
Fatty acid oxidation,"Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal"
Urea cycle,"Acetylornithine Deacetylase"
Citric acid cycle,"Aconitate Hydratase"
Bile acid synthesis,"Acyl-Coenzyme A Oxidase 2, Branched Chain"
Bile acid synthesis,"Acyl-Coenzyme A Oxidase 2, Branched Chain"
Vitamin B2 metabolism,"Acid Phosphatase (FMN)"
"Transport, mitochondrial","O-Acetylcarnintine Transport into Mitochondria via Diffusion"
Propanoate metabolism,"Acetyl Coenzyme A Synthase (Propionate)"
Glycolysis/gluconeogenesis,"Acetyl Coenzyme A Synthetase"
Tryptophan metabolism,"S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase"
"Transport, mitochondrial","Acetate Mitochondrial Transport via Proton Symport"
"Transport, extracellular","Acetate Reversible Transport via Proton Symport"
"Transport, golgi apparatus","Acetate Transport, Golgi Apparatus"
Pyruvate metabolism,"Acetol Monooxygenase"
Pyruvate metabolism,"Acetone Monooxygenase"
Purine catabolism,"Adenosine Deaminase"
Purine catabolism,"Adenosine Deaminase, Extracellular"
Propanoate metabolism,"Acetoacetate Decarboxylation (Irreversible), Mitochondrial"
"Transport, extracellular","Adenine Reversible Transport, Cytosol"
Nucleotide interconversion,"Adenylate Kinase, Mitochondrial"
Nucleotide interconversion,"Adentylate Kinase (GTP)"
Nucleotide interconversion,"Adentylate Kinase (GTP)"
Nucleotide interconversion,"Adenylate Kinase (D Form)"
Arginine and proline metabolism,"Adenosylmethionine Decarboxylase"
Nucleotide interconversion,"Adenylate Cyclase"
Nucleotide interconversion,"Adenosine Kinase, Mitochondrial"
"Transport, extracellular","Adenosine Faciliated Transport in Cytosol"
"Transport, extracellular","Adenosine Transport (Na/Adn Symport)"
"Transport, lysosomal","Adenosine Faciliated Transport from Lysosome"
"Transport, mitochondrial","Adenosine Faciliated Transport in Mitochondria"
Nucleotide interconversion,"ADPmannose Diphosphatase"
"Transport, extracellular","ADPribose Transport"
"Transport, peroxisomal","ADP Transporter, Peroxisomal"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
Fatty acid oxidation,"Carnitine O-Palmitoyltransferase"
Fatty acid oxidation,"Carnitine Transferase"
Fatty acid oxidation,"Transport into the Mitochondria (Carnitine)"
"Transport, extracellular","Adrenaline Secretion via Secretory Vesicle (ATP Driven)"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
Nucleotide interconversion,"Adenylyl-Sulfate Kinase"
Nucleotide interconversion,"Adenylosuccinate Lyase"
Purine synthesis,"Adenylosuccinate Lyase"
"Transport, extracellular","Transport of Xenobiotic"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Keratan sulfate synthesis,"N-Acetyllactosaminide Beta-1, 3-N-Acetylglucosaminyltransferase, Golgi Apparatus"
Arginine and proline metabolism,"Agmatinase, Mitochondrial"
Triacylglycerol synthesis,"1-Acylglycerol-3-Phosphate O-Acyltransferase 1"
Alanine and aspartate metabolism,"Alanine-Glyoxylate Transaminase (Irreversible), Mitochondrial"
Alanine and aspartate metabolism,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal"
"Transport, extracellular","Glucuronidated Compound Transport"
"Transport, endoplasmic reticular","Glucuronidated Compound Transport"
"Transport, endoplasmic reticular","S-Adenosyl-L-Homocysteine Intracellular Diffusion"
N-glycan degradation,"Beta-N-Acetylhexosaminidase, Lysosomal"
N-glycan degradation,"Beta-N-Acetylhexosaminidase, Lysosomal"
Purine synthesis,"Phosphoribosylaminoimidazole Carboxylase"
Citric acid cycle,"2-Oxoglutarate Dehydrogenase"
"Transport, mitochondrial","Alpha-Ketoglutarate/Malate Transporter"
"Transport, extracellular","Akg Transport via Sodium Symport"
"Transport, peroxisomal","Akg Transporter, Peroxisome"
Steroid metabolism,"Aldo-Keto Reductase Family 1, Member C1 (Chlordecone Reductase"
Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase"
Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase"
Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)"
Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)"
"Transport, extracellular","L-Alanine/L-Asparagine Na-Dependent Exchange (Ala-L In)"
"Transport, extracellular","L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In)"
"Transport, extracellular","L-Alanine/Glutamine Reversible Antiport"
"Transport, extracellular","D-Alanine/Glycine Reversible Antiport"
"Transport, extracellular","L-Alanine/Glutamine Reversible Antiport"
"Transport, extracellular","L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In)"
"Transport, extracellular","L-Alanine/Glycine Reversible Antiport"
"Transport, extracellular","L-Alanine/L-Serine Na-Dependent Exchange (Ala-L In)"
"Glycine, serine, alanine, and threonine metabolism","5-Aminolevulinate Synthase"
"Transport, extracellular","Alanine-Sodium Symporter"
Glutamate metabolism,"L-Alanine Transaminase"
"Transport, extracellular","L-Alanine/L-Threonine Na-Dependent Exchange (Ala-L In)"
"Transport, extracellular","Alanine Transport (Na, H Coupled)"
Pyruvate metabolism,"Alcohol Dehydrogenase (D-1, 2-Propanediol)"
Pyruvate metabolism,"Alcohol Dehydrogenase (L-1, 2-Propanediol)"
Pyruvate metabolism,"Alcohol Dehydrogenase (D-Lactaldehyde)"
Pyruvate metabolism,"Alcohol Dehydrogenase (L-Lactaldehyde)"
Glycolysis/gluconeogenesis,"Alcohol Dehydrogenase, Forward Rxn (Ethanol -> Acetaldehyde)"
Glycolysis/gluconeogenesis,"Alcohol Dehydrogenase (Ethanol, NADP), Forward Reaction"
Tryptophan metabolism,"Aldehyde Dehydrogenase (Indole-3-Acetaldehyde, NAD)"
Tryptophan metabolism,"Aldehyde Dehydrogenase (Indole-3-Acetaldehyde, NAD), Mitochondrial"
Fatty acid oxidation,"Aldehyde Dehydrogenase (Pristanal, NAD)"
Glycolysis/gluconeogenesis,"Aldehyde Dehydrogenase (Acetylaldehyde, NAD), Mitochondrial"
Glycolysis/gluconeogenesis,"Aldehyde Dehydrogenase (Acetaldehyde, NADP)"
"Transport, extracellular","Aldosterone Transport"
"Transport, mitochondrial","Aldosterone Intracellular Transport"
Eicosanoid metabolism,"Arachidonate 12-Lipoxygenase"
Eicosanoid metabolism,"Arachidonate 15-Lipoxygenase"
Eicosanoid metabolism,"Arachidonate 5-Lipoxygenase"
Eicosanoid metabolism,"Arachidonate 5-Lipoxygenase"
Pyruvate metabolism,"Aldose Reductase (Methylglyoxal)"
Pyruvate metabolism,"Aldose Reductase (Acetol)"
Bile acid synthesis,"Alpha-Methylacyl Coenzyme A Racemase (Reductase)"
Bile acid synthesis,"Alpha-Methylacyl Coenzyme A Racemase"
Tryptophan metabolism,"2-Aminomuconate Reductase"
"Transport, endoplasmic reticular","S-Adenosyl-L-Methionine Intracellular Diffusion"
"Transport, mitochondrial","S-Adenosyl-L-Methionine Reversible Transport, Mitochondrial"
Nucleotide interconversion,"Adenosine Monophosphate Deaminase"
Glutathione metabolism,"Alanyl Aminopeptidase (Cys-Gly) (E)"
"Transport, peroxisomal","AMP Transporter, Peroxisome"
Starch and sucrose metabolism,"Alpha-Amylase, Extracellular (Strch1 -> Strch2)"
Starch and sucrose metabolism,"Alpha-Amylase, Extracellular (Glygn2 -> Glygn4)"
"Transport, extracellular","Glucuronidated Compound Transport"
"Transport, endoplasmic reticular","Glucuronidated Compound Transport, Endoplasmatic Reticulum"
"Transport, extracellular","Androsterone Transport"
"Transport, endoplasmic reticular","Androsterone Intracellular Transport"
"Transport, extracellular","Transport of Antipyrine"
"Glycine, serine, alanine, and threonine metabolism","L-2-Amino-3-Oxobutanoate Decarboxylation, Mitochondrial (Spontaneous)"
Beta-Alanine metabolism,"3-Aminopropanoate:2-Oxoglutarate Aminotransferase, Mitochondrial"
"Transport, extracellular","Transport of Alpha-Pinene Oxide"
Biotin metabolism,"Apocarboxylase Formation"
Biotin metabolism,"Apocarboxylase Formation, Mitochondrial"
Biotin metabolism,"Proteolysis of ApoC-Lys-Biotin"
Biotin metabolism,"Proteolysis of ApoC-Lys-Biotin, Mitochondrial"
"Transport, extracellular","Transport of (+)-Alpha-Pinene"
Arginine and proline metabolism,"N-Acetylputrescine: Oxygen Oxireductase (Deaminating)"
"Transport, extracellular","Aquacob-(III)-Alamin Uptake"
"Transport, extracellular","L-Arabinoase Extracellular Transport"
Pentose phosphate pathway,"Arabinose Reductase"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
Fatty acid oxidation,"Carnitine Transferase"
Fatty acid oxidation,"Carnitine Transferase"
Fatty acid oxidation,"Transport into the Mitochondria (Carnitine)"
"Transport, peroxisomal","Fatty Acid Intracellular Transport"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
"Transport, endoplasmic reticular","Intracellular Transport"
"Transport, extracellular","Fatty Acid Transport via Diffusion"
Arginine and proline metabolism,"Arginine Decarboxylase, Mitochondrial"
"Transport, extracellular","Arginine/Lysine Exchanger (Arg In)"
Urea cycle,"Arginase, Mitochondrial"
Alanine and aspartate metabolism,"Argininosuccinate Synthase"
"Transport, extracellular","L-Arginine Transport in via Sodium Symport"
"Transport, mitochondrial","Arginine Mitochondrial Transport via Ornithine Carrier"
Sphingolipid metabolism,"Arylsulfatase A"
R group synthesis,"R Group Coenzyme A Ligase"
R group synthesis,"R Group Coenzyme A Ligase"
R group synthesis,"R Group Coenzyme A Ligase"
Miscellaneous,"R Group Phosphotase 1"
Miscellaneous,"R Group Phosphotase 2"
Miscellaneous,"R Group Phosphotase 3"
R group synthesis,"R Group Artificial Flux"
R group synthesis,"R Group to Palmitate Conversion"
R group synthesis,"R Group to Palmitate Conversion"
Sphingolipid metabolism,"N-Acylsphingosine Amidohydrolase"
Vitamin C metabolism,"Ascorbic Acid Oxidase"
"Transport, extracellular","L-Ascorbate Transport via Facilitated Diffusion"
"Transport, extracellular","L-Ascorbate Transport via Proton Symport"
"Transport, extracellular","L-Alanine/L-Asparagine Na-Dependent Exchange (Asn-L In)"
"Transport, extracellular","L-Cysteine/L-Asparagine Na-Dependent Exchange (Asn-L In)"
"Transport, extracellular","L-Glutamine/L-Asparagine Na-Dependent Exchange (Asn-L In)"
Alanine and aspartate metabolism,"L-Asparaginase, Mitochondrial"
