Drug_Pair,Gene_Pair,Phenotype_Essentiality,Phenotype_Safety,Number_Genes,Drugs1,Drugs2
Aminolevulinic acid;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Enalapril
Valaciclovir;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Captopril
Valaciclovir;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Ramipril
Valaciclovir;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Phenoxymethylpenicillin
Valaciclovir;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Oseltamivir
Valaciclovir;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Moexipril
Valaciclovir;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Midodrine
Valaciclovir;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Cefixime
Valaciclovir;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Benzoic acid
Aminolevulinic acid;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Dicloxacillin
Aminolevulinic acid;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Azidocillin
Aminolevulinic acid;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Benzoic acid
Aminolevulinic acid;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Captopril
Aminolevulinic acid;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Cefepime
Aminolevulinic acid;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Ceftazidime
Aminolevulinic acid;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Dexibuprofen
Quinapril;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Spirapril
Quinapril;Quinapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Quinapril
Cyclacillin;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Cyclacillin,Ramipril
Quinapril;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Phenoxymethylpenicillin
Amoxicillin;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Lisdexamfetamine
Amoxicillin;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Lisinopril
Amoxicillin;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Methotrexate
Amoxicillin;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Methyldopa
Amoxicillin;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Midodrine
Amoxicillin;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Moexipril
Amoxicillin;Nateglinide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Nateglinide
Amoxicillin;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Oseltamivir
Amoxicillin;Perindopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Perindopril
Quinapril;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Dicloxacillin
Quinapril;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Dexibuprofen
Quinapril;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cyclacillin
Quinapril;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cloxacillin
Amoxicillin;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Phenoxymethylpenicillin
Amoxicillin;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Ramipril
Aminolevulinic acid;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Ramipril
Aminolevulinic acid;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Oseltamivir
Ramipril;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Ramipril
Quinapril;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Methyldopa
Quinapril;Perindopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Perindopril
Quinapril;Oxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Oxacillin
Quinapril;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Oseltamivir
Quinapril;Nateglinide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Nateglinide
Quinapril;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Moexipril
Quinapril;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Midodrine
Quinapril;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Methotrexate
Quinapril;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Enalapril
Quinapril;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Lisinopril
Quinapril;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Lisdexamfetamine
Quinapril;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Levodopa
Quinapril;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Glyburide
Quinapril;Fosinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Fosinopril
Quinapril;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Fluvastatin
Valaciclovir;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Spirapril
Valaciclovir;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Taurine
Valaciclovir;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Temocapril
Valaciclovir;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Trandolapril
Ubenimex;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Dexibuprofen
Ubenimex;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Cyclacillin
Ubenimex;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Cloxacillin
Ubenimex;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Ceftriaxone
Ubenimex;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Ceftazidime
Ubenimex;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Cefixime
Ubenimex;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Cefepime
Ubenimex;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Cefdinir
Ubenimex;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Captopril
Ubenimex;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Benzoic acid
Ubenimex;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Azidocillin
Ubenimex;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Aminolevulinic acid
Ubenimex;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Phenoxymethylpenicillin
Ubenimex;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Ramipril
Ubenimex;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Spirapril
Ubenimex;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Dicloxacillin
Ubenimex;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Enalapril
Ubenimex;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Fluvastatin
Ubenimex;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Oseltamivir
Ampicillin;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Ceftriaxone
Ampicillin;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Cefuroxime
Ampicillin;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Cephalexin
Ampicillin;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Cilazapril
Ampicillin;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Cloxacillin
Ampicillin;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ampicillin,Cyclacillin
Ubenimex;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Moexipril
Ubenimex;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Glyburide
Ubenimex;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Midodrine
Ubenimex;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Methyldopa
Ubenimex;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Methotrexate
Ubenimex;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Lisinopril
Ubenimex;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Lisdexamfetamine
Ubenimex;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Levodopa
Ubenimex;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Taurine
Aminolevulinic acid;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Aminolevulinic acid,Aminolevulinic acid
Ubenimex;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Valganciclovir
Valganciclovir;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Enalapril
Valaciclovir;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Valganciclovir
Valganciclovir;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Methotrexate
Valganciclovir;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Lisinopril
Valganciclovir;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Lisdexamfetamine
Valganciclovir;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Levodopa
Valganciclovir;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Fluvastatin
Valganciclovir;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Dexibuprofen
Valaciclovir;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Lisinopril
Valganciclovir;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Ceftazidime
Valganciclovir;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Captopril
Valganciclovir;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Benzoic acid
Valganciclovir;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Azidocillin
Valaciclovir;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Valaciclovir
Valaciclovir;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Methyldopa
Valaciclovir;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Methotrexate
Valaciclovir;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Lisdexamfetamine
Ubenimex;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Valaciclovir
Valaciclovir;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Glyburide
Ubenimex;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Ubenimex
Ubenimex;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Trandolapril
Ubenimex;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ubenimex,Temocapril
Valganciclovir;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valganciclovir,Methyldopa
Valaciclovir;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Cefepime
Valaciclovir;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Levodopa
Valaciclovir;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Fluvastatin
Valaciclovir;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Ceftazidime
Valaciclovir;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Enalapril
Valaciclovir;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Dicloxacillin
Valaciclovir;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Dexibuprofen
Valaciclovir;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Cyclacillin
Valaciclovir;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Cloxacillin
Valaciclovir;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Valaciclovir,Ceftriaxone
Amoxicillin;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Spirapril
Amoxicillin;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Taurine
Amoxicillin;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Temocapril
Ramipril;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Midodrine
Benazepril;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Azidocillin
Benazepril;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Benazepril
Benazepril;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Benzoic acid
Benazepril;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Benzylpenicillin
Benazepril;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Captopril
Benazepril;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cefdinir
Benazepril;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cefepime
Benazepril;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cefixime
Benazepril;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cefmetazole
Benazepril;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Ceftazidime
Benazepril;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Ceftriaxone
Benazepril;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cefuroxime
Benazepril;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cephalexin
Benazepril;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cilazapril
Benazepril;Cloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cloxacillin
Benazepril;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Aminolevulinic acid
Benazepril;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Lisdexamfetamine
Benazepril;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Methotrexate
Ramipril;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Dexibuprofen
Ramipril;Methotrexate,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Methotrexate
Ramipril;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Lisinopril
Ramipril;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Lisdexamfetamine
Ramipril;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Levodopa
Ramipril;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Fluvastatin
Ramipril;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Enalapril
Ramipril;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Benzoic acid
Benazepril;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Methyldopa
Benazepril;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Valganciclovir
Ramipril;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Azidocillin
Benzylpenicillin;Aminolevulinic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Aminolevulinic acid
Benzylpenicillin;Azidocillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Azidocillin
Benzylpenicillin;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Benzoic acid
Benzylpenicillin;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Benzylpenicillin
Benazepril;Cyclacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Cyclacillin
Benazepril;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Dexibuprofen
Benazepril;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Dicloxacillin
Polymyxin B;Ramipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Ramipril
Benzylpenicillin;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Phenoxymethylpenicillin
Polymyxin B;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Cilazapril
Polymyxin B;Tolbutamide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Tolbutamide
Polymyxin B;Temocapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Temocapril
Polymyxin B;Taurine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Taurine
Polymyxin B;Spirapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Spirapril
Polymyxin B;Quinapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Quinapril
Benzylpenicillin;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Moexipril
Polymyxin B;Phenoxymethylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Phenoxymethylpenicillin
Polymyxin B;Perindopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Perindopril
Polymyxin B;Oxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Oxacillin
Polymyxin B;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Oseltamivir
Polymyxin B;Nateglinide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Nateglinide
Polymyxin B;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Polymyxin B,Moexipril
Benzylpenicillin;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Oseltamivir
Benzylpenicillin;Midodrine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Midodrine
Benazepril;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Enalapril
Benzylpenicillin;Dexibuprofen,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Dexibuprofen
Benazepril;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Fluvastatin
Benazepril;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Glyburide
Benazepril;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Levodopa
Benazepril;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benazepril,Lisinopril
Benzylpenicillin;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Captopril
Benzylpenicillin;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Cefepime
Benzylpenicillin;Dicloxacillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Dicloxacillin
Benzylpenicillin;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Methyldopa
Benzylpenicillin;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Enalapril
Benzylpenicillin;Fluvastatin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Fluvastatin
Benzylpenicillin;Glyburide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Glyburide
Benzylpenicillin;Levodopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Levodopa
Benzylpenicillin;Lisdexamfetamine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Lisdexamfetamine
Benzylpenicillin;Lisinopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Benzylpenicillin,Lisinopril
Ramipril;Methyldopa,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Methyldopa
Ramipril;Moexipril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Moexipril
Amoxicillin;Trandolapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Trandolapril
Ramipril;Oseltamivir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Ramipril,Oseltamivir
Quinapril;Cephalexin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cephalexin
Quinapril;Cefuroxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefuroxime
Quinapril;Ceftriaxone,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Ceftriaxone
Quinapril;Ceftibuten,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Ceftibuten
Quinapril;Ceftazidime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Ceftazidime
Quinapril;Cefradine,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefradine
Quinapril;Cefotaxime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefotaxime
Quinapril;Cefmetazole,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefmetazole
Quinapril;Cefixime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefixime
Quinapril;Cefdinir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefdinir
Amoxicillin;Benazepril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Benazepril
Quinapril;Cefalotin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefalotin
Quinapril;Captopril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Captopril
Quinapril;Benzylpenicillin,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Benzylpenicillin
Quinapril;Benzoic acid,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Benzoic acid
Quinapril;Chlorpropamide,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Chlorpropamide
Quinapril;Cilazapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cilazapril
Quinapril;Cefepime,{'SLC15A2;SLC15A1'},13.0,0.0,1,Quinapril,Cefepime
Amoxicillin;Enalapril,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Enalapril
Amoxicillin;Ubenimex,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Ubenimex
Amoxicillin;Valaciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Valaciclovir
Amoxicillin;Valganciclovir,{'SLC15A2;SLC15A1'},13.0,0.0,1,Amoxicillin,Valganciclovir
