Drugs,Gene_Symbol,Drugs_Group,Phenotype_Safety,Phenotype_Essentiality,side_effect_name,Drugs_Categories,Number_Genes
Gabapentin,['SLC7A5'],['approved|investigational'],1.0,3.0,[nan],"Acids, Acyclic|Acids, Carbocyclic|Amines|Amino Acids|Amino Acids, Peptides, and Proteins|Aminobutyrates|Analgesics|Anti-epileptic Agent|Anticonvulsants|Butyrates|Central Nervous System Agents|Central Nervous System Depressants|Cyclohexanecarboxylic Acids|Cyclohexanes|Cycloparaffins|Decreased Central Nervous System Disorganized Electrical Activity|Miscellaneous Anticonvulsants|Nervous System|Neurotransmitter Agents|Peripheral Nervous System Agents|Psychotropic Drugs|Sensory System Agents|Tranquilizing Agents",1
"Thyroid, porcine",['SLC7A5'],['approved'],1.0,3.0,[nan],Agents used to treat hypothyroidism|Thyroid Products,1
Levodopa,['SLC7A5'],['approved'],1.0,3.0,[nan],"Amines|Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Anti-Dyskinesia Agents|Anti-Parkinson Agents (Dopamine Agonist)|Anti-Parkinson Drugs|Benzene Derivatives|Biogenic Amines|Biogenic Monoamines|Catecholamines|Catechols|Central Nervous System Agents|Central Nervous System Depressants|Dihydroxyphenylalanine|Dopa and Dopa Derivatives|Dopamine Agents|Hypotensive Agents|Levodopa, antagonists & inhibitors|Nervous System|Neurotransmitter Agents|Phenols|Phenylalanine|Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome",1
Levothyroxine,['SLC7A5'],['approved'],1.0,3.0,[nan],"Agents used to treat hypothyroidism|Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Cytochrome P-450 CYP2C8 Inhibitors|Cytochrome P-450 CYP2C8 Inhibitors (moderate)|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Narrow Therapeutic Index Drugs|OATP1B1/SLCO1B1 Inhibitors|OATP1B3 inhibitors|P-glycoprotein inducers|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products|Thyroxine-binding globulin substrates|UGT1A1 Substrates|UGT1A1 substrates with narrow therapeutic index",1
Liothyronine,['SLC7A5'],['approved|vet_approved'],1.0,3.0,[nan],"Agents used to treat hypothyroidism|Drugs that are Mainly Renally Excreted|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|l-Triiodothyronine|OAT3/SLC22A8 Inhibitors|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein inducers|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products|Thyronines|Thyroxine-binding globulin substrates|Triiodothyronine|UGT1A1 Substrates",1
Pregabalin,['SLC7A5'],['approved|investigational'],1.0,3.0,"[""['Digitalis intoxication (NOS)']""]","Acids, Acyclic|Agents causing angioedema|Amino Acids|Amino Acids, Peptides, and Proteins|Aminobutyrates|Analgesics|Anti-Anxiety Agents|Antiarrhythmic agents|Anticonvulsants|Bradycardia-Causing Agents|Butyrates|Central Nervous System Agents|Central Nervous System Depressants|Drugs that are Mainly Renally Excreted|Hypoglycemia-Associated Agents|Membrane Transport Modulators|Miscellaneous Anticonvulsants|Muscle Relaxants|Muscle Relaxants, Centrally Acting Agents|Nervous System|Peripheral Nervous System Agents|Potential QTc-Prolonging Agents|Psychotropic Drugs|QTc Prolonging Agents|Sensory System Agents|Tranquilizing Agents|Vasodilating Agents",1
Dextrothyroxine,['SLC7A5'],['approved|investigational'],1.0,3.0,[nan],"Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Lipid Modifying Agents|Lipid Modifying Agents, Plain",1
Gemcitabine,"['CMPK1', 'TYMS']","['approved', 'approved']",2.0,2.5,"[""['Cardiotoxicity', 'Hepatotoxicity', 'Nephropathy toxic', 'Neurotoxicity', 'Oral toxicity', 'Pulmonary toxicity']"", ""['Cardiotoxicity', 'Hepatotoxicity', 'Nephropathy toxic', 'Neurotoxicity', 'Oral toxicity', 'Pulmonary toxicity']""]","Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Glycosides|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Metabolic Inhibitor|Nucleosides|P-glycoprotein substrates|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Radiation-Sensitizing Agents|Ribonucleosides|Ribonucleotide Reductases, antagonists & inhibitors|Toxic Actions",2
Lactose,['GLTP'],['approved|experimental|investigational'],1.0,2.0,[nan],"Carbohydrates|Compounds used in a research, industrial, or household setting|Diet, Food, and Nutrition|Disaccharides|Flavoring Agents|Food|Food Additives|Food and Beverages|Food Ingredients|Oligosaccharides|Pharmaceutic Aids|Pharmaceutical Preparations|Physiological Phenomena|Polysaccharides|Sweetening Agents",1
Lauric acid,['GLTP'],['approved|experimental'],1.0,2.0,[nan],Fatty Acids|Lipids,1
Oleic Acid,['GLTP'],['approved|investigational|vet_approved'],1.0,2.0,[nan],"Fatty Acids|Fatty Acids, Monounsaturated|Fatty Acids, Unsaturated|Lipids|Oleic Acids",1
Thymectacin,['TYMS'],['investigational'],1.0,1.0,[nan],"Carbohydrates|Deoxyribonucleosides|Deoxyuridine|Glycosides|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Nucleotides|Pyrimidine Nucleosides|Pyrimidines|Ribonucleosides",1
Trimetrexate,['DHFR'],['approved|investigational'],1.0,1.0,"[""['Hepatotoxicity']""]","Acids, Acyclic|Acids, Aldehydic|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Carbohydrates|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Folic Acid Antagonists|Hepatotoxic Agents|Heterocyclic Compounds, Fused-Ring|Hydroxy Acids|Noxae|Pharmaceutical Preparations|Quinazolines|Sugar Acids|Toxic Actions|Uronic Acids",1
Trifluridine,['TYMS'],['approved|investigational'],1.0,1.0,[nan],"Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antiviral Agents|Carbohydrates|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Glycosides|Immunosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Analog Antiviral|Nucleoside Metabolic Inhibitor|Nucleosides|OAT1/SLC22A6 inhibitors|OAT1/SLC22A6 Substrates|OAT3/SLC22A8 Substrates|Ophthalmologicals|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Sensory Organs|Toxic Actions",1
Tegafur,['TYMS'],['approved|investigational'],1.0,1.0,[nan],Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 CYP2C8 Substrates|Cytochrome P-450 CYP2E1 Substrates|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A5 Substrates|Cytochrome P-450 Substrates|Drugs that are Mainly Renally Excreted|Fluoropyrimidines|Fluorouracil and prodrugs|Noxae|Pyrimidine Analogues|Pyrimidines|Pyrimidinones|Thyroxine-binding globulin inducers|Toxic Actions,1
Tegafur-uracil,['TYMS'],['approved|investigational'],1.0,1.0,[nan],Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 Substrates,1
ANX-510,['TYMS'],['investigational'],1.0,1.0,[nan],,1
Raltitrexed,['TYMS'],['approved|investigational'],1.0,1.0,[nan],"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Sulfur Compounds|Thymidylate Synthase, antagonists & inhibitors|Toxic Actions",1
Pyrimethamine,['DHFR'],['approved|investigational|vet_approved'],1.0,1.0,[nan],"Anti-Infective Agents|Antibiotics for Pneumocystis Pneumonia|Antimalarials|Antiparasitic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Cytochrome P-450 CYP2C8 Inhibitors|Cytochrome P-450 CYP2C8 Inhibitors (weak)|Cytochrome P-450 Enzyme Inhibitors|Diaminopyrimidines|Enzyme Inhibitors|Folic Acid Antagonists|MATE 1 Inhibitors|MATE 2 Inhibitors|MATE inhibitors|Pyrimidines",1
Proguanil,['DHFR'],['approved'],1.0,1.0,[nan],"Amidines|Anti-Infective Agents|Antimalarials|Antimetabolites|Antiparasitic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Biguanides|Cytochrome P-450 CYP2C19 Substrates|Cytochrome P-450 CYP2C9 Substrates|Cytochrome P-450 CYP2D6 Inhibitors|Cytochrome P-450 CYP2D6 Inhibitors (weak)|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Folic Acid Antagonists|Guanidines|Noxae|Toxic Actions",1
Pralatrexate,"['DHFR', 'TYMS']","['approved|investigational', 'approved|investigational']",1.0,1.0,"[nan, nan]","Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Biological Factors|Drugs that are Mainly Renally Excreted|Folic Acid Analogues|Folic Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Pigments, Biological|Pteridines|Pterins",2
Piritrexim,['DHFR'],['investigational'],1.0,1.0,[nan],Antineoplastic Agents|Enzyme Inhibitors|Folic Acid Antagonists,1
Pemetrexed,"['DHFR', 'TYMS']","['approved|investigational', 'approved|investigational']",1.0,1.0,"[nan, nan]","Amino Acids|Amino Acids, Acidic|Amino Acids, Dicarboxylic|Amino Acids, Peptides, and Proteins|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Drugs that are Mainly Renally Excreted|Drugs that are Mainly Renally Excreted with Narrow Therapeutic Index|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Glutamates|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Myelosuppressive Agents|Nucleic Acid Synthesis Inhibitors|OAT3/SLC22A8 Substrates|Purines|Purinones",2
Methotrexate,"['DHFR', 'TYMS']","['approved', 'approved']",1.0,1.0,"[""['CNS toxicity', 'Gastrointestinal toxicity', 'Hepatotoxicity', 'Megacolon toxic', 'Neurotoxicity', 'Pulmonary toxicity']"", ""['CNS toxicity', 'Gastrointestinal toxicity', 'Hepatotoxicity', 'Megacolon toxic', 'Neurotoxicity', 'Pulmonary toxicity']""]","Abortifacient Agents|Abortifacient Agents, Nonsteroidal|Agents Causing Muscle Toxicity|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antirheumatic Agents|BCRP/ABCG2 Substrates|Biological Factors|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Substrates|Dermatologicals|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Hepatotoxic Agents|Heterocyclic Compounds, Fused-Ring|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Nephrotoxic agents|Noxae|Nucleic Acid Synthesis Inhibitors|OAT1/SLC22A6 inhibitors|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein substrates|Pigments, Biological|Pteridines|Pterins|Reproductive Control Agents|Toxic Actions",2
Lamotrigine,['DHFR'],['approved|investigational'],1.0,1.0,[nan],Agents causing hyperkalemia|Agents producing tachycardia|Anti-epileptic Agent|Antiarrhythmic agents|Anticholinergic Agents|Anticonvulsants|Bradycardia-Causing Agents|Calcium Channel Blockers|Calcium-Regulating Hormones and Agents|Central Nervous System Agents|Central Nervous System Depressants|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Substrates|Decreased Central Nervous System Disorganized Electrical Activity|Drugs that are Mainly Renally Excreted|Membrane Transport Modulators|Miscellaneous Anticonvulsants|Mood Stabilizer|Muscarinic Antagonists|Nervous System|OCT1 substrates|OCT2 Inhibitors|P-glycoprotein inhibitors|P-glycoprotein substrates|Potential QTc-Prolonging Agents|Psychotropic Drugs|QTc Prolonging Agents|Sodium Channel Blockers|Tranquilizing Agents|Triazines|UGT1A1 Inducers|UGT1A1 Substrates|UGT1A3 substrates|UGT1A4 substrates,1
Iclaprim,['DHFR'],['investigational'],1.0,1.0,[nan],Antibacterials for Systemic Use|Antiinfectives for Systemic Use|Enzyme Inhibitors|Folic Acid Antagonists|SULFONAMIDES AND TRIMETHOPRIM|Trimethoprim and Derivatives,1
Gentamicin,['DHFR'],['approved|vet_approved'],1.0,1.0,"[""['Nephropathy toxic', 'Nephrotoxicity', 'Neurotoxicity']""]","Agents that produce neuromuscular block (indirect)|alpha-Galactosidase, antagonists & inhibitors|Aminoglycoside Antibacterials|Anti-Bacterial Agents|Anti-Infective Agents|Antibacterials for Systemic Use|Antibiotics for Topical Use|Antiinfectives for Systemic Use|Carbohydrates|Dermatologicals|Enzyme Inhibitors|Gentamicins|Glycosides|Narrow Therapeutic Index Drugs|Nephrotoxic agents|OAT1/SLC22A6 inhibitors|Ophthalmological and Otological Preparations|Ophthalmologicals|Otologicals|Protein Synthesis Inhibitors|Sensory Organs",1
Fluorouracil,['TYMS'],['approved'],1.0,1.0,"[""['Cardiotoxicity', 'Ocular toxicity']""]",Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|BCRP/ABCG2 Substrates|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 CYP2A6 Substrates|Cytochrome P-450 CYP2C8 Substrates|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strength unknown)|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Fluoropyrimidines|Fluorouracil and prodrugs|Immunologic Factors|Immunosuppressive Agents|Misc. Skin and Mucous Membrane Agents|Moderate Risk QTc-Prolonging Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleoside Metabolic Inhibitor|Pyrimidine Analogues|Pyrimidines|Pyrimidinones|QTc Prolonging Agents|Thyroxine-binding globulin inducers|Toxic Actions,1
Floxuridine,['TYMS'],['approved'],1.0,1.0,"[""['Skin toxicity']""]","Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strong)|Cytochrome P-450 Enzyme Inhibitors|Deoxyribonucleosides|Deoxyuridine|Drugs that are Mainly Renally Excreted|Glycosides|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Ribonucleosides|Thyroxine-binding globulin inducers|Toxic Actions",1
Capecitabine,['TYMS'],['approved|investigational'],1.0,1.0,"[""['Gastrointestinal toxicity', 'Hepatotoxicity', 'Neurotoxicity']""]","Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP2C9 Inhibitors|Cytochrome P-450 CYP2C9 Inhibitors (strong)|Cytochrome P-450 Enzyme Inhibitors|Deoxycytidine|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Fluoropyrimidines|Fluorouracil and prodrugs|Glycosides|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Metabolic Inhibitor|Nucleosides|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Pyrimidinones|Ribonucleosides|Toxic Actions",1
OSI-7904L,['TYMS'],['investigational'],1.0,1.0,[nan],"Acids, Acyclic|Dicarboxylic Acids|Heterocyclic Compounds, Fused-Ring",1
