,Gene_Symbol,Drugs,Drugs_Action,Phenotype_Safety,Phenotype_Essentiality,Drugs_Group,Gene_Categories,ATC_Code,Gene_Categories,Drugs_Categories,side_effect_name,Meddra_Indication
16,SLC7A11,Sulfasalazine,inhibitor,1.0,5.0,approved,target,A07EC01|G01AE10,target,"Agents causing hyperkalemia|Agents that produce hypertension|Alimentary Tract and Metabolism|Amides|Aminosalicylate|Analgesics|Analgesics, Non-Narcotic|Anti-Infective Agents|Anti-Inflammatory Agents|Anti-Inflammatory Agents, Non-Steroidal|Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)|Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents|Antirheumatic Agents|BCRP/ABCG2 Inhibitors|BCRP/ABCG2 Substrates|Central Nervous System Agents|Gastrointestinal Agents|Genito Urinary System and Sex Hormones|Gynecological Antiinfectives and Antiseptics|Immunosuppressive Agents|Intestinal Antiinflammatory Agents|Methemoglobinemia Associated Agents|Nephrotoxic agents|Non COX-2 selective NSAIDS|OATP1B1/SLCO1B1 Inhibitors|OATP1B3 inhibitors|Peripheral Nervous System Agents|Salicylates|Sensory System Agents|Sulfonamides|Sulfones|Sulfur Compounds",,
20,CMPK1,Lamivudine,substrate,3.0,4.0,approved|investigational,enzyme,J05AR02|J05AR11|J05AR07|J05AR01|J05AR13|J05AR12|J05AR24|J05AR04|J05AR16|J05AR05|J05AF05,enzyme,"Agents Causing Muscle Toxicity|Anti-HIV Agents|Anti-Infective Agents|Anti-Retroviral Agents|Antiinfectives for Systemic Use|Antiviral Agents|Antivirals for Systemic Use|BCRP/ABCG2 Substrates|Carbohydrates|Deoxycytidine|Deoxyribonucleosides|Dideoxynucleosides|Direct Acting Antivirals|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Glycosides|Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor|Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside and Nucleotide Reverse Transcriptase Inhibitors|Nucleoside Reverse Transcriptase Inhibitors|Nucleosides|OAT1/SLC22A6 Substrates|OCT1 substrates|OCT2 Substrates|OCT2 substrates with narrow therapeutic index|P-glycoprotein substrates|Pyrimidine Nucleosides|Pyrimidines|Reverse Transcriptase Inhibitors|Ribonucleosides",,"['Alanine aminotransferase increased', 'Chronic hepatitis B', 'Fibrosis', 'Foetor hepaticus', 'Hepatic failure', 'Hepatitis B', 'Hepatitis B DNA decreased', 'Hepatitis B e antigen positive', 'Hepatitis B surface antigen positive', 'Hepatitis C', 'Hepatitis D', 'Hepatitis chronic active', 'Hepatitis viral', 'Hepatocellular injury', 'Immunodeficiency', 'Infection', 'Inflammation', 'Liver disorder', 'Pancreatitis', 'Pathogen resistance', 'Viral infection']"
22,CMPK1,Gemcitabine,inhibitor,3.0,4.0,approved,target,L01BC05,target,"Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Carbohydrates|Deoxyribonucleosides|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Glycosides|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors|Nucleic Acids, Nucleotides, and Nucleosides|Nucleoside Metabolic Inhibitor|Nucleosides|P-glycoprotein substrates|Pyrimidine Analogues|Pyrimidine Nucleosides|Pyrimidines|Radiation-Sensitizing Agents|Ribonucleosides|Ribonucleotide Reductases, antagonists & inhibitors|Toxic Actions","['Cardiotoxicity', 'Hepatotoxicity', 'Nephropathy toxic', 'Neurotoxicity', 'Oral toxicity', 'Pulmonary toxicity']","['Adenocarcinoma pancreas', 'Alcohol abuse', 'Alcoholism', 'Apoptosis', 'Bladder cancer', 'Breast cancer', 'Breast cancer stage IV', 'Cardiovascular disorder', 'Cervix carcinoma', 'Febrile neutropenia', 'Hepatic failure', ""Hodgkin's disease"", ""Hodgkin's disease lymphocyte depletion type stage unspecified"", ""Hodgkin's disease lymphocyte predominance type stage unspecified"", 'Hypersensitivity', 'Lung neoplasm malignant', 'Lymphoma', 'Mesothelioma', 'Neoplasm', 'Neoplasm malignant', 'Neuropathy peripheral', ""Non-Hodgkin's lymphoma"", 'Non-small cell lung cancer', 'Ovarian cancer', 'Ovarian epithelial cancer', 'Pancreatic carcinoma', 'Pancytopenia', 'Pneumonia', 'Renal failure', 'Renal impairment', 'Thrombocytopenia', 'Transitional cell carcinoma']"
24,CMPK1,Sofosbuvir,substrate,3.0,4.0,approved,enzyme,J05AP08|J05AP51|J05AP55|J05AP56,enzyme,"Anti-Infective Agents|Antiinfectives for Systemic Use|Antiviral Agents|Antivirals for Systemic Use|Antivirals for treatment of HCV infections|BCRP/ABCG2 Substrates|Carbohydrates|Direct Acting Antivirals|Drugs that are Mainly Renally Excreted|Glycosides|Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor|Nucleic Acids, Nucleotides, and Nucleosides|Nucleosides|Nucleotides|P-glycoprotein substrates|Pyrimidine Nucleosides|Pyrimidine Nucleotides|Pyrimidines|Ribonucleosides|Ribonucleotides|RNA Replicase Inhibitors|Uracil Nucleotides",,"['Chronic hepatitis C', 'Hepatitis C', 'Mental disorder']"
30,SLC7A5,Dextrothyroxine,,1.0,3.0,approved|investigational,transporter,C10AX01,transporter,"Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Lipid Modifying Agents|Lipid Modifying Agents, Plain",,"['Acute myocardial infarction', 'Adrenal insufficiency', 'Atrophy', 'Autoimmune thyroiditis', 'Congenital anomaly', 'Follicular thyroid cancer', 'Goitre', 'Hypersensitivity', 'Hyperthyroidism', 'Hypothyroidism', 'Myxoedema coma', 'Neoplasm malignant', 'Primary hypothyroidism', 'Thyroid disorder', 'Thyroid neoplasm', 'Thyroiditis', 'Thyroiditis subacute', 'Tri-iodothyronine normal']"
31,SLC7A5,Pregabalin,,1.0,3.0,approved|investigational,transporter,N03AX16,transporter,"Acids, Acyclic|Agents causing angioedema|Amino Acids|Amino Acids, Peptides, and Proteins|Aminobutyrates|Analgesics|Anti-Anxiety Agents|Antiarrhythmic agents|Anticonvulsants|Bradycardia-Causing Agents|Butyrates|Central Nervous System Agents|Central Nervous System Depressants|Drugs that are Mainly Renally Excreted|Hypoglycemia-Associated Agents|Membrane Transport Modulators|Miscellaneous Anticonvulsants|Muscle Relaxants|Muscle Relaxants, Centrally Acting Agents|Nervous System|Peripheral Nervous System Agents|Potential QTc-Prolonging Agents|Psychotropic Drugs|QTc Prolonging Agents|Sensory System Agents|Tranquilizing Agents|Vasodilating Agents",['Digitalis intoxication (NOS)'],"['Convulsion', 'Diabetic neuropathy', 'Epilepsy', 'Fibromyalgia', 'Generalised anxiety disorder', 'Neuralgia', 'Partial seizures', 'Post herpetic neuralgia', 'Renal failure', 'Renal impairment', 'Spinal cord injury']"
33,SLC7A5,Levothyroxine,,1.0,3.0,approved,transporter,H03AA01,transporter,"Agents used to treat hypothyroidism|Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Cytochrome P-450 CYP2C8 Inhibitors|Cytochrome P-450 CYP2C8 Inhibitors (moderate)|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Narrow Therapeutic Index Drugs|OATP1B1/SLCO1B1 Inhibitors|OATP1B3 inhibitors|P-glycoprotein inducers|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products|Thyroxine-binding globulin substrates|UGT1A1 Substrates|UGT1A1 substrates with narrow therapeutic index",,"['Acute myocardial infarction', 'Adrenal insufficiency', 'Atrophy', 'Autoimmune thyroiditis', 'Congenital anomaly', 'Follicular thyroid cancer', 'Goitre', 'Hypersensitivity', 'Hyperthyroidism', 'Hypothyroidism', 'Myxoedema coma', 'Neoplasm malignant', 'Primary hypothyroidism', 'Thyroid disorder', 'Thyroid neoplasm', 'Thyroiditis', 'Thyroiditis subacute', 'Tri-iodothyronine normal']"
35,SLC7A5,Liothyronine,,1.0,3.0,approved|vet_approved,transporter,H03AA03|H03AA02,transporter,"Agents used to treat hypothyroidism|Drugs that are Mainly Renally Excreted|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|l-Triiodothyronine|OAT3/SLC22A8 Inhibitors|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein inducers|Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins|Thyroid Products|Thyronines|Thyroxine-binding globulin substrates|Triiodothyronine|UGT1A1 Substrates",,"['Atrophy', 'Autoimmune thyroiditis', 'Congenital hypothyroidism', 'Depressed level of consciousness', 'Goitre', 'Hyperthyroidism', 'Hypothyroidism', 'Myxoedema', 'Myxoedema coma', 'Primary hypothyroidism', 'Thyroid neoplasm', 'Thyroiditis subacute', 'Toxic nodular goitre']"
36,SLC7A5,Melphalan,,1.0,3.0,approved,transporter,L01AA03,transporter,"Alkylating Activity|Alkylating Drugs|Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Antineoplastic Agents|Antineoplastic Agents, Alkylating|Antineoplastic and Immunomodulating Agents|Hydrocarbons, Halogenated|Immunologic Factors|Immunosuppressive Agents|Mustard Compounds|Myeloablative Agonists|Myelosuppressive Agents|Nitrogen Mustard Analogues|Nitrogen Mustard Compounds|Noxae|Phenylalanine|Toxic Actions",['Pulmonary toxicity'],"['Body temperature increased', 'Breast cancer', 'Malignant melanoma', 'Neoplasm malignant', 'Neuroblastoma', 'Ovarian cancer', 'Ovarian epithelial cancer', 'Plasma cell myeloma', 'Plasmacytoma', 'Polycythaemia vera', 'Polyuria', 'Renal failure', 'Renal impairment', 'Rhabdomyosarcoma', 'Sarcoma', ""Waldenstrom's macroglobulinaemia""]"
39,SLC7A5,Gabapentin,substrate,1.0,3.0,approved|investigational,transporter,N03AX12,transporter,"Acids, Acyclic|Acids, Carbocyclic|Amines|Amino Acids|Amino Acids, Peptides, and Proteins|Aminobutyrates|Analgesics|Anti-epileptic Agent|Anticonvulsants|Butyrates|Central Nervous System Agents|Central Nervous System Depressants|Cyclohexanecarboxylic Acids|Cyclohexanes|Cycloparaffins|Decreased Central Nervous System Disorganized Electrical Activity|Miscellaneous Anticonvulsants|Nervous System|Neurotransmitter Agents|Peripheral Nervous System Agents|Psychotropic Drugs|Sensory System Agents|Tranquilizing Agents",,"['Asthenia', 'Ataxia', 'Convulsion', 'Diabetes mellitus', 'Diabetic neuropathy', 'Dizziness', 'Epilepsy', 'Erythema multiforme', 'Fatigue', 'Grand mal convulsion', 'Hypersensitivity', 'Neuralgia', 'Pain', 'Pancreatitis', 'Partial seizures', 'Post herpetic neuralgia', 'Pseudocroup', 'Renal failure', 'Renal impairment', 'Restless legs syndrome', 'Somnolence', 'Stevens-Johnson syndrome', 'Urinary incontinence']"
40,SLC7A5,Levodopa,,1.0,3.0,approved,transporter,N04BA03|N04BA01|N04BA02,transporter,"Amines|Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Anti-Dyskinesia Agents|Anti-Parkinson Agents (Dopamine Agonist)|Anti-Parkinson Drugs|Benzene Derivatives|Biogenic Amines|Biogenic Monoamines|Catecholamines|Catechols|Central Nervous System Agents|Central Nervous System Depressants|Dihydroxyphenylalanine|Dopa and Dopa Derivatives|Dopamine Agents|Hypotensive Agents|Levodopa, antagonists & inhibitors|Nervous System|Neurotransmitter Agents|Phenols|Phenylalanine|Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome",,"['Dyskinesia', ""Parkinson's disease"", 'Parkinsonism', 'Poisoning']"
41,SLC7A5,"Thyroid, porcine",substrate,1.0,3.0,approved,transporter,,transporter,Agents used to treat hypothyroidism|Thyroid Products,,
47,GLTP,Oleic Acid,,1.0,2.0,approved|investigational|vet_approved,target,,target,"Fatty Acids|Fatty Acids, Monounsaturated|Fatty Acids, Unsaturated|Lipids|Oleic Acids",,
48,GLTP,Lactose,,1.0,2.0,approved|experimental|investigational,target,,target,"Carbohydrates|Compounds used in a research, industrial, or household setting|Diet, Food, and Nutrition|Disaccharides|Flavoring Agents|Food|Food Additives|Food and Beverages|Food Ingredients|Oligosaccharides|Pharmaceutic Aids|Pharmaceutical Preparations|Physiological Phenomena|Polysaccharides|Sweetening Agents",,
49,GLTP,Lauric acid,,1.0,2.0,approved|experimental,target,,target,Fatty Acids|Lipids,,
74,DHFR,Methotrexate,inhibitor,1.0,1.0,approved,target,L04AX03|L01BA01,target,"Abortifacient Agents|Abortifacient Agents, Nonsteroidal|Agents Causing Muscle Toxicity|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Antirheumatic Agents|BCRP/ABCG2 Substrates|Biological Factors|Cardiotoxic antineoplastic agents|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Substrates|Dermatologicals|Drugs that are Mainly Renally Excreted|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Hepatotoxic Agents|Heterocyclic Compounds, Fused-Ring|Immunologic Factors|Immunosuppressive Agents|Myelosuppressive Agents|Nephrotoxic agents|Noxae|Nucleic Acid Synthesis Inhibitors|OAT1/SLC22A6 inhibitors|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein substrates|Pigments, Biological|Pteridines|Pterins|Reproductive Control Agents|Toxic Actions","['CNS toxicity', 'Gastrointestinal toxicity', 'Hepatotoxicity', 'Megacolon toxic', 'Neurotoxicity', 'Pulmonary toxicity']","['Acute leukaemia', 'Acute lymphocytic leukaemia', 'Arthritis', 'Benign hydatidiform mole', 'Bladder cancer', 'Breast cancer', 'Bronchial carcinoma', ""Burkitt's lymphoma"", 'Choriocarcinoma', 'Drug interaction', 'Fungal infection', ""Hodgkin's disease"", ""Hodgkin's disease lymphocyte depletion type stage unspecified"", ""Hodgkin's disease lymphocyte predominance type stage unspecified"", 'Juvenile idiopathic arthritis', 'Leukaemia', 'Leukaemic infiltration brain', 'Lung neoplasm malignant', 'Lymphocytic leukaemia', 'Lymphoma', 'Malignant hydatidiform mole', 'Metastasis', 'Metastatic neoplasm', 'Mycosis fungoides', 'Neoplasm', 'Neoplasm malignant', ""Non-Hodgkin's lymphoma"", 'Oesophageal carcinoma', 'Osteosarcoma', 'Osteosarcoma metastatic', 'Psoriasis', 'Psoriatic arthropathy', 'Rheumatoid arthritis', 'Squamous cell carcinoma', 'Testis cancer']"
76,DHFR,Pyrimethamine,inhibitor,1.0,1.0,approved|investigational|vet_approved,target,P01BD01|P01BD51|P01BF04,target,"Anti-Infective Agents|Antibiotics for Pneumocystis Pneumonia|Antimalarials|Antiparasitic Agents|Antiparasitic Products, Insecticides and Repellents|Antiprotozoals|Cytochrome P-450 CYP2C8 Inhibitors|Cytochrome P-450 CYP2C8 Inhibitors (weak)|Cytochrome P-450 Enzyme Inhibitors|Diaminopyrimidines|Enzyme Inhibitors|Folic Acid Antagonists|MATE 1 Inhibitors|MATE 2 Inhibitors|MATE inhibitors|Pyrimidines",,"['Malaria', 'Toxoplasmosis']"
80,DHFR,Pemetrexed,inhibitor,1.0,1.0,approved|investigational,target,L01BA04,target,"Amino Acids|Amino Acids, Acidic|Amino Acids, Dicarboxylic|Amino Acids, Peptides, and Proteins|Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Drugs that are Mainly Renally Excreted|Drugs that are Mainly Renally Excreted with Narrow Therapeutic Index|Enzyme Inhibitors|Folic Acid Analogues|Folic Acid Antagonists|Glutamates|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Myelosuppressive Agents|Nucleic Acid Synthesis Inhibitors|OAT3/SLC22A8 Substrates|Purines|Purinones",,"['Breast cancer', 'Mesothelioma', 'Non-small cell lung cancer', 'Pleural mesothelioma malignant']"
81,DHFR,Lamotrigine,inhibitor,1.0,1.0,approved|investigational,enzyme,N03AX09,enzyme,Agents causing hyperkalemia|Agents producing tachycardia|Anti-epileptic Agent|Antiarrhythmic agents|Anticholinergic Agents|Anticonvulsants|Bradycardia-Causing Agents|Calcium Channel Blockers|Calcium-Regulating Hormones and Agents|Central Nervous System Agents|Central Nervous System Depressants|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 Substrates|Decreased Central Nervous System Disorganized Electrical Activity|Drugs that are Mainly Renally Excreted|Membrane Transport Modulators|Miscellaneous Anticonvulsants|Mood Stabilizer|Muscarinic Antagonists|Nervous System|OCT1 substrates|OCT2 Inhibitors|P-glycoprotein inhibitors|P-glycoprotein substrates|Potential QTc-Prolonging Agents|Psychotropic Drugs|QTc Prolonging Agents|Sodium Channel Blockers|Tranquilizing Agents|Triazines|UGT1A1 Inducers|UGT1A1 Substrates|UGT1A3 substrates|UGT1A4 substrates,,"['Affective disorder', 'Bipolar I disorder', 'Bipolar disorder', 'Convulsion', 'Dysmenorrhoea', 'Epilepsy', 'Grand mal convulsion', 'Hepatic function abnormal', 'Hypomania', 'Lennox-Gastaut syndrome', 'Mania', ""Parkinson's disease"", 'Parkinsonism', 'Partial seizures', 'Renal failure', 'Renal impairment']"
82,DHFR,Piritrexim,,1.0,1.0,investigational,target,,target,Antineoplastic Agents|Enzyme Inhibitors|Folic Acid Antagonists,,
88,DHFR,Pralatrexate,inhibitor,1.0,1.0,approved|investigational,target,L01BA05,target,"Antimetabolites|Antineoplastic Agents|Antineoplastic and Immunomodulating Agents|Biological Factors|Drugs that are Mainly Renally Excreted|Folic Acid Analogues|Folic Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Immunosuppressive Agents|Pigments, Biological|Pteridines|Pterins",,"['Febrile neutropenia', 'Mucosal inflammation', 'Peripheral T-cell lymphoma unspecified', 'Renal failure chronic']"
