genes,H1299_polyA_S2-24h-A,H1299_polyA_S2-24h-B
RPS4XP10,0.0,0.0
ARFGAP2,11.474,11.458
RF00019,0.0,0.0
RPSAP5,0.096,0.152
EIF3C,0.867,1.157
EPYC,0.0,0.0
FAM47E,0.018000000000000002,0.024
COPZ1,79.975,76.812
AC073648.6,0.0,0.0
RNU4-42P,0.0,0.0
ADHFE1,0.502,0.47600000000000003
ZNF728,0.039,0.040999999999999995
AL109610.1,0.0,0.0
NUBP2,10.732000000000001,9.997
AC023157.2,0.0,0.955
UBBP1,1.081,0.8540000000000001
RF00019,0.0,0.0
MLC1,0.0,0.0
ACOX1,5.035,4.652
MIR3198-1,0.0,0.0
POU4F3,0.066,0.087
DNAAF2,6.2410000000000005,6.0889999999999995
AC133106.1,0.0,0.0
REST,6.234,6.167000000000001
RAP1GAP2,19.45,19.489
NME4,31.978,31.003
NR0B2,0.0,0.0
TMEM132D-AS1,0.0,0.0
CHERP,13.959000000000001,15.298
AC092692.1,0.0,0.0
AC099689.1,0.0,0.0
TEX43,0.0,0.0
RPL11P4,0.098,0.0
LINC01763,0.055,0.057999999999999996
AC068299.1,0.0,0.0
AC110774.1,0.0,0.0
AL513165.1,16.808,19.875999999999998
AL365226.1,0.366,0.129
SPATS1,0.0,0.0
ST13P15,0.693,0.851
PAPOLB,0.02,0.01
GOLGA8S,0.01,0.01
NEDD8-MDP1,23.846,22.05
AC090993.1,0.0,0.0
AC135352.1,0.0,0.0
CNKSR3,1.321,1.3619999999999999
AC008496.2,0.09300000000000001,0.0
RIMKLA,0.23199999999999998,0.20199999999999999
FP325330.3,0.018000000000000002,0.009000000000000001
AGAP2,0.07,0.09300000000000001
SPIN1,21.326999999999998,21.096999999999998
ATP13A5,0.006999999999999999,0.0
AC024341.1,0.0,0.0
RBPJL,0.0,0.0
AC026786.2,0.0,0.0
Z82196.1,0.0,0.0
AL138688.2,0.0,0.0
LINC00491,0.0,0.0
SERPINA2,0.0,0.0
AL118496.1,0.047,0.05
ASAP2,14.673,14.909
AC008799.1,0.0,0.0
METTL2B,10.004,10.708
AL021368.3,0.0,0.155
RPL23AP44,0.0,0.0
RNU2-59P,0.0,0.0
PRPF40B,1.4480000000000002,1.5630000000000002
MIR6880,2.7489999999999997,3.9810000000000003
MIR4641,0.32299999999999995,0.0
RNA5SP530,0.722,0.7609999999999999
RNU6-490P,0.0,0.0
RN7SL55P,0.0,0.0
AC079776.1,0.037000000000000005,0.0
PCBP2,65.513,64.779
AL080312.1,0.0,0.0
AL138767.2,0.254,0.0
AL844908.1,0.0,0.0
SCAF1,21.285999999999998,22.105999999999998
FAM41C,0.0,0.0
GSS,17.921,17.02
COPS8P3,0.0,0.0
SNORD22,15.218,14.780999999999999
AC097480.1,0.0,0.0
C9orf153,0.015,0.061
SLC16A10,0.986,0.903
STAT5A,0.0,0.0
LINC00592,0.205,0.12300000000000001
AC010624.1,0.0,0.0
ACTB,932.582,940.6419999999999
LINC01132,0.0,0.0
GLIS3,1.149,1.135
SELENOS,9.105,9.183
SLC49A4,3.45,3.701
UROD,26.641,24.805
MTCO1P30,0.0,0.0
TMEM100,0.0,0.0
PLA2G12A,2.575,2.609
AP003170.4,0.218,0.077
AC012498.2,0.115,0.0
RPL7L1P5,0.0,0.0
AL606845.1,0.0,0.0
NKX2-2,0.102,0.15
CYP24A1,5.086,5.851
AC024575.1,0.5,0.7240000000000001
TNNT3,0.0,0.0
AJ003147.2,0.414,0.509
ALDOC,0.228,0.309
AC097374.2,0.0,0.034
ASIC5,0.0,0.0
TPO,0.0,0.005
UST,3.9360000000000004,3.924
AC018638.6,0.034,0.177
APOC1P1,0.114,0.14400000000000002
CLCNKB,0.0,0.0
AC127070.2,0.366,0.385
AC114737.1,0.0,0.0
DCAF4L1,0.1,0.162
CDH6,0.0,0.0
PLBD1-AS1,6.435,6.25
AL365226.2,0.0,0.0
LINC00661,0.0,0.0
FAM57A,14.235,12.597000000000001
IREB2,5.246,5.309
AP001351.1,0.0,0.0
OR7E104P,0.0,0.01
AC073592.1,0.0,0.0
RF00426,0.0,0.0
AC110760.2,0.0,0.0
OSBPL10-AS1,0.0,0.0
LENG8-AS1,0.5379999999999999,0.5670000000000001
CYP4A22-AS1,0.046,0.049
AC091564.7,15.825,15.452
SNAP91,0.903,1.005
ABHD8,7.115,6.995
AC010175.1,0.0,0.0
THAP12P2,0.0,0.0
C9orf78,21.744,21.967
AL359317.1,0.0,0.0
RNU6-154P,0.0,0.0
AC007560.1,0.7190000000000001,1.325
AP005205.3,0.0,0.023
TBX18,7.504,7.457000000000001
AC007608.3,0.0,0.0
AC072061.1,0.248,0.301
KLF2P4,0.0,0.0
NPPB,0.12,0.0
RPL29P32,0.0,0.0
RPL7P61,0.057,0.0
MTND6P15,0.0,0.0
MAGI2,0.11900000000000001,0.121
PHF12,3.366,3.3
RPLP1,248.511,240.362
AC010092.1,0.24,0.379
MIR3620,5.933,9.373
AC097347.1,0.0,0.0
RF00019,0.0,0.42700000000000005
AP005131.7,0.0,0.0
AL157938.3,0.0,0.0
AC087280.1,0.0,0.0
RF00019,0.0,0.0
AC138028.5,0.0,0.0
CDC42P2,0.0,0.0
OR5BP1P,0.0,0.0
AL139354.1,0.0,0.0
C14orf119,10.02,9.542
RASA1,14.13,14.427
LINC01270,0.042,0.015
KRTAP19-2,0.0,0.0
RPS6,401.86699999999996,390.783
CAPN10,4.666,4.397
AC093142.1,0.0,0.0
AL132640.2,0.125,0.106
AC073342.1,0.41200000000000003,0.483
ZDBF2,3.1430000000000002,3.577
ZNF581,10.659,9.835
STAU1,61.762,62.25
MIR3189,0.0,0.0
PCDH15,0.0,0.0
GPR19,1.9809999999999999,2.001
AP000777.2,0.17,0.09
AL357520.1,0.0,0.0
AC135803.1,0.45299999999999996,0.318
DCUN1D4,5.555,5.303
RSL24D1P9,0.0,0.095
ARHGAP30,0.0,0.0
AC020951.1,0.3,0.35600000000000004
MICALL1,18.535,18.212
AC007365.1,0.34,0.215
PPIAP62,0.08900000000000001,0.0
TMEM106A,0.048,0.05
RNU6-993P,0.0,0.0
RN7SL524P,0.0,0.0
AC007216.2,0.0,0.0
MTND3P17,0.0,0.0
AC109439.2,0.978,0.8540000000000001
AC073365.1,0.0,0.0
TMEM251P1,0.0,0.0
AC007132.1,0.0,0.0
ZNF765,0.77,0.7909999999999999
HJURP,50.583999999999996,49.151
RPN2,143.977,143.422
GPR63,3.585,3.633
CDC7,14.669,15.561
AC009336.2,0.109,0.121
KRT18P22,0.032,0.067
AC026801.2,0.109,0.14300000000000002
AC243571.1,0.0,0.0
AP003170.1,0.083,0.044000000000000004
TINCR,0.337,0.395
LYZL6,0.0,0.0
KMT5A,15.902000000000001,14.470999999999998
AC015911.6,0.0,0.0
RNU6-786P,0.0,0.0
CDRT4,0.716,0.777
AC006994.1,0.0,0.0
AC018410.2,0.0,0.0
SOCS2P1,0.0,0.0
AL021368.4,0.841,0.831
RPS18P12,1.207,0.88
AC009446.1,0.0,0.0
GPX1,0.28800000000000003,0.152
SPRY4,17.102999999999998,17.499000000000002
CRELD1,1.6019999999999999,1.633
FKBP1AP1,0.0,0.0
FAM136BP,0.0,0.0
HIST2H2BF,0.053,0.027999999999999997
AC107023.1,0.0,0.0
FXYD2,0.008,0.02
GRN,23.916999999999998,23.342
BRIP1,3.647,3.9419999999999997
AC110056.1,0.0,0.0
RN7SL649P,0.0,0.0
LINC01399,0.423,0.223
GAS2L1,15.224,15.463
NPM1P40,0.174,0.122
AL121972.1,0.0,0.335
RB1-DT,0.0,0.079
AL589765.1,0.0,0.0
LPAR4,0.0,0.0
AC008696.1,0.0,0.073
CACNA1B,0.86,0.825
KDSR,6.002999999999999,6.7410000000000005
SIGLEC20P,0.033,0.0
MT1L,0.0,0.0
TREX1,1.089,0.914
LMNB2,120.819,123.383
AC108134.4,0.141,0.297
AC024884.1,0.107,0.337
AC015908.6,0.0,0.0
RF00019,0.0,0.0
C1orf116,0.008,0.0
CFL1,135.447,129.74
TUBAP2,9.14,8.68
DNASE1L2,0.505,0.634
SF3A3P1,2.539,2.735
BEST1,0.015,0.057
CSNK1G2P1,0.0,0.047
NDNF,0.083,0.138
SCGB1D2,0.0,0.0
AC012313.4,0.344,0.45299999999999996
BCL7B,33.97,32.622
AL133410.3,6.8389999999999995,6.496
HEPHL1,0.0,0.0
PLK4,10.332,10.661
PSMD12P,1.061,0.92
RNF6,12.690999999999999,13.255
ARHGAP6,0.032,0.017
TMEM56-RWDD3,3.071,3.051
PKN2-AS1,0.009000000000000001,0.023
FMR1NB,0.0,0.0
ADAMTS18,0.013000000000000001,0.02
AC007906.2,0.043,0.068
LINC01529,0.0,0.0
RNU6-925P,1.229,1.295
USP38,4.372,4.109
IL5,0.054000000000000006,0.0
AL590302.2,0.0,0.0
ETFRF1,4.942,4.822
TIPARP,10.315,10.892000000000001
KRT19,0.091,0.0
PTPN7,0.0,0.0
AP005329.3,8.572000000000001,8.863999999999999
RNF175,0.0,0.0
AC135782.1,0.02,0.0
RHBDD1,4.627,4.638999999999999
MIR582,0.0,0.0
DNAAF5,28.076999999999998,28.388
RNU4-23P,0.0,0.321
MIR3187,0.0,0.0
FEM1AP4,0.0,0.0
CYCS,50.803999999999995,49.638999999999996
AL359878.2,0.0,0.0
GAD1,2.725,3.1039999999999996
RRAS,36.501999999999995,35.021
RN7SL653P,0.0,0.0
RNU6-548P,0.371,0.39
AC092375.2,0.0,0.0
AL136982.4,0.091,0.18600000000000003
RNU6-693P,0.0,0.0
AL354936.1,0.0,0.0
GXYLT1P3,0.0,0.0
CEACAMP10,0.0,0.0
SNORA68B,0.16,1.012
QPCT,2.07,2.012
RAE1,12.854000000000001,13.315
LINC02135,0.0,0.0
AC092991.1,0.0,0.0
ZNF625,1.624,1.575
MTCO1P6,0.0,0.0
RNF222,0.0,0.0
LINC00567,0.0,0.0
AC079140.3,3.0989999999999998,3.0189999999999997
KRT8P25,0.0,0.0
SNORA71E,0.32299999999999995,0.51
AC008761.3,0.0,0.0
AC021074.3,0.0,0.0
NFASC,0.08199999999999999,0.07200000000000001
IL12RB2,0.491,0.48700000000000004
YBX1P10,29.325,30.791999999999998
LINC01515,0.004,0.004
RAB15,6.704,6.425
MUC17,0.0,0.0
OSER1-DT,1.8319999999999999,2.4019999999999997
AC005256.1,0.0,0.0
MARVELD1,12.855,12.713
IGHV3-74,0.0,0.0
POC1A,24.368000000000002,23.226999999999997
AC010327.6,0.128,0.134
ADO,7.5889999999999995,8.154
SFTPC,0.013000000000000001,0.0
RANBP10,5.3,5.477
AC005225.1,0.0,0.0
RNU6-485P,0.39799999999999996,0.0
HIST1H4C,1.273,1.96
RNU1-120P,0.0,0.0
RPTOR,8.74,8.974
DGLUCY,5.394,5.787000000000001
FAM78A,0.11699999999999999,0.12300000000000001
KRT18P19,0.0,0.0
KIAA1671,4.246,4.226
MIR4682,0.0,0.0
MIR3168,0.0,0.0
GPRC5C,0.0,0.011000000000000001
MTND2P22,0.0,0.0
AL158013.1,1.594,1.6780000000000002
AC069444.2,0.511,0.7140000000000001
AL024507.2,1.242,1.151
AC009955.4,0.0,0.08199999999999999
PREX1,0.19899999999999998,0.221
MIR7844,6.636,7.357
GOLGA2P9,0.0,0.0
POMP,62.372,62.802
AL096711.2,4.755,5.112
MARCO,0.0,0.0
STAMBP,8.091000000000001,8.119
AL158154.2,0.0,0.0
UQCRFS1P2,0.0,0.0
DSPP,0.0,0.0
AL359999.1,0.0,0.0
AC034243.1,0.218,0.22899999999999998
GTF2E2,19.092,17.968
FKBP14,3.16,2.907
SF1,51.251000000000005,51.857
LINC00266-1,0.0,0.0
AC087242.1,0.0,0.0
AC233964.1,0.0,0.0
AL136439.1,0.0,0.0
AC020763.4,0.01,0.011000000000000001
NKAIN3-IT1,0.006,0.006
MIR7162,0.0,0.0
SYCP2L,2.656,2.951
LINC01510,0.10099999999999999,0.159
RF02271,6.556,6.041
DKK1,13.833,14.386
STRA6,0.011000000000000001,0.023
RNU6-945P,0.7959999999999999,1.258
CES3,0.035,0.077
AC091117.1,0.1,0.0
AC022211.2,0.674,0.8170000000000001
AL354714.3,0.0,0.0
ZC3H11A,3.409,3.443
ABCG5,0.0,0.0
PHYHD1,0.0,0.0
GALT,1.943,2.093
AC012085.1,0.055999999999999994,0.0
PUM2,21.238000000000003,21.345
ZNF695,2.116,2.043
RAD50,6.352,6.471
UGT2B27P,0.0,0.0
RPL21P32,0.0,0.0
AL450405.1,15.462,18.746
PCDH19,0.004,0.005
MYOZ3,0.0,0.0
PTAFR,0.122,0.096
NOP2,34.988,35.278
DPP9,34.025999999999996,34.698
CHD7,8.502,9.062000000000001
LGI2,0.033,0.035
GPR158,0.46399999999999997,0.461
NAF1,4.05,3.9930000000000003
TMED10P1,0.39,0.34299999999999997
LINC02328,0.0,0.0
AC090825.1,1.254,1.043
SLCO5A1,0.0,0.023
JADE1,5.662999999999999,5.443
MIR4307,0.0,0.0
OTX1,0.564,0.5479999999999999
FZD7,7.486000000000001,7.64
HAR1A,0.045,0.07200000000000001
AP005482.1,0.018000000000000002,0.019
AMHR2,0.0,0.0
MX2,0.0,0.0
GRM2,0.012,0.0
MIR3158-1,0.0,0.0
TERT,2.287,2.233
PPFIA2,0.03,0.047
LCTL,0.012,0.026000000000000002
AC135507.1,1.367,1.68
MORF4L2-AS1,0.29600000000000004,0.409
MIR2115,0.0,0.0
AL109763.1,0.0,0.0
AC011944.1,0.0,0.0
C12orf45,1.0270000000000001,1.051
AC100803.1,0.031,0.065
AL139142.1,0.0,0.0
AC005019.1,0.0,0.0
AC013472.1,0.0,0.0
ABHD16B,0.0,0.0
ACTBP7,0.19,0.439
KDELR2,44.248000000000005,43.152
ARHGEF16,0.248,0.253
TP53,7.282,7.282
MRPS18CP6,0.0,0.0
ENC1,8.073,8.236
RPL10P9,0.529,0.139
AC083964.1,0.271,0.214
VAT1,24.36,23.014
AC099654.2,0.301,0.113
AC008708.2,0.0,0.04
LINC00703,0.0,0.0
NAV2-AS5,0.0,0.0
AC074286.1,0.0,0.0
AF131216.3,0.0,0.0
RNA5SP150,0.0,0.0
SYTL5,1.247,0.922
OR2B8P,0.136,0.048
EIF5AP4,0.092,0.0
AC011095.1,0.0,0.0
TAF11L11,0.0,0.0
PLA2G12AP1,0.225,0.0
FOXO6,0.16,0.11199999999999999
AC104655.1,0.28,0.147
OR7E62P,0.0,0.0
DIRAS1,1.3940000000000001,1.22
SSBP3-AS1,0.0,0.0
NR2F6,29.45,29.02
ZNF696,9.601,10.224
SERPINB3,0.0,0.0
CRYGA,0.0,0.0
TGOLN2,31.774,31.404
ALG1,6.303,6.816
RPL31P2,0.33899999999999997,0.0
C6orf47-AS1,0.063,0.067
KERA,0.0,0.0
IGF2-AS,0.0,0.0
AC110609.1,0.0,0.0
RF00026,0.0,0.0
SCARNA13,4.803,4.406000000000001
HLA-L,0.364,0.562
OR51N1P,0.0,0.0
SEC14L5,1.685,1.646
AC233280.1,0.025,0.027000000000000003
AC111000.1,0.0,0.0
RNY1P16,0.384,0.0
PIH1D2,0.723,0.816
AC008805.1,0.0,0.0
AC025647.1,0.0,0.0
AC007298.2,0.049,0.0
RALGAPA1,0.852,0.9059999999999999
AC002550.2,0.324,0.228
ASB16-AS1,1.403,1.5319999999999998
AC063943.1,0.0,0.0
AP5Z1,9.219,8.748
AC010997.3,0.038,0.08
RPL21P66,0.0,0.0
RMI2,4.673,4.25
TMEM183A,5.023,4.79
AC107375.1,1.28,1.4280000000000002
SEPT9,16.098,16.309
RHAG,0.0,0.0
GMFB,11.943,11.697000000000001
AC040169.1,5.398,5.254
KCNK9,0.0,0.0
ZNF850,5.922000000000001,6.591
EEF1AKMT4,8.158,7.545
PGM5P3-AS1,0.0,0.0
CAST,19.234,20.167
LENG9,0.4,0.304
BHLHE22,0.039,0.027999999999999997
FMC1,18.915,18.428
NFKB2,41.263999999999996,41.687
OXCT2P1,0.055999999999999994,0.028999999999999998
AP000356.1,0.0,0.0
AL050403.2,0.0,0.0
AC133550.2,0.862,0.33
AC116667.2,0.0,0.0
AL627309.1,0.0,0.0
RBMX2P1,0.0,0.0
AC008109.1,6.706,7.226
NF1P12,0.0,0.0
AC108860.1,0.0,0.0
GMFBP1,0.0,0.105
AL445465.1,0.0,0.0
APOOP4,0.0,0.0
MAGEA10,13.104000000000001,14.017000000000001
AC099677.7,0.0,0.0
AC145207.6,0.054000000000000006,0.057
LMAN1L,0.0,0.0
AL590096.1,0.0,0.114
LCE6A,0.0,0.0
AC022387.1,0.0,0.0
AC011466.1,0.226,0.159
AC093884.1,6.307,6.943
OSBPL9,8.737,8.405
AC134407.2,0.043,0.113
OR7E59P,0.0,0.0
KDM3A,6.245,6.617000000000001
AC018809.1,0.385,0.568
MIR1266,0.0,0.0
VCL,40.346,40.574
CHST13,0.048,0.1
MIR103A1,0.0,0.0
RNU6-106P,0.0,0.0
VAT1L,0.021,0.0
AC091167.4,0.0,0.0
RF00019,0.0,0.0
RAI2,0.016,0.017
C22orf31,0.0,0.0
RPSAP16,0.0,0.0
STK40,14.453,14.093
ST13P13,0.0,0.0
NBN,25.956999999999997,26.855999999999998
AL356740.1,0.0,0.0
ZRANB2-AS1,0.0,0.09300000000000001
ARMC8P1,0.0,0.0
DOC2A,0.649,0.648
AL590399.3,0.0,0.0
C3orf67,0.9329999999999999,1.001
CSNK1A1,38.556,40.609
AP001273.2,10.485,10.008
CBX3P1,1.0,1.1340000000000001
ATOH1,0.0,0.0
AL772337.4,0.0,0.0
AC123900.1,0.0,0.0
AC027279.4,0.0,0.022000000000000002
RAB19,0.0,0.0
AC099850.3,0.0,0.14
ZNF416,2.478,2.116
HMGN1P28,0.0,0.0
RF01210,0.0,0.43200000000000005
RPL18AP16,0.0,0.0
ZNF833P,0.08,0.099
HPR,0.0,0.0
AC005307.1,0.0,0.0
UTP23,8.922,9.294
GDPD5,0.004,0.018000000000000002
RNU6-583P,0.46299999999999997,0.0
ACTR3P2,0.068,0.036000000000000004
CKMT1A,0.473,0.491
AC012360.2,0.0,0.0
AL359273.1,0.447,0.248
SNORA5B,0.32299999999999995,0.68
BRICD5,1.943,1.82
LINC01766,0.0,0.0
YAP1,27.142,27.825
DANT1,0.0,0.0
RF00019,0.0,0.0
BMP7,0.016,0.057999999999999996
AC016026.1,5.1739999999999995,5.003
SIX1,2.3,2.225
URAHP,0.255,0.384
