genes,H1299_polyA_S2-36h-A,H1299_polyA_S2-36h-B,H1299_polyA_mock-36h-A,H1299_polyA_mock-36h-B
AL390955.1,0.065,0.0,0.0,0.071
ATP6V1H,14.911,14.627,14.112,13.838
AC021766.1,0.0,0.0,0.0,0.0
EDARADD,0.34299999999999997,0.29100000000000004,0.392,0.281
AL137246.1,0.0,0.0,0.0,0.0
AC133565.1,0.0,0.0,0.0,0.0
BX649632.1,0.062,0.079,0.08900000000000001,0.0
OSBPL8,19.076,19.107,20.666,20.444000000000003
AL122035.2,0.032,0.165,0.09300000000000001,0.141
EEF1GP5,0.046,0.059000000000000004,0.0,0.05
AC010531.7,0.0,0.0,0.0,0.0
AC009812.1,1.652,2.588,1.555,1.7730000000000001
TTC16,0.038,0.012,0.013999999999999999,0.031
AC012513.3,3.9010000000000002,3.762,3.236,3.02
AC244502.2,0.0,0.0,0.0,0.0
TTF1,12.874,14.423,13.965,14.140999999999998
STK3,2.928,3.029,2.875,2.781
LINC00052,0.0,0.0,0.0,0.0
SETDB1,6.178,7.017,7.149,6.9110000000000005
AC069549.1,0.0,0.0,0.0,0.0
AC016582.2,3.4330000000000003,3.778,3.571,3.405
AC134349.2,0.133,0.0,0.095,0.07200000000000001
AC009411.2,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
GYS2,0.039,0.062,0.013999999999999999,0.0
AL160286.3,0.0,0.0,0.0,0.0
DENND1A,3.5980000000000003,3.3080000000000003,3.4989999999999997,3.675
LINC01608,12.025,11.613,11.411,12.354000000000001
TRBV9,0.0,0.0,0.0,0.0
LAMP5,0.0,0.0,0.0,0.0
AL139424.3,0.0,0.032,0.0,0.0
LINC02272,0.0,0.0,0.0,0.0
NMB,13.183,13.385,14.333,13.474
XKRX,0.0,0.0,0.051,0.0
ERGIC1,7.367000000000001,7.504,7.51,7.919
HLA-A,68.913,65.847,69.128,61.883
CNFN,1.683,2.017,2.121,1.827
RNU7-195P,0.0,0.0,0.0,0.0
RNU105B,0.0,0.37200000000000005,0.41700000000000004,0.0
AC239859.6,2.8489999999999998,4.717,3.662,3.093
MTND1P32,0.0,0.0,0.0,0.0
AL035250.1,0.0,0.0,0.0,0.0
AC015802.1,0.0,0.0,0.0,0.0
AC137723.1,0.0,0.583,0.436,0.166
COPE,46.071999999999996,44.192,49.383,42.431000000000004
RF00019,0.0,0.0,0.0,0.0
LINC02299,0.0,0.0,0.0,0.0
ASCL2,0.0,0.0,0.0,0.0
NUPL2,5.452999999999999,6.091,6.035,5.7379999999999995
AC093668.1,0.415,0.698,0.38799999999999996,0.511
AC007842.1,1.012,1.364,0.8079999999999999,1.745
AC084364.2,0.0,0.0,0.0,0.0
MIR645,0.0,0.8220000000000001,0.0,0.701
AL137220.1,0.0,0.0,0.131,0.1
RF00019,0.0,0.0,0.0,0.0
TENT2,4.76,4.785,4.926,4.9639999999999995
RSPH3,4.412,4.417,4.914,4.9110000000000005
AC096751.2,0.0,0.0,0.0,0.0
TGIF2P1,0.177,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
SP8,0.016,0.021,0.0,0.035
RBL2,6.981,6.593,8.086,7.542000000000001
MIR590,3.7539999999999996,4.78,0.894,2.717
TP53TG5,0.02,0.052000000000000005,0.028999999999999998,0.022000000000000002
AC012447.1,1.246,0.907,1.3980000000000001,1.449
MAGEA8-AS1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
AKTIP,1.8459999999999999,1.726,1.919,1.611
COQ10A,3.93,3.36,4.0360000000000005,3.1489999999999996
ZNF502,0.0,0.0,0.0,0.0
NUDT19P5,0.0,0.0,0.0,0.0
WDTC1,7.772,7.819,7.757000000000001,8.46
AC108112.1,0.0,0.0,0.0,0.0
PANK4,6.153,6.308,5.836,6.732
LGALSL,2.129,2.889,2.909,2.6639999999999997
RPL36P4,0.0,0.0,0.0,0.0
AL121820.2,0.0,0.0,0.0,0.0
AC026412.2,0.508,0.7190000000000001,0.564,0.49
RARRES2P11,0.0,0.0,0.0,0.0
AHNAK,66.73899999999999,68.13600000000001,68.666,73.682
AC091152.4,0.105,0.14400000000000002,0.11199999999999999,0.114
COX6B1,182.738,180.078,188.528,180.764
AL441883.1,1.278,1.5530000000000002,1.659,2.0180000000000002
AL109767.1,0.0,0.0,0.0,0.0
AL031659.1,0.0,0.0,0.0,0.122
P3H2,6.186,6.212999999999999,5.521,5.71
RN7SKP276,0.0,0.28800000000000003,0.0,0.0
CEBPA,0.42,0.41600000000000004,0.467,0.735
ZNF22,10.735999999999999,10.51,9.851,11.78
PDE11A,0.015,0.016,0.004,0.011000000000000001
NDUFB4P9,0.0,0.0,0.0,0.0
TLN1,56.873999999999995,55.25899999999999,55.402,55.736000000000004
ELMO3,1.4140000000000001,1.321,1.75,1.4580000000000002
ADD3-AS1,0.02,0.017,0.0,0.006999999999999999
SULT1E1,0.102,0.16699999999999998,0.146,0.095
UGDH,26.252,25.633000000000003,25.928,25.535999999999998
DPM3,26.15,26.838,27.313000000000002,22.774
MOB4,9.201,9.579,9.943999999999999,9.655
LINC01124,0.172,0.21899999999999997,0.32799999999999996,0.28
AL590666.4,0.0,0.0,0.0,0.0
AC073091.2,0.0,0.0,0.0,0.0
AC107959.2,0.023,0.0,0.033,0.025
RPL9,108.47399999999999,106.73700000000001,107.76799999999999,102.43799999999999
AVIL,0.237,0.23600000000000002,0.368,0.257
AC207130.1,0.0,0.0,0.0,0.0
TEX54,0.063,0.0,0.0,0.068
RNU1-72P,0.7929999999999999,0.0,0.0,0.0
OR2M4,0.01,0.039,0.015,0.0
TMEM43,32.019,31.772,31.326999999999998,30.149
AC008280.1,0.147,0.0,0.0,0.0
PCSK6,0.259,0.26899999999999996,0.275,0.284
AC115284.1,8.34,8.806000000000001,10.089,8.552
LINC02000,0.0,0.0,0.0,0.0
EID2,34.126999999999995,32.83,30.967,31.791
ELL,5.985,5.122999999999999,5.111000000000001,5.895
CDAN1,4.678999999999999,4.894,5.297999999999999,4.934
STAU2-AS1,0.0,0.0,0.0,0.0
PLSCR4,0.273,0.32899999999999996,0.24600000000000002,0.34299999999999997
ATP5MC2P1,0.0,0.0,0.0,0.155
CTR9,15.735,16.207,15.593,16.477
MRPS33P3,0.0,0.24,0.0,0.0
AC091860.1,0.0,0.0,0.0,0.0
SLC51A,0.0,0.0,0.016,0.0
LINC00851,0.0,0.0,0.0,0.0
RNU1-87P,0.0,0.455,0.0,0.0
OGDHL,0.40299999999999997,0.607,0.515,0.449
CCR5,0.0,0.0,0.0,0.0
ZNF426-DT,0.14,0.179,0.2,0.22899999999999998
AC093495.1,0.045,0.057999999999999996,0.022000000000000002,0.016
TERF2IP,39.953,40.943000000000005,39.991,38.479
TMPO-AS1,4.122,4.19,3.821,4.2589999999999995
FAM90A27P,0.0,0.0,0.0,0.0
MT1HL1,0.0,0.0,0.0,0.0
MIR26A2,0.0,0.0,0.0,0.0
AL583722.1,0.0,0.0,0.0,0.0
DHRS4L2,0.7959999999999999,0.6759999999999999,0.878,0.563
BCL10,6.019,6.51,6.795,6.42
AP003108.2,1.511,1.5,1.5730000000000002,1.393
RF00012,0.0,0.0,0.0,0.0
RPS12P18,0.0,0.0,0.0,0.0
AC010186.1,0.114,0.581,0.326,0.124
LINC01731,0.0,0.368,0.0,0.0
STAG3,12.585,12.312000000000001,12.614,12.922
MTMR7,0.009000000000000001,0.055999999999999994,0.025,0.01
LINC02273,0.0,0.0,0.0,0.0
EGFEM1P,0.052000000000000005,0.183,0.09300000000000001,0.184
KRT18P12,0.14300000000000002,0.0,0.0,0.0
FAM220A,5.136,5.053999999999999,5.1979999999999995,4.901
TM9SF1,5.894,5.207000000000001,5.754,5.5360000000000005
ITGB3,0.428,0.273,0.552,0.465
AC109492.1,0.094,0.0,0.0,0.0
AC034231.1,1.0170000000000001,1.439,1.291,1.35
AL596223.1,0.0,0.0,0.0,0.0
ERRFI1,185.877,181.178,210.356,207.405
TMEM198,0.589,0.63,0.5720000000000001,0.664
KNSTRN,28.485,31.07,29.699,28.021
RNH1,26.954,26.165,27.975,25.965
SNORD58B,117.54700000000001,112.79799999999999,131.762,117.96799999999999
AP000350.1,0.0,0.0,0.0,0.0
RPL35P4,0.0,0.0,0.0,0.0
AC090615.1,0.0,0.0,0.0,0.0
AC092112.1,0.095,0.0,0.0,0.20600000000000002
TPD52,19.739,20.059,19.668,20.746
MDH2,139.917,141.937,133.931,137.691
RPS4XP10,0.0,0.0,0.0,0.0
ARFGAP2,10.880999999999998,11.975,11.117,10.571
RF00019,0.0,0.0,0.0,0.0
RPSAP5,0.0,0.087,0.0,0.0
EIF3C,0.93,1.0959999999999999,0.9309999999999999,0.925
EPYC,0.0,0.0,0.0,0.0
FAM47E,0.022000000000000002,0.024,0.036000000000000004,0.003
COPZ1,76.712,79.484,75.225,77.55
AC073648.6,0.0,0.0,0.0,0.0
RNU4-42P,0.0,0.0,0.0,0.0
ADHFE1,0.287,0.35100000000000003,0.423,0.332
ZNF728,0.027999999999999997,0.0,0.04,0.0
AL109610.1,0.0,0.0,0.0,0.0
NUBP2,10.195,9.139,11.546,9.709
AC023157.2,0.0,0.0,0.0,0.0
UBBP1,0.77,2.287,0.366,0.557
RF00019,0.0,0.0,0.0,0.0
MLC1,0.0,0.036000000000000004,0.0,0.0
ACOX1,4.38,4.869,4.875,4.35
MIR3198-1,0.0,0.0,0.0,0.0
POU4F3,0.0,0.06,0.067,0.026000000000000002
DNAAF2,6.595,6.651,7.46,6.827000000000001
AC133106.1,0.0,0.0,0.0,0.0
REST,6.067,6.341,5.885,6.462000000000001
RAP1GAP2,18.847,19.526,18.297,18.886
NME4,31.156999999999996,31.535,32.294000000000004,32.251
NR0B2,0.0,0.0,0.0,0.0
TMEM132D-AS1,0.027000000000000003,0.0,0.0,0.0
CHERP,15.584000000000001,14.532,13.589,15.883
AC092692.1,0.0,0.0,0.0,0.0
AC099689.1,0.0,0.0,0.0,0.0
TEX43,0.0,0.158,0.0,0.134
RPL11P4,0.139,0.0,0.0,0.0
LINC01763,0.0,0.05,0.055999999999999994,0.043
AC068299.1,0.0,0.0,0.0,0.0
AC110774.1,0.0,0.038,0.0,0.0
AL513165.1,19.53,14.173,20.395,18.695
AL365226.1,0.8690000000000001,0.44299999999999995,0.0,0.18899999999999997
SPATS1,0.0,0.0,0.0,0.0
ST13P15,0.8220000000000001,0.5589999999999999,0.5479999999999999,0.47600000000000003
PAPOLB,0.0,0.0,0.0,0.0
GOLGA8S,0.0,0.0,0.0,0.0
NEDD8-MDP1,22.502,23.095,22.302,24.989
AC090993.1,0.0,0.0,0.0,0.0
AC135352.1,0.0,0.0,0.0,0.0
CNKSR3,1.235,1.3969999999999998,1.197,1.365
AC008496.2,0.264,0.0,0.188,0.0
RIMKLA,0.268,0.182,0.23600000000000002,0.21100000000000002
FP325330.3,0.006,0.0,0.009000000000000001,0.035
AGAP2,0.036000000000000004,0.08,0.155,0.10800000000000001
SPIN1,21.662,21.136999999999997,22.664,22.421
ATP13A5,0.01,0.012,0.0,0.0
AC024341.1,0.0,0.0,0.0,0.0
RBPJL,0.0,0.0,0.0,0.0
AC026786.2,0.155,0.19699999999999998,0.0,0.336
Z82196.1,0.0,0.0,0.0,0.0
AL138688.2,0.0,0.0,0.0,0.044000000000000004
LINC00491,0.0,0.0,0.0,0.0
SERPINA2,0.0,0.0,0.0,0.0
AL118496.1,0.0,0.043,0.048,0.036000000000000004
ASAP2,15.062000000000001,15.612,16.208,15.988
AC008799.1,0.0,0.0,0.0,0.0
METTL2B,10.166,9.997,9.992,9.894
AL021368.3,0.0,0.0,0.0,0.114
RPL23AP44,0.0,0.0,0.0,0.0
RNU2-59P,0.0,0.0,0.0,0.0
PRPF40B,1.317,1.187,1.138,1.402
MIR6880,2.937,1.247,2.7960000000000003,2.125
MIR4641,0.0,0.0,0.657,0.0
RNA5SP530,0.0,0.655,0.735,1.117
RNU6-490P,0.0,0.0,0.0,0.0
RN7SL55P,0.0,0.0,0.0,0.0
AC079776.1,0.053,0.0,0.075,0.0
PCBP2,65.817,65.482,64.49600000000001,65.969
AL080312.1,0.0,0.0,0.0,0.0
AL138767.2,0.0,0.0,0.0,0.0
AL844908.1,0.0,0.0,0.0,0.0
SCAF1,21.331,22.524,21.456,23.099
FAM41C,0.0,0.0,0.0,0.0
GSS,18.153,17.259,17.925,16.634
COPS8P3,0.0,0.0,0.0,0.0
SNORD22,9.392999999999999,13.187000000000001,14.102,10.197000000000001
AC097480.1,0.0,0.0,0.0,0.0
C9orf153,0.021,0.079,0.03,0.079
SLC16A10,0.978,0.922,1.01,1.05
STAT5A,0.021,0.013000000000000001,0.0,0.011000000000000001
LINC00592,0.16699999999999998,0.106,0.11900000000000001,0.09
AC010624.1,0.0,0.0,0.0,0.0
ACTB,945.425,951.9989999999999,929.5219999999999,973.605
LINC01132,0.0,0.0,0.017,0.0
GLIS3,1.064,1.11,1.2590000000000001,1.232
SELENOS,9.044,9.11,9.18,8.486
SLC49A4,3.435,3.676,4.018,3.273
UROD,26.526999999999997,25.454,25.601,25.217
MTCO1P30,0.0,0.0,0.0,0.0
TMEM100,0.0,0.0,0.0,0.0
PLA2G12A,2.464,2.62,2.781,2.6439999999999997
AP003170.4,0.10400000000000001,0.132,0.29600000000000004,0.225
AC012498.2,0.0,0.0,0.0,0.0
RPL7L1P5,0.0,0.0,0.11699999999999999,0.0
AL606845.1,0.0,0.0,0.0,0.0
NKX2-2,0.11599999999999999,0.14800000000000002,0.29,0.157
CYP24A1,4.459,4.573,4.456,5.237
AC024575.1,0.311,0.51,0.826,0.29
TNNT3,0.0,0.0,0.0,0.0
AJ003147.2,0.49200000000000005,0.084,0.14,0.516
ALDOC,0.18600000000000003,0.11800000000000001,0.531,0.22699999999999998
AC097374.2,0.0,0.0,0.0,0.0
ASIC5,0.0,0.0,0.0,0.0
TPO,0.0,0.018000000000000002,0.0,0.0
UST,3.995,4.181,3.8160000000000003,4.31
AC018638.6,0.096,0.061,0.13699999999999998,0.312
APOC1P1,0.086,0.0,0.185,0.26899999999999996
CLCNKB,0.0,0.0,0.028999999999999998,0.0
AC127070.2,0.316,0.18899999999999997,0.5579999999999999,0.424
AC114737.1,0.0,0.0,0.0,0.0
DCAF4L1,0.09,0.14800000000000002,0.129,0.22399999999999998
CDH6,0.0,0.0,0.0,0.0
PLBD1-AS1,5.803999999999999,8.04,5.381,7.296
AL365226.2,0.0,0.0,0.0,0.0
LINC00661,0.0,0.0,0.0,0.0
FAM57A,14.574000000000002,13.53,14.065999999999999,14.472999999999999
IREB2,5.595,5.795,5.865,6.093
AP001351.1,0.0,0.0,0.0,0.0
OR7E104P,0.0,0.0,0.0,0.0
AC073592.1,0.0,0.0,0.0,0.0
RF00426,0.0,0.0,0.0,0.0
AC110760.2,0.0,0.0,0.0,0.0
OSBPL10-AS1,0.0,0.0,0.0,0.0
LENG8-AS1,0.21899999999999997,0.605,1.095,0.595
CYP4A22-AS1,0.132,0.0,0.094,0.0
AC091564.7,16.061,15.095999999999998,15.453,16.289
SNAP91,1.113,1.36,1.03,1.298
ABHD8,8.0,7.864,9.061,8.076
AC010175.1,0.0,0.0,0.0,0.0
THAP12P2,0.0,0.0,0.0,0.0
C9orf78,22.4,22.506999999999998,22.523000000000003,21.553
AL359317.1,0.0,0.0,0.0,0.0
RNU6-154P,0.0,0.0,0.0,0.0
AC007560.1,1.28,0.326,1.097,0.278
AP005205.3,0.0,0.04,0.045,0.034
TBX18,7.707000000000001,7.627000000000001,7.542000000000001,8.146
AC007608.3,0.0,0.0,0.0,0.0
AC072061.1,0.299,0.17300000000000001,0.31,0.177
KLF2P4,0.0,0.0,0.0,0.0
NPPB,0.0,0.0,0.0,0.0
RPL29P32,0.0,0.0,0.0,0.0
RPL7P61,0.0,0.0,0.0,0.0
MTND6P15,0.0,0.0,0.0,0.0
MAGI2,0.14400000000000002,0.13,0.107,0.158
PHF12,3.122,3.3560000000000003,3.41,3.47
RPLP1,241.419,242.757,248.463,225.053
AC010092.1,0.455,0.217,0.244,0.494
MIR3620,10.755,7.337000000000001,4.937,4.587
AC097347.1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
AP005131.7,0.0,0.0,0.0,0.0
AL157938.3,0.0,0.0,0.0,0.0
AC087280.1,0.0,0.0,0.0,0.0
RF00019,0.595,0.758,0.0,0.0
AC138028.5,0.0,0.0,0.0,0.0
CDC42P2,0.0,0.0,0.0,0.0
OR5BP1P,0.0,0.0,0.0,0.0
AL139354.1,0.0,0.0,0.0,0.0
C14orf119,10.44,9.575,11.241,10.344000000000001
RASA1,13.189,13.190999999999999,13.949000000000002,13.852
LINC01270,0.04,0.10300000000000001,0.0,0.022000000000000002
KRTAP19-2,0.0,0.0,0.0,0.0
RPS6,401.086,415.76,397.12,398.964
CAPN10,4.322,3.695,4.493,4.1530000000000005
AC093142.1,0.0,0.0,0.0,0.0
AL132640.2,0.071,0.091,0.051,0.039
AC073342.1,0.392,0.249,0.28,0.708
ZDBF2,3.2569999999999997,3.339,3.427,3.82
ZNF581,11.105,10.123,10.603,10.299000000000001
STAU1,64.84100000000001,66.976,61.207,63.747
MIR3189,0.0,0.0,0.0,0.0
PCDH15,0.0,0.0,0.0,0.0
GPR19,2.498,1.885,2.6430000000000002,2.411
AP000777.2,0.121,0.154,0.0,0.132
AL357520.1,0.0,0.0,0.0,0.0
AC135803.1,0.43,0.41,0.767,0.466
DCUN1D4,5.07,5.311,5.309,5.435
RSL24D1P9,0.129,0.0,0.0,0.0
ARHGAP30,0.0,0.0,0.0,0.0
AC020951.1,0.267,0.34,0.267,0.46399999999999997
MICALL1,19.647000000000002,18.492,19.781,20.214000000000002
AC007365.1,0.387,0.493,0.8290000000000001,0.63
PPIAP62,0.0,0.0,0.0,0.0
TMEM106A,0.017,0.065,0.0,0.037000000000000005
RNU6-993P,0.0,0.0,0.0,0.0
RN7SL524P,0.0,0.0,0.0,0.0
AC007216.2,0.0,0.0,0.0,0.0
MTND3P17,0.0,0.0,0.0,0.0
AC109439.2,1.2229999999999999,1.212,1.068,1.07
AC073365.1,0.0,0.0,0.0,0.0
TMEM251P1,0.191,0.0,0.0,0.0
AC007132.1,0.0,0.0,0.0,0.0
ZNF765,0.701,0.701,0.604,0.5710000000000001
HJURP,50.255,52.688,49.724,51.316
RPN2,143.072,140.226,142.118,138.338
GPR63,3.611,3.86,3.457,3.7760000000000002
CDC7,14.991,16.921,15.220999999999998,15.067
AC009336.2,0.086,0.08800000000000001,0.111,0.10300000000000001
KRT18P22,0.0,0.057,0.0,0.0
AC026801.2,0.31,0.099,0.0,0.168
AC243571.1,0.0,0.0,0.0,0.0
AP003170.1,0.0,0.15,0.168,0.192
TINCR,0.43799999999999994,0.506,0.41100000000000003,0.342
LYZL6,0.0,0.0,0.0,0.0
KMT5A,15.484000000000002,16.067999999999998,15.33,15.658
AC015911.6,0.0,0.0,0.0,0.0
RNU6-786P,0.0,0.8590000000000001,0.0,0.0
CDRT4,0.586,0.8220000000000001,0.677,0.765
AC006994.1,0.0,0.0,0.0,0.0
AC018410.2,0.0,0.0,0.0,0.0
SOCS2P1,0.0,0.0,0.0,0.0
AL021368.4,1.0190000000000001,0.8009999999999999,0.856,1.155
RPS18P12,0.6609999999999999,0.6729999999999999,0.9440000000000001,1.435
AC009446.1,0.0,0.0,0.0,0.0
GPX1,0.154,0.131,0.44,0.111
SPRY4,16.585,16.81,18.101,19.771
CRELD1,1.141,1.2890000000000001,1.4680000000000002,1.709
FKBP1AP1,0.0,0.0,0.0,0.207
FAM136BP,0.0,0.0,0.0,0.0
HIST2H2BF,0.0,0.024,0.0,0.040999999999999995
AC107023.1,0.0,0.0,0.0,0.0
FXYD2,0.005,0.0,0.023,0.012
GRN,23.835,23.596999999999998,23.588,23.745
BRIP1,4.352,4.149,3.7960000000000003,4.428
AC110056.1,0.0,0.0,0.0,0.0
RN7SL649P,0.0,0.0,0.0,0.0
LINC01399,0.301,0.384,0.43,0.08199999999999999
GAS2L1,14.682,15.005,15.533,14.865
NPM1P40,0.248,0.316,0.23600000000000002,0.0
AL121972.1,0.226,0.096,0.0,0.24600000000000002
RB1-DT,0.106,0.068,0.076,0.057999999999999996
AL589765.1,0.0,0.2,0.0,0.171
LPAR4,0.0,0.0,0.0,0.0
AC008696.1,0.0,0.0,0.0,0.0
CACNA1B,0.8640000000000001,0.983,0.8140000000000001,0.845
KDSR,6.686,6.381,6.5889999999999995,6.707000000000001
SIGLEC20P,0.0,0.0,0.0,0.05
MT1L,0.0,0.0,0.0,0.0
TREX1,0.713,0.534,0.629,0.774
LMNB2,133.142,129.254,128.931,126.03399999999999
AC108134.4,0.201,0.0,0.0,0.0
AC024884.1,0.152,0.29100000000000004,0.217,0.33
AC015908.6,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
C1orf116,0.011000000000000001,0.0,0.0,0.012
CFL1,129.825,128.463,128.131,130.707
TUBAP2,8.842,8.816,8.329,7.271
