genes,Calu3_polyA_series2-8h-S2-1,Calu3_polyA_series2-8h-S2-2
TPD52,6.051,6.127999999999999
MDH2,42.548,44.788999999999994
RPS4XP10,0.0,0.0
ARFGAP2,20.787,19.407
RF00019,0.0,0.0
RPSAP5,0.0,0.13
EIF3C,1.103,0.8859999999999999
EPYC,0.031,0.0
FAM47E,0.079,0.084
COPZ1,51.038999999999994,53.636
AC073648.6,0.0,0.0
RNU4-42P,0.0,0.0
ADHFE1,0.016,0.025
ZNF728,0.0,0.0
AL109610.1,0.0,0.0
NUBP2,14.779000000000002,16.512
AC023157.2,0.39299999999999996,0.0
UBBP1,1.405,1.09
RF00019,0.0,0.0
MLC1,0.0,0.0
ACOX1,6.6979999999999995,6.471
MIR3198-1,0.0,0.0
POU4F3,0.065,0.022000000000000002
DNAAF2,10.655,11.425
AC133106.1,0.0,0.0
REST,4.322,3.81
RAP1GAP2,6.567,5.696000000000001
NME4,31.494,34.705
NR0B2,0.0,0.0
TMEM132D-AS1,0.0,0.0
CHERP,6.997999999999999,6.5760000000000005
AC092692.1,0.0,0.022000000000000002
AC099689.1,0.0,0.0
TEX43,0.0,0.0
RPL11P4,0.0,0.0
LINC01763,0.0,0.0
AC068299.1,0.0,0.0
AC110774.1,0.0,0.0
AL513165.1,0.767,1.3869999999999998
AL365226.1,0.794,0.49200000000000005
SPATS1,0.0,0.0
ST13P15,0.9009999999999999,0.569
PAPOLB,0.0,0.0
GOLGA8S,0.0,0.013000000000000001
NEDD8-MDP1,38.87,44.6
AC090993.1,0.0,0.0
AC135352.1,0.0,0.04
CNKSR3,0.205,0.175
AC008496.2,0.12,0.0
RIMKLA,0.22899999999999998,0.23199999999999998
FP325330.3,0.0,0.0
AGAP2,0.066,0.051
SPIN1,14.708,13.645999999999999
ATP13A5,0.0,0.018000000000000002
AC024341.1,0.0,0.0
RBPJL,0.0,0.0
AC026786.2,0.141,0.0
Z82196.1,0.0,0.0
AL138688.2,0.0,0.038
LINC00491,0.0,0.0
SERPINA2,0.0,0.0
AL118496.1,0.061,0.032
ASAP2,16.012,13.780999999999999
AC008799.1,0.0,0.0
METTL2B,3.2539999999999996,3.59
AL021368.3,0.0,0.0
RPL23AP44,0.0,0.0
RNU2-59P,0.0,0.0
PRPF40B,2.176,2.123
MIR6880,0.893,0.924
MIR4641,0.0,0.434
RNA5SP530,0.0,0.485
RNU6-490P,0.0,0.0
RN7SL55P,0.0,0.0
AC079776.1,0.096,0.05
PCBP2,20.814,20.381
AL080312.1,0.0,0.07
AL138767.2,0.0,0.0
AL844908.1,0.0,0.0
SCAF1,24.951999999999998,24.483
FAM41C,0.0,0.0
GSS,23.375,23.729
COPS8P3,0.0,0.0
SNORD22,16.704,22.958000000000002
AC097480.1,0.0,0.0
C9orf153,0.0,0.0
SLC16A10,0.14300000000000002,0.204
STAT5A,0.5579999999999999,0.44799999999999995
LINC00592,0.038,0.039
AC010624.1,0.0,0.0
ACTB,1092.6580000000001,1078.618
LINC01132,0.0,0.0
GLIS3,5.415,4.223
SELENOS,26.706,29.296
SLC49A4,5.8020000000000005,6.587000000000001
UROD,12.125,12.909
MTCO1P30,0.0,0.0
TMEM100,0.0,0.02
PLA2G12A,4.965,4.855
AP003170.4,0.095,0.0
AC012498.2,0.0,0.0
RPL7L1P5,0.0,0.0
AL606845.1,0.0,0.0
NKX2-2,0.0,0.0
CYP24A1,82.331,73.05199999999999
AC024575.1,0.325,0.252
TNNT3,0.0,0.0
AJ003147.2,0.15,0.09300000000000001
ALDOC,0.445,0.41700000000000004
AC097374.2,0.0,0.0
ASIC5,0.0,0.0
TPO,0.0,0.0
UST,0.0,0.012
AC018638.6,0.43700000000000006,0.49700000000000005
APOC1P1,0.099,0.061
CLCNKB,0.038,0.0
AC127070.2,0.0,0.018000000000000002
AC114737.1,0.0,0.0
DCAF4L1,0.059000000000000004,0.061
CDH6,2.31,2.396
PLBD1-AS1,1.673,1.8259999999999998
AL365226.2,0.0,0.289
LINC00661,0.027000000000000003,0.083
FAM57A,9.089,9.631
IREB2,11.126,9.527999999999999
AP001351.1,0.14800000000000002,0.0
OR7E104P,0.0,0.0
AC073592.1,0.0,0.0
RF00426,0.0,0.0
AC110760.2,0.017,0.0
OSBPL10-AS1,0.0,0.0
LENG8-AS1,1.933,0.862
CYP4A22-AS1,0.24100000000000002,0.311
AC091564.7,46.943000000000005,54.563
SNAP91,0.0,0.0
ABHD8,4.4830000000000005,4.319
AC010175.1,0.0,0.0
THAP12P2,0.0,0.0
C9orf78,7.582000000000001,8.167
AL359317.1,0.0,0.0
RNU6-154P,0.0,0.0
AC007560.1,0.467,0.242
AP005205.3,0.0,0.0
TBX18,4.173,3.654
AC007608.3,0.0,0.0
AC072061.1,0.446,0.5379999999999999
KLF2P4,0.0,0.0
NPPB,0.156,0.243
RPL29P32,0.0,0.0
RPL7P61,0.0,0.0
MTND6P15,0.0,0.0
MAGI2,0.053,0.042
PHF12,4.625,4.31
RPLP1,521.749,660.597
AC010092.1,0.052000000000000005,0.0
MIR3620,15.424000000000001,17.039
AC097347.1,0.0,0.0
RF00019,0.0,0.0
AP005131.7,0.0,0.094
AL157938.3,0.0,0.0
AC087280.1,0.0,0.0
RF00019,0.5429999999999999,0.0
AC138028.5,0.0,0.0
CDC42P2,0.0,0.0
OR5BP1P,0.0,0.0
AL139354.1,0.0,0.0
C14orf119,24.159000000000002,25.337
RASA1,69.73100000000001,62.63399999999999
LINC01270,0.20199999999999999,0.038
KRTAP19-2,0.0,0.0
RPS6,531.576,579.446
CAPN10,5.705,5.101
AC093142.1,0.0,0.0
AL132640.2,0.0,0.034
AC073342.1,0.179,0.0
ZDBF2,0.0,0.005
ZNF581,20.945999999999998,22.124000000000002
STAU1,66.102,64.542
MIR3189,0.759,0.0
PCDH15,0.0,0.004
GPR19,1.034,1.091
AP000777.2,0.111,0.0
AL357520.1,0.0,0.0
AC135803.1,0.294,0.507
DCUN1D4,5.252000000000001,5.319
RSL24D1P9,0.0,0.0
ARHGAP30,0.20800000000000002,0.136
AC020951.1,0.0,0.025
MICALL1,13.369000000000002,12.515999999999998
AC007365.1,0.265,0.5479999999999999
PPIAP62,0.0,0.0
TMEM106A,0.046,0.08
RNU6-993P,0.0,0.0
RN7SL524P,0.0,0.0
AC007216.2,0.0,0.0
MTND3P17,0.0,0.0
AC109439.2,0.0,0.0
AC073365.1,0.0,0.045
TMEM251P1,0.0,0.0
AC007132.1,0.0,0.046
ZNF765,1.411,1.197
HJURP,20.743000000000002,21.796999999999997
RPN2,203.045,202.265
GPR63,0.511,0.586
CDC7,6.51,6.223
AC009336.2,0.0,0.0
KRT18P22,0.040999999999999995,0.128
AC026801.2,0.8490000000000001,0.769
AC243571.1,0.0,0.0
AP003170.1,0.054000000000000006,0.0
TINCR,0.038,0.026000000000000002
LYZL6,0.0,0.0
KMT5A,5.8,5.797999999999999
AC015911.6,0.0,0.0
RNU6-786P,0.0,0.0
CDRT4,0.868,0.638
AC006994.1,0.0,0.0
AC018410.2,0.0,0.0
SOCS2P1,0.0,0.0
AL021368.4,0.451,0.424
RPS18P12,3.9819999999999998,3.245
AC009446.1,0.0,0.0
GPX1,118.921,145.793
SPRY4,3.737,3.455
CRELD1,11.992,9.552
FKBP1AP1,0.0,0.0
FAM136BP,3.188,3.159
HIST2H2BF,0.34700000000000003,0.287
AC107023.1,0.0,0.0
FXYD2,0.914,1.047
GRN,74.122,70.382
BRIP1,1.296,1.082
AC110056.1,0.061,0.252
RN7SL649P,0.0,0.0
LINC01399,0.20600000000000002,0.142
GAS2L1,4.882,5.011
NPM1P40,0.076,0.156
AL121972.1,0.069,0.071
RB1-DT,0.09699999999999999,0.1
AL589765.1,0.0,0.0
LPAR4,0.0,0.0
AC008696.1,0.09,0.0
CACNA1B,0.006,0.0
KDSR,4.353,4.256
SIGLEC20P,0.0,0.0
MT1L,0.0,0.0
TREX1,3.4619999999999997,2.927
LMNB2,36.882,37.049
AC108134.4,0.0,0.569
AC024884.1,0.139,0.431
AC015908.6,0.02,0.0
RF00019,0.0,0.0
C1orf116,28.715999999999998,26.469
CFL1,203.332,218.859
TUBAP2,3.846,4.155
DNASE1L2,1.515,1.4880000000000002
SF3A3P1,1.087,1.0859999999999999
BEST1,0.153,0.165
CSNK1G2P1,0.0,0.0
NDNF,0.0,0.016
SCGB1D2,0.0,0.0
AC012313.4,1.455,1.157
BCL7B,12.020999999999999,13.318
AL133410.3,8.017000000000001,9.874
HEPHL1,0.0,0.0
PLK4,6.294,5.627000000000001
PSMD12P,0.8109999999999999,0.9229999999999999
RNF6,8.211,8.163
ARHGAP6,0.027000000000000003,0.064
TMEM56-RWDD3,9.923,10.443
PKN2-AS1,0.004,0.028999999999999998
FMR1NB,0.0,0.0
ADAMTS18,0.0,0.0
AC007906.2,1.536,1.589
LINC01529,0.0,0.0
RNU6-925P,0.0,1.102
USP38,4.758,4.936
IL5,0.035,0.036000000000000004
AL590302.2,0.0,0.0
ETFRF1,3.167,3.415
TIPARP,53.702,49.309
KRT19,1368.01,1519.4379999999999
PTPN7,0.0,0.01
AP005329.3,1.453,2.755
RNF175,0.038,0.0
AC135782.1,0.129,0.027000000000000003
RHBDD1,1.999,1.729
MIR582,0.0,0.0
DNAAF5,9.007,8.353
RNU4-23P,1.5819999999999999,0.409
MIR3187,0.0,0.0
FEM1AP4,0.027999999999999997,0.028999999999999998
CYCS,70.312,76.212
AL359878.2,0.0,0.0
GAD1,0.679,0.653
RRAS,84.639,94.29
RN7SL653P,0.0,0.0
RNU6-548P,0.0,0.0
AC092375.2,0.033,0.138
AL136982.4,0.0,0.0
RNU6-693P,0.0,0.0
AL354936.1,0.0,0.0
GXYLT1P3,0.0,0.0
CEACAMP10,0.027999999999999997,0.028999999999999998
SNORA68B,0.41600000000000004,0.0
QPCT,8.879,8.947000000000001
RAE1,14.882,14.985
LINC02135,0.0,0.0
AC092991.1,0.0,0.0
ZNF625,0.0,0.0
MTCO1P6,0.0,0.0
RNF222,0.0,0.0
LINC00567,0.0,0.017
AC079140.3,0.0,0.0
KRT8P25,0.0,0.039
SNORA71E,1.2590000000000001,1.085
AC008761.3,0.0,0.0
AC021074.3,0.0,0.0
NFASC,0.0,0.0
IL12RB2,0.0,0.0
YBX1P10,9.657,9.282
LINC01515,0.314,0.27899999999999997
RAB15,5.246,5.127999999999999
MUC17,0.0,0.0
OSER1-DT,2.508,2.987
AC005256.1,0.9670000000000001,1.501
MARVELD1,6.227,6.218999999999999
IGHV3-74,0.0,0.098
POC1A,11.462,11.293
AC010327.6,0.083,0.028999999999999998
ADO,21.822,21.778000000000002
SFTPC,0.0,0.0
RANBP10,4.3839999999999995,3.895
AC005225.1,0.0,0.0
RNU6-485P,0.0,0.0
HIST1H4C,0.382,0.263
RNU1-120P,0.0,0.0
RPTOR,2.866,2.524
DGLUCY,5.56,5.059
FAM78A,0.051,0.021
KRT18P19,0.0,0.0
KIAA1671,5.836,4.428999999999999
MIR4682,0.0,0.0
MIR3168,0.0,0.0
GPRC5C,1.4809999999999999,1.281
MTND2P22,0.0,0.0
AL158013.1,0.0,0.0
AC069444.2,0.073,0.09699999999999999
AL024507.2,0.6890000000000001,0.757
AC009955.4,0.509,0.632
PREX1,0.015,0.038
MIR7844,0.6809999999999999,0.47
GOLGA2P9,0.0,0.0
POMP,75.087,86.94
AL096711.2,0.035,0.04
MARCO,0.0,0.0
STAMBP,7.875,7.422999999999999
AL158154.2,0.0,0.0
UQCRFS1P2,0.0,0.0
DSPP,0.0,0.0
AL359999.1,0.0,0.195
AC034243.1,0.0,0.293
GTF2E2,26.276999999999997,25.643
FKBP14,4.025,4.313
SF1,26.358,23.95
LINC00266-1,0.0,0.0
AC087242.1,0.0,0.1
AC233964.1,0.0,0.0
AL136439.1,0.0,0.0
AC020763.4,0.027000000000000003,0.0
NKAIN3-IT1,0.0,0.0
MIR7162,0.0,0.0
SYCP2L,0.006999999999999999,0.006999999999999999
LINC01510,0.0,0.068
RF02271,2.5869999999999997,2.046
DKK1,109.00399999999999,125.05799999999999
STRA6,0.065,0.037000000000000005
RNU6-945P,0.0,0.0
CES3,0.022000000000000002,0.081
AC091117.1,0.0,0.0
AC022211.2,1.227,1.587
AL354714.3,0.0,0.0
ZC3H11A,6.665,5.904
ABCG5,0.06,0.062
PHYHD1,0.039,0.0
GALT,4.091,3.951
AC012085.1,0.0,0.0
PUM2,17.224,14.562000000000001
ZNF695,1.46,1.464
RAD50,3.009,2.955
UGT2B27P,0.068,0.035
RPL21P32,0.0,0.0
AL450405.1,19.865,18.973
PCDH19,0.006,0.012
MYOZ3,0.0,0.019
PTAFR,0.184,0.08199999999999999
NOP2,11.037,11.702
DPP9,7.372999999999999,6.517
CHD7,2.747,2.103
LGI2,0.051,0.168
GPR158,0.042,0.022000000000000002
NAF1,3.015,3.238
TMED10P1,1.015,0.9620000000000001
LINC02328,0.141,0.037000000000000005
AC090825.1,0.086,0.133
SLCO5A1,0.0,0.012
JADE1,4.503,4.468
MIR4307,0.0,0.0
OTX1,1.318,1.209
FZD7,3.0,3.073
HAR1A,0.0,0.0
AP005482.1,0.0,0.024
AMHR2,0.0,0.016
MX2,2.886,2.045
GRM2,0.023,0.016
MIR3158-1,0.0,0.0
TERT,0.349,0.19899999999999998
PPFIA2,0.013000000000000001,0.0
LCTL,0.094,0.033
AC135507.1,0.099,0.0
MORF4L2-AS1,0.5579999999999999,0.5770000000000001
MIR2115,0.0,0.0
AL109763.1,0.0,0.249
AC011944.1,0.028999999999999998,0.03
C12orf45,0.642,0.6659999999999999
AC100803.1,0.0,0.0
AL139142.1,0.0,0.0
AC005019.1,0.0,0.0
AC013472.1,0.0,0.022000000000000002
ABHD16B,0.0,0.0
ACTBP7,0.29600000000000004,0.255
KDELR2,113.11399999999999,115.83
ARHGEF16,6.8660000000000005,6.897
TP53,7.284,6.767
MRPS18CP6,0.0,0.0
ENC1,8.547,7.58
RPL10P9,0.945,1.2429999999999999
AC083964.1,0.0,0.0
VAT1,75.842,75.014
AC099654.2,0.14,0.087
AC008708.2,0.0,0.0
LINC00703,0.0,0.0
NAV2-AS5,0.0,0.0
AC074286.1,0.0,0.0
AF131216.3,0.05,0.10400000000000001
RNA5SP150,0.0,0.0
SYTL5,0.207,0.196
OR2B8P,0.0,0.0
EIF5AP4,0.0,0.0
AC011095.1,0.0,0.0
TAF11L11,0.0,0.048
PLA2G12AP1,0.293,0.20199999999999999
FOXO6,0.37,0.287
AC104655.1,0.182,0.0
OR7E62P,0.581,0.48
DIRAS1,0.048,0.083
SSBP3-AS1,0.0,0.022000000000000002
NR2F6,14.592,16.118
ZNF696,3.4789999999999996,3.555
SERPINB3,0.032,0.067
CRYGA,0.0,0.0
TGOLN2,38.521,34.580999999999996
ALG1,9.799,9.812999999999999
RPL31P2,0.588,0.456
C6orf47-AS1,0.165,0.17
KERA,0.0,0.0
IGF2-AS,0.019,0.02
AC110609.1,0.183,0.0
RF00026,0.0,0.0
SCARNA13,4.0280000000000005,3.958
HLA-L,0.614,0.718
OR51N1P,0.0,0.06
SEC14L5,0.034,0.009000000000000001
AC233280.1,0.428,0.408
AC111000.1,0.0,0.0
RNY1P16,0.499,0.0
PIH1D2,0.963,1.0190000000000001
AC008805.1,0.0,0.0
AC025647.1,0.0,0.0
AC007298.2,0.0,0.0
RALGAPA1,0.82,0.703
AC002550.2,0.141,0.0
ASB16-AS1,3.738,3.935
AC063943.1,0.0,0.161
AP5Z1,7.064,6.7589999999999995
AC010997.3,0.54,0.508
RPL21P66,0.0,0.0
RMI2,8.804,9.058
TMEM183A,8.847000000000001,10.54
AC107375.1,0.794,0.616
SEPT9,30.487,28.741
RHAG,0.040999999999999995,0.021
GMFB,13.435,13.562999999999999
AC040169.1,1.807,2.309
KCNK9,0.098,0.034
ZNF850,0.8540000000000001,0.657
EEF1AKMT4,8.674,9.976
PGM5P3-AS1,0.0,0.0
CAST,46.791000000000004,44.327
LENG9,6.504,6.816
BHLHE22,0.0,0.0
FMC1,3.3369999999999997,4.4430000000000005
NFKB2,10.645,10.389000000000001
OXCT2P1,0.0,0.0
AP000356.1,0.0,0.0
AL050403.2,0.13,0.134
AC133550.2,0.204,0.0
AC116667.2,0.0,0.139
AL627309.1,0.07400000000000001,0.038
RBMX2P1,0.066,0.0
AC008109.1,0.0,0.0
NF1P12,0.0,0.0
AC108860.1,0.0,0.0
GMFBP1,0.0,0.268
AL445465.1,0.0,0.0
APOOP4,0.0,0.0
MAGEA10,0.019,0.0
AC099677.7,0.0,0.0
AC145207.6,0.0,0.0
LMAN1L,0.02,0.0
AL590096.1,0.0,0.218
LCE6A,0.0,0.0
AC022387.1,0.0,0.0
AC011466.1,0.196,0.304
AC093884.1,12.05,10.173
OSBPL9,11.128,10.232000000000001
AC134407.2,0.0,0.0
OR7E59P,0.0,0.0
KDM3A,3.898,3.1439999999999997
AC018809.1,0.401,1.139
MIR1266,0.0,0.0
VCL,56.706,50.121
CHST13,0.867,0.672
MIR103A1,0.0,0.0
RNU6-106P,0.0,0.0
VAT1L,0.0,0.0
AC091167.4,0.0,0.0
RF00019,0.0,0.0
RAI2,0.0,0.0
C22orf31,0.0,0.0
RPSAP16,0.0,0.0
STK40,9.17,8.51
ST13P13,0.051,0.052000000000000005
NBN,8.592,8.84
AL356740.1,0.043,0.132
ZRANB2-AS1,0.0,0.0
ARMC8P1,0.0,0.044000000000000004
DOC2A,1.165,1.115
AL590399.3,0.0,0.0
C3orf67,1.131,1.26
CSNK1A1,29.359,27.612
AP001273.2,5.7,5.579
CBX3P1,2.799,3.722
ATOH1,0.0,0.0
AL772337.4,0.0,0.0
AC123900.1,0.0,0.0
AC027279.4,0.0,0.0
RAB19,0.833,0.575
AC099850.3,0.17300000000000001,0.0
ZNF416,4.07,4.501
HMGN1P28,0.0,0.0
RF01210,0.0,0.0
RPL18AP16,0.0,0.21600000000000003
ZNF833P,0.087,0.054000000000000006
HPR,0.0,0.0
AC005307.1,0.0,0.0
UTP23,2.134,2.589
GDPD5,0.436,0.376
RNU6-583P,0.602,0.623
ACTR3P2,0.132,0.091
CKMT1A,0.0,0.0
AC012360.2,0.142,0.146
AL359273.1,0.9790000000000001,0.5379999999999999
SNORA5B,0.21,0.434
BRICD5,3.138,2.695
LINC01766,0.0,0.0
YAP1,25.441999999999997,22.291999999999998
DANT1,0.0,0.0
RF00019,0.0,0.0
BMP7,0.0,0.0
