genes,Calu3_polyA_series1-S2-4h-A,Calu3_polyA_series1-S2-4h-B,Calu3_polyA_series1-mock-4h-A,Calu3_polyA_series1-mock-4h-B,Calu3_polyA_series2-4h-S2-1,Calu3_polyA_series2-4h-S2-2,Calu3_polyA_series2-4h-mock-1,Calu3_polyA_series2-4h-mock-2
RPL9,32.29,28.524,31.166,29.463,48.276,50.937,217.71,57.54600000000001
AVIL,0.264,0.342,0.228,0.39899999999999997,0.469,0.4,0.304,0.354
AC207130.1,0.0,0.0,0.0,0.04,0.045,0.0,0.0,0.055999999999999994
TEX54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-72P,0.0,1.013,0.731,0.0,0.0,0.0,0.0,0.0
OR2M4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM43,41.367,40.905,42.566,42.38399999999999,35.387,35.116,28.578000000000003,37.625
AC008280.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCSK6,0.006999999999999999,0.009000000000000001,0.008,0.021,0.008,0.013000000000000001,0.023,0.02
AC115284.1,5.263999999999999,6.256,7.256,7.107,8.63,7.4879999999999995,2.363,8.361
LINC02000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EID2,12.513,12.982999999999999,12.148,13.280999999999999,10.887,10.677999999999999,14.842,11.843
ELL,3.011,2.9930000000000003,2.682,2.544,2.455,2.327,1.4569999999999999,2.399
CDAN1,2.315,2.332,1.867,2.141,1.867,1.9769999999999999,1.0959999999999999,1.639
STAU2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLSCR4,1.88,2.051,2.352,1.801,2.305,2.6660000000000004,1.129,1.725
ATP5MC2P1,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0
CTR9,18.108,17.522000000000002,18.175,17.932000000000002,15.702,15.937999999999999,13.295,14.154000000000002
MRPS33P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC091860.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC51A,0.0,0.044000000000000004,0.021,0.018000000000000002,0.01,0.0,0.057,0.025
LINC00851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-87P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OGDHL,0.128,0.068,0.098,0.033,0.036000000000000004,0.10800000000000001,0.10400000000000001,0.125
CCR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF426-DT,0.0,0.09,0.0,0.109,0.603,0.259,0.345,0.527
AC093495.1,0.046,0.145,0.111,0.152,0.095,0.049,0.0,0.057
TERF2IP,16.546,17.724,18.095,17.748,15.454,15.963,15.751,16.044
TMPO-AS1,1.4980000000000002,1.431,1.266,1.681,1.865,2.073,0.711,2.213
FAM90A27P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT1HL1,0.868,0.245,0.354,0.595,0.0,0.0,0.0,0.0
MIR26A2,0.0,0.0,0.0,1.12,0.621,0.6679999999999999,0.0,0.0
AL583722.1,0.49,0.385,0.257,0.648,0.359,0.129,0.685,0.349
DHRS4L2,1.5619999999999998,1.432,1.577,1.869,1.462,1.6840000000000002,4.152,1.9169999999999998
BCL10,8.195,9.142999999999999,8.062000000000001,7.72,7.138,7.2170000000000005,10.148,6.365
AP003108.2,2.43,2.3890000000000002,2.415,2.251,2.9189999999999996,2.946,2.5789999999999997,3.0460000000000003
RF00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS12P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010186.1,0.0,0.0,0.21,0.0,0.0,0.316,0.0,0.0
LINC01731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAG3,0.043,0.045,0.016,0.024,0.012,0.040999999999999995,0.122,0.038
MTMR7,0.0,0.0,0.016,0.0,0.0,0.008,0.0,0.0
LINC02273,0.0,0.073,0.0,0.044000000000000004,0.024,0.0,0.14,0.061
EGFEM1P,0.02,0.017,0.07200000000000001,0.02,0.022000000000000002,0.048,0.128,0.042
KRT18P12,0.07200000000000001,0.183,0.0,0.0,0.16399999999999998,0.044000000000000004,0.0,0.051
FAM220A,9.472999999999999,9.259,7.779,8.962,8.708,8.007,6.237,8.212
TM9SF1,17.05,17.014,18.211,17.711,15.237,14.981,12.444,14.527999999999999
ITGB3,0.052000000000000005,0.071,0.013000000000000001,0.064,0.036000000000000004,0.083,0.0,0.059000000000000004
AC109492.1,0.0,0.11900000000000001,0.0,0.0,0.0,0.0,0.0,0.0
AC034231.1,0.0,0.0,0.20800000000000002,0.0,0.09699999999999999,0.209,0.556,0.243
AL596223.1,0.0,0.0,0.0,0.049,0.0,0.0,0.154,0.0
ERRFI1,20.277,19.595,15.704,16.814,17.175,16.864,9.071,13.787
TMEM198,1.879,1.653,1.865,1.569,1.963,2.176,1.389,2.174
KNSTRN,6.579,6.106,7.465,6.642,11.092,11.270999999999999,8.087,11.13
RNH1,26.119,25.698,27.031999999999996,26.29,28.252,26.807,29.265,33.022
SNORD58B,45.012,38.537,41.501000000000005,33.25,106.825,98.898,81.404,79.328
AP000350.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL35P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090615.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092112.1,0.28600000000000003,0.121,0.175,0.147,0.08199999999999999,0.0,0.0,0.0
TPD52,8.765,8.544,8.89,8.48,6.354,6.417000000000001,10.487,6.377000000000001
MDH2,38.512,37.066,36.509,38.209,44.00899999999999,45.276,70.501,46.023
RPS4XP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARFGAP2,19.833,19.105999999999998,20.11,20.337,19.465,19.317999999999998,12.054,19.570999999999998
RF00019,0.0,0.0,0.956,0.0,0.0,0.0,0.0,0.0
RPSAP5,0.0,0.0,0.0,0.106,0.059000000000000004,0.0,0.0,0.07400000000000001
EIF3C,1.44,1.32,1.489,1.6440000000000001,1.023,1.0290000000000001,0.128,1.008
EPYC,0.0,0.0,0.062,0.0,0.0,0.0,0.6629999999999999,0.0
FAM47E,0.139,0.073,0.094,0.163,0.049,0.094,0.078,0.057999999999999996
COPZ1,40.428000000000004,40.187,42.505,38.984,48.653999999999996,49.82,47.246,55.228
AC073648.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU4-42P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADHFE1,0.013999999999999999,0.046,0.017,0.084,0.062,0.017,0.11800000000000001,0.006
ZNF728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL109610.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUBP2,16.482,14.140999999999998,15.254000000000001,14.546,14.434000000000001,13.883,15.084000000000001,17.576
AC023157.2,0.648,0.0,0.0,0.0,0.74,0.0,0.0,0.462
