genes,Calu3_polyA_series1-S2-12h-A,Calu3_polyA_series1-S2-12h-B,Calu3_polyA_series2-12h-S2-1,Calu3_polyA_series2-12h-S2-2,Calu3_polyA_series2-12h-mock-1,Calu3_polyA_series2-12h-mock-2
GDNF-AS1,0.018000000000000002,0.0,0.006999999999999999,0.009000000000000001,0.008,0.134
CCT6P4,0.0,0.0,0.046,0.0,0.0,0.0
LINC02292,0.0,0.0,0.0,0.053,0.0,0.049
EIF6,133.391,130.365,171.377,154.134,174.899,190.86
SMIM29,23.252,23.017,49.339,41.423,37.315,43.104
GPR155,0.23,0.129,0.332,0.245,0.252,0.363
CD27,0.0,0.0,0.0,0.0,0.0,0.028999999999999998
LINC01887,0.0,0.29,0.0,0.0,0.0,0.0
NUP58,7.952999999999999,7.279,3.9360000000000004,4.111000000000001,3.846,3.5460000000000003
AC019257.9,0.0,0.0,0.0,0.0,0.025,0.0
AMER3,0.0,0.0,0.0,0.0,0.023,0.10099999999999999
MIR548AA1,0.0,0.0,0.0,0.0,0.0,0.0
AC116049.2,0.0,0.0,0.0,0.0,0.0,0.0
RPP38,12.859000000000002,10.868,18.829,19.461,11.804,10.600999999999999
NRG1,3.0039999999999996,2.742,4.037,3.7230000000000003,3.927,3.863
PLEKHO1,0.431,0.264,0.445,0.479,0.455,0.41200000000000003
AC007494.1,0.0,0.0,0.0,0.0,0.0,0.0
AL022237.1,0.0,0.0,0.0,0.0,0.0,0.0
MYO5B,14.136,15.48,9.026,10.282,9.589,8.82
PABPC1,132.437,134.668,135.05200000000002,143.314,110.12,114.095
DISC1,0.242,0.223,0.22,0.264,0.126,0.11599999999999999
SLC1A2,0.0,0.0,0.006,0.012,0.006999999999999999,0.057999999999999996
AC244517.6,0.99,1.385,0.935,1.078,0.6579999999999999,0.591
AC093567.1,0.0,0.0,0.0,0.0,0.086,0.0
FGFR4,38.568000000000005,36.650999999999996,52.548,49.888000000000005,56.713,54.626000000000005
AL022334.1,0.10300000000000001,0.0,0.043,0.0,0.044000000000000004,0.14400000000000002
AP001330.5,0.0,0.0,0.7170000000000001,0.883,0.7340000000000001,1.411
AL023803.3,1.026,0.0,0.141,0.521,0.289,0.0
MIR3196,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL192P,1.194,0.0,0.247,0.0,0.0,0.0
PECAM1,0.0,0.0,0.0,0.0,0.0,0.021
DEPDC1,5.232,5.667000000000001,8.228,7.76,9.289,8.53
MAS1,0.018000000000000002,0.0,0.0,0.0,0.008,0.008
MRPL55,12.875,13.902000000000001,23.255,22.511999999999997,23.52,24.815
AC010255.1,0.0,0.0,0.0,0.0,0.0,0.0
AC114763.1,0.408,0.19,0.39299999999999996,0.415,0.172,0.883
ZNF132,0.052000000000000005,0.0,0.0,0.0,0.0,0.0
MYPOP,4.614,5.4,3.927,4.354,4.655,5.024
STEAP2-AS1,0.0,0.0,0.0,0.075,0.0,0.069
RPL12P17,0.0,0.0,0.14800000000000002,0.0,0.151,0.0
ADH5,18.64,20.578000000000003,28.888,27.314,40.533,40.583
SNX19,10.207,11.18,6.881,6.644,6.228,5.518
SETP16,0.0,0.0,0.0,0.0,0.0,0.0
RF00322,0.0,0.0,0.0,0.0,0.0,0.0
LINC01448,0.0,0.0,0.0,0.0,0.0,0.0
BAHCC1,0.18600000000000003,0.24100000000000002,0.038,0.081,0.0,0.018000000000000002
TMEM106C,20.45,18.97,22.145,19.032,22.968000000000004,24.314
PRDX3P1,0.0,0.327,0.09699999999999999,0.0,0.0,0.0
RNU6-287P,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-1241P,0.0,0.0,0.0,0.0,0.0,0.0
LINC02397,0.0,0.0,0.0,0.0,0.0,0.0
AC012368.1,0.146,0.0,0.15,0.14800000000000002,0.062,0.10099999999999999
PRDM8,0.662,0.544,0.321,0.415,0.428,0.361
UTRN,10.429,10.823,4.82,5.144,4.644,3.653
LINC01342,0.551,0.308,0.319,0.11199999999999999,0.419,0.256
AP000813.1,0.0,0.0,0.02,0.0,0.0,0.022000000000000002
PACRG,0.13699999999999998,0.0,0.055999999999999994,0.035,0.087,0.0
CDC20P1,1.666,1.3319999999999999,1.72,0.968,1.207,1.436
AC091868.1,0.0,0.0,0.0,0.0,0.248,0.0
AC008581.1,0.0,0.0,0.0,0.0,0.196,0.0
TUSC1,7.222,7.545,9.267999999999999,9.727,8.713,9.204
HAUS1,13.819,14.259,16.28,16.098,19.438,19.116
MIP,0.025,0.105,0.040999999999999995,0.013000000000000001,0.032,0.105
TPSAB1,0.0,0.0,0.0,0.0,0.0,0.0
AC048344.4,0.0,0.0,0.28,0.344,0.14300000000000002,0.314
AC068647.2,0.0,0.0,0.0,0.0,0.0,0.0
PDIA3P1,8.289,8.854,7.232,7.006,9.509,9.794
AL390955.1,0.0,0.0,0.0,0.0,0.081,0.0
ATP6V1H,4.023,4.012,4.535,4.941,4.567,4.755
AC021766.1,0.0,0.0,0.0,0.0,0.0,0.0
EDARADD,0.134,0.282,0.17600000000000002,0.14800000000000002,0.218,0.135
AL137246.1,0.0,0.0,0.0,0.0,0.0,0.0
AC133565.1,0.0,0.0,0.0,0.0,0.0,0.0
BX649632.1,0.183,0.0,0.0,0.0,0.0,0.255
OSBPL8,10.191,10.927,6.251,5.731,8.325,7.097
AL122035.2,0.47700000000000004,0.134,0.19699999999999998,0.29100000000000004,0.121,0.44299999999999995
EEF1GP5,0.136,0.0,0.055999999999999994,0.0,0.0,0.19
AC010531.7,0.0,0.0,0.0,0.0,0.0,0.0
AC009812.1,0.267,0.22399999999999998,0.485,0.5429999999999999,0.451,0.595
TTC16,0.0,0.0,0.0,0.0,0.0,0.0
AC012513.3,2.278,2.242,0.418,0.514,1.177,0.7829999999999999
AC244502.2,0.0,0.0,0.0,0.0,0.0,0.0
TTF1,6.775,6.369,5.09,5.249,4.1530000000000005,4.148
STK3,3.315,3.408,2.3569999999999998,2.411,2.693,2.603
LINC00052,0.0,0.0,0.0,0.0,0.0,0.0
SETDB1,7.047999999999999,6.3020000000000005,7.586,7.917000000000001,4.68,5.209
AC069549.1,0.0,0.0,0.0,0.0,0.0,0.0
AC016582.2,2.7430000000000003,2.964,3.037,1.774,2.423,2.8339999999999996
AC134349.2,0.196,0.27399999999999997,0.0,0.0,0.083,0.091
AC009411.2,0.0,0.133,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
GYS2,0.0,0.0,0.012,0.028999999999999998,0.0,0.0
AL160286.3,0.054000000000000006,0.0,0.0,0.027999999999999997,0.0,0.201
DENND1A,2.298,2.289,0.977,1.168,0.883,0.9690000000000001
LINC01608,0.0,0.0,0.0,0.0,0.0,0.11
TRBV9,0.0,0.0,0.18899999999999997,0.0,0.0,0.0
LAMP5,0.087,0.122,0.18,0.222,0.14800000000000002,0.243
AL139424.3,0.0,0.0,0.031,0.0,0.032,0.139
LINC02272,0.294,0.0,0.0,0.0,0.0,0.0
NMB,7.687,6.841,22.359,24.5,28.714000000000002,28.854
XKRX,0.106,0.0,0.175,0.10800000000000001,0.134,0.221
ERGIC1,21.206999999999997,20.455,22.679000000000002,21.744,25.816,24.217
HLA-A,251.45,252.793,192.267,207.703,175.546,188.875
CNFN,0.0,0.40700000000000003,0.721,1.1840000000000002,1.354,0.946
RNU7-195P,0.0,0.0,0.0,0.0,0.0,0.0
RNU105B,0.0,0.0,0.0,0.0,0.0,0.0
AC239859.6,0.0,0.0,0.0,0.0,0.0,0.0
MTND1P32,0.0,0.266,0.0,0.0,0.08,0.0
AL035250.1,0.0,0.0,0.0,0.0,0.0,0.0
AC015802.1,0.12300000000000001,0.0,0.0,0.063,0.0,0.0
AC137723.1,0.0,0.0,0.0,0.0,0.19,0.41600000000000004
COPE,22.201999999999998,22.365,33.113,30.294,37.995,39.400999999999996
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
LINC02299,0.0,0.0,0.0,0.0,0.124,0.0
ASCL2,0.0,0.0,0.04,0.0,0.0,0.0
NUPL2,11.610999999999999,13.082,11.602,11.34,11.423,11.173
AC093668.1,0.327,0.214,0.32799999999999996,0.24100000000000002,0.33299999999999996,0.253
AC007842.1,0.963,0.735,0.289,0.7120000000000001,0.222,0.244
AC084364.2,0.0,0.0,0.0,0.0,0.0,0.0
MIR645,0.0,0.0,0.0,0.0,0.0,0.0
AL137220.1,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
TENT2,11.475,11.334000000000001,11.014000000000001,12.155999999999999,9.93,9.309
RSPH3,2.83,2.892,1.921,2.5580000000000003,2.426,2.374
AC096751.2,0.451,0.315,0.0,0.0,0.0,0.0
TGIF2P1,0.261,0.365,0.10800000000000001,0.132,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
SP8,0.14400000000000002,0.134,0.04,0.049,0.0,0.0
RBL2,7.91,7.627000000000001,7.181,7.44,10.442,10.229
MIR590,1.841,2.574,1.52,0.0,0.778,0.8540000000000001
TP53TG5,0.06,0.0,0.07400000000000001,0.061,0.076,0.16699999999999998
AC012447.1,0.0,0.0,0.324,0.532,0.442,0.85
MAGEA8-AS1,0.0,0.0,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
AKTIP,3.7460000000000004,3.1719999999999997,4.966,4.471,6.143,6.171
COQ10A,1.652,1.617,2.046,2.406,2.303,2.12
ZNF502,0.273,0.9159999999999999,0.7879999999999999,0.887,0.507,0.32899999999999996
NUDT19P5,0.0,0.439,0.13,0.0,0.0,0.0
WDTC1,2.688,2.9989999999999997,2.843,2.609,3.2030000000000003,3.7
AC108112.1,0.0,0.0,0.0,0.0,0.0,0.126
PANK4,3.8789999999999996,4.203,3.593,3.605,3.765,3.5260000000000002
LGALSL,2.951,2.8569999999999998,6.053999999999999,5.121,4.277,4.5280000000000005
RPL36P4,0.0,0.0,0.0,0.0,0.0,0.26
AL121820.2,0.0,0.0,1.057,0.976,0.8109999999999999,1.484
AC026412.2,0.664,0.929,0.5489999999999999,0.506,0.632,0.6940000000000001
RARRES2P11,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK,54.163000000000004,62.446000000000005,35.341,34.945,41.979,39.732
AC091152.4,0.026000000000000002,0.0,0.07400000000000001,0.078,0.043,0.166
COX6B1,70.704,76.29899999999999,175.47,157.651,177.77900000000002,207.408
AL441883.1,0.6829999999999999,0.239,0.917,0.434,0.433,1.4269999999999998
AL109767.1,0.0,0.0,0.0,0.0,0.0,0.147
AL031659.1,0.0,0.0,0.13699999999999998,0.0,0.0,0.154
P3H2,1.3780000000000001,1.568,0.727,0.684,0.609,0.446
RN7SKP276,0.0,0.0,0.0,0.0,0.0,0.0
CEBPA,0.20600000000000002,0.0,0.17,0.035,0.145,0.064
ZNF22,23.178,23.629,26.078000000000003,23.252,25.075,22.53
PDE11A,0.095,0.051,0.162,0.1,0.077,0.064
NDUFB4P9,0.0,0.0,0.0,0.23399999999999999,0.0,0.213
TLN1,28.384,27.016,16.144000000000002,16.25,18.008,17.625999999999998
ELMO3,10.886,12.413,19.38,20.153,17.724,19.816
ADD3-AS1,0.02,0.0,0.033,0.02,0.017,0.037000000000000005
SULT1E1,0.0,0.0,0.106,0.261,0.18100000000000002,0.139
UGDH,15.57,15.386,8.497,8.092,12.314,11.545
DPM3,9.472999999999999,5.62,20.976,21.441,25.590999999999998,27.967
MOB4,12.265,11.564,9.94,8.888,12.495999999999999,11.802999999999999
LINC01124,0.0,0.0,0.209,0.086,0.249,0.078
AL590666.4,0.0,0.0,0.0,0.0,0.0,0.17300000000000001
AC073091.2,0.0,0.0,0.0,0.0,0.0,0.0
AC107959.2,0.135,0.095,0.196,0.10300000000000001,0.0,0.0
RPL9,25.918000000000003,28.839000000000002,65.507,63.445,54.048,58.571999999999996
AVIL,0.485,0.488,0.47600000000000003,0.539,0.41600000000000004,0.535
AC207130.1,0.0,0.0,0.126,0.0,0.032,0.035
TEX54,0.0,0.0,0.0,0.0,0.078,0.0
RNU1-72P,0.0,0.0,0.0,0.0,0.0,0.0
OR2M4,0.0,0.0,0.0,0.0,0.0,0.0
TMEM43,27.684,28.031999999999996,24.66,24.89,33.400999999999996,30.564
AC008280.1,0.433,0.0,0.0,0.0,0.0,0.0
PCSK6,0.013000000000000001,0.0,0.006,0.006999999999999999,0.006,0.019
AC115284.1,4.407,5.022,7.007000000000001,6.331,8.734,8.302999999999999
LINC02000,0.0,0.0,0.0,0.0,0.0,0.0
EID2,10.084,11.19,13.032,12.642000000000001,15.606,13.882
ELL,2.759,3.097,2.908,3.782,2.638,2.3080000000000003
CDAN1,2.884,2.4290000000000003,1.5830000000000002,1.615,1.8,1.8090000000000002
STAU2-AS1,0.0,0.0,0.0,0.0,0.0,0.0
PLSCR4,3.207,3.128,3.38,3.452,2.96,3.015
ATP5MC2P1,0.0,0.0,0.17300000000000001,0.0,0.0,0.0
CTR9,15.286,16.964000000000002,13.58,15.062999999999999,14.055,13.136
MRPS33P3,0.0,0.0,0.0,0.0,0.0,0.0
AC091860.1,0.0,0.0,0.0,0.0,0.0,0.0
SLC51A,0.0,0.0,0.042,0.0,0.0,0.031
LINC00851,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-87P,0.0,0.0,0.0,0.0,0.0,0.0
OGDHL,0.094,0.131,0.077,0.14300000000000002,0.145,0.087
CCR5,0.0,0.0,0.0,0.0,0.0,0.0
ZNF426-DT,0.0,0.0,0.682,1.1540000000000001,0.9590000000000001,0.67
AC093495.1,0.059000000000000004,0.187,0.037000000000000005,0.09,0.075,0.113
TERF2IP,15.055,13.03,13.212,14.47,14.389000000000001,14.335
TMPO-AS1,1.915,2.2319999999999998,2.679,2.4859999999999998,2.36,2.739
FAM90A27P,0.0,0.0,0.0,0.0,0.0,0.0
MT1HL1,0.0,0.79,0.0,0.0,0.0,0.0
MIR26A2,0.0,0.0,0.878,0.0,0.0,0.0
AL583722.1,0.13699999999999998,0.382,0.282,0.278,0.231,0.41200000000000003
DHRS4L2,1.597,1.7369999999999999,1.89,1.821,2.229,1.942
BCL10,13.571,14.708,11.572000000000001,12.475,7.874,7.641
AP003108.2,1.923,2.158,2.068,2.46,2.7880000000000003,2.362
RF00012,0.0,0.0,0.0,0.0,0.0,0.0
RPS12P18,0.0,0.0,0.0,0.0,0.0,0.0
AC010186.1,0.0,0.0,0.139,0.0,0.0,0.0
LINC01731,0.0,0.0,0.0,0.0,0.0,0.0
STAG3,0.025,0.006,0.026000000000000002,0.035,0.026000000000000002,0.042
MTMR7,0.0,0.0,0.0,0.0,0.022000000000000002,0.0
LINC02273,0.0,0.0,0.035,0.042,0.035,0.0
EGFEM1P,0.077,0.054000000000000006,0.047,0.078,0.032,0.071
KRT18P12,0.14,0.0,0.0,0.0,0.11900000000000001,0.13
FAM220A,7.013999999999999,7.252000000000001,7.562,7.961,7.282,7.096
TM9SF1,16.236,14.665999999999999,13.655,14.024000000000001,15.265999999999998,14.592
ITGB3,0.02,0.027999999999999997,0.034,0.052000000000000005,0.052000000000000005,0.027999999999999997
AC109492.1,0.275,0.0,0.0,0.28,0.0,0.128
AC034231.1,0.0,0.465,0.13699999999999998,0.33799999999999997,0.281,0.0
AL596223.1,0.0,0.0,0.0,0.0,0.0,0.0
ERRFI1,29.566,26.769000000000002,24.659000000000002,28.938000000000002,17.762999999999998,16.432000000000002
TMEM198,1.177,2.131,2.0869999999999997,2.287,2.1069999999999998,1.671
KNSTRN,6.742999999999999,6.834,8.795,9.186,9.972000000000001,8.908999999999999
RNH1,24.116,25.533,31.858,30.031999999999996,31.846999999999998,33.666
SNORD58B,34.709,58.643,93.446,104.235,98.676,113.37100000000001
AP000350.1,0.0,0.0,0.0,0.0,0.0,0.0
RPL35P4,0.0,0.0,0.0,0.0,0.0,0.0
AC090615.1,0.0,0.0,0.0,0.0,0.0,0.0
AC092112.1,0.0,0.39,0.0,0.0,0.0,0.0
TPD52,8.147,8.697000000000001,5.65,5.777,7.142,7.236000000000001
MDH2,28.884,32.371,36.441,33.364000000000004,43.696999999999996,44.75
RPS4XP10,0.0,0.0,0.0,0.0,0.0,0.0
ARFGAP2,18.992,18.755,20.676,19.937,19.988,20.1
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP5,0.0,0.0,0.0,0.205,0.0,0.187
EIF3C,1.253,1.5019999999999998,0.971,0.617,0.929,0.795
EPYC,0.0,0.0,0.040999999999999995,0.0,0.042,0.0
FAM47E,0.055999999999999994,0.013000000000000001,0.08900000000000001,0.11,0.135,0.096
COPZ1,34.537,33.503,47.881,47.06,55.563,58.821999999999996
AC073648.6,0.0,0.0,0.0,0.0,0.0,0.0
RNU4-42P,0.0,0.0,0.0,0.0,0.0,0.0
ADHFE1,0.0,0.111,0.011000000000000001,0.04,0.019,0.037000000000000005
ZNF728,0.0,0.0,0.0,0.0,0.0,0.0
AL109610.1,0.0,0.0,0.0,0.0,0.0,0.0
NUBP2,13.138,12.922,17.597,15.698,18.833,19.089000000000002
AC023157.2,0.0,0.0,0.0,0.643,0.535,0.0
UBBP1,0.377,1.056,2.026,0.384,2.7110000000000003,0.701
RF00019,0.0,0.0,0.0,0.0,0.0,0.0
MLC1,0.0,0.0,0.0,0.0,0.0,0.0
ACOX1,6.529,7.022,6.5920000000000005,6.931,6.728,6.297999999999999
MIR3198-1,0.0,0.0,0.0,0.0,0.0,0.0
POU4F3,0.139,0.0,0.086,0.07,0.028999999999999998,0.032
DNAAF2,7.653,7.162999999999999,10.324000000000002,9.431000000000001,12.119000000000002,11.742
AC133106.1,0.45,0.0,0.0,0.0,0.0,0.0
REST,5.905,4.88,4.386,4.625,3.638,3.497
RAP1GAP2,5.832000000000001,4.873,5.696000000000001,5.252000000000001,4.788,5.565
NME4,18.025,17.953,42.486999999999995,35.707,36.629,42.18600000000001
NR0B2,0.0,0.214,0.0,0.0,0.0,0.0
TMEM132D-AS1,0.0,0.0,0.0,0.0,0.0,0.0
CHERP,11.695,10.835,7.414,7.481,5.813,4.737
AC092692.1,0.069,0.0,0.0,0.0,0.0,0.0
AC099689.1,0.0,0.0,0.0,0.0,0.0,0.0
TEX43,0.0,0.0,0.0,0.185,0.0,0.0
RPL11P4,0.0,0.0,0.0,0.0,0.0,0.0
LINC01763,0.0,0.0,0.0,0.0,0.0,0.0
AC068299.1,0.408,0.5710000000000001,0.042,0.052000000000000005,0.0,0.0
AC110774.1,0.0,0.0,0.0,0.09,0.037000000000000005,0.0
AL513165.1,1.236,2.592,1.275,1.256,1.305,2.866
AL365226.1,0.512,0.0,0.845,1.82,0.43200000000000005,0.0
SPATS1,0.0,0.0,0.0,0.0,0.0,0.0
ST13P15,1.452,1.128,0.732,0.983,0.409,0.449
PAPOLB,0.0,0.0,0.0,0.0,0.035,0.0
GOLGA8S,0.0,0.0,0.0,0.0,0.0,0.057
NEDD8-MDP1,16.224,20.908,40.725,38.974000000000004,41.655,58.888000000000005
AC090993.1,0.0,0.0,0.0,0.0,0.0,0.0
AC135352.1,0.126,0.0,0.0,0.064,0.0,0.0
CNKSR3,0.579,0.46299999999999997,0.23199999999999998,0.345,0.105,0.2
AC008496.2,0.0,0.5429999999999999,0.0,0.19699999999999998,0.0,0.18
RIMKLA,0.084,0.023,0.222,0.205,0.376,0.607
FP325330.3,0.0,0.0,0.0,0.0,0.0,0.0
AGAP2,0.027000000000000003,0.037000000000000005,0.033,0.0,0.067,0.025
SPIN1,15.513,16.246,12.884,14.450999999999999,12.832,12.552999999999999
ATP13A5,0.086,0.0,0.0,0.015,0.024,0.09300000000000001
AC024341.1,0.0,0.0,0.0,0.0,0.0,0.0
RBPJL,0.064,0.0,0.0,0.0,0.0,0.0
AC026786.2,0.0,0.0,0.0,0.231,0.0,0.0
Z82196.1,0.0,0.0,0.0,0.0,0.0,0.0
AL138688.2,0.11800000000000001,0.0,0.146,0.0,0.05,0.0
LINC00491,0.0,0.0,0.0,0.0,0.0,0.0
SERPINA2,0.0,0.0,0.0,0.09699999999999999,0.0,0.0
AL118496.1,0.0,0.0,0.040999999999999995,0.15,0.16699999999999998,0.091
ASAP2,21.7,22.263,14.82,15.389000000000001,13.514000000000001,12.487
AC008799.1,0.0,0.0,0.0,0.0,0.0,0.0
METTL2B,5.291,4.699,3.069,3.28,3.594,3.5469999999999997
AL021368.3,0.0,0.0,0.0,0.0,0.0,0.0
RPL23AP44,0.0,0.0,0.0,0.0,0.0,0.0
RNU2-59P,0.0,0.0,0.0,0.0,0.0,0.0
PRPF40B,1.758,1.745,2.185,2.123,1.9169999999999998,1.7630000000000001
MIR6880,0.0,2.0140000000000002,1.189,0.0,0.608,0.0
MIR4641,1.3530000000000002,0.0,0.5579999999999999,0.0,0.0,0.0
RNA5SP530,1.5130000000000001,0.0,1.249,1.538,0.639,1.4040000000000001
RNU6-490P,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL55P,0.0,0.0,0.0,0.0,0.0,0.0
AC079776.1,0.0,0.0,0.064,0.0,0.0,0.0
PCBP2,22.095,24.088,20.712,20.715,20.233,22.208000000000002
AL080312.1,0.0,0.0,0.0,0.0,0.183,0.0
AL138767.2,0.0,0.0,0.0,0.0,0.0,0.0
AL844908.1,0.0,0.0,0.0,0.0,0.0,0.0
SCAF1,41.037,44.75,25.264,24.307,23.718000000000004,24.568
FAM41C,0.0,0.0,0.0,0.0,0.0,0.0
GSS,18.795,16.62,22.525,23.272,25.949,26.936
COPS8P3,0.0,0.0,0.0,0.0,0.0,0.0
SNORD22,22.673000000000002,15.854000000000001,17.843,17.281,20.357,11.175999999999998
AC097480.1,0.0,0.0,0.0,0.0,0.0,0.0
C9orf153,0.0,0.0,0.0,0.031,0.0,0.057
SLC16A10,0.079,0.133,0.105,0.09699999999999999,0.161,0.214
STAT5A,1.148,0.7809999999999999,0.743,0.82,0.28800000000000003,0.41700000000000004
LINC00592,0.12300000000000001,0.0,0.051,0.125,0.0,0.0
AC010624.1,0.11699999999999999,0.16399999999999998,0.0,0.0,0.0,0.054000000000000006
ACTB,1073.96,1097.887,884.585,847.685,1163.988,1157.697
LINC01132,0.0,0.0,0.0,0.018000000000000002,0.0,0.016
GLIS3,6.707999999999999,7.38,6.382000000000001,6.62,4.585,4.136
SELENOS,21.76,21.595,22.694000000000003,23.248,23.748,24.511
SLC49A4,5.482,5.938,5.791,5.79,7.335,6.558
UROD,5.627999999999999,6.136,11.360999999999999,10.696,14.099,16.016
MTCO1P30,0.0,0.0,0.0,0.0,0.0,0.0
TMEM100,0.0,0.0,0.0,0.0,0.0,0.0
PLA2G12A,4.718999999999999,5.572,4.306,4.405,5.524,5.029
AP003170.4,0.0,0.426,0.0,0.0,0.129,0.0
AC012498.2,0.0,0.0,0.0,0.0,0.0,0.0
RPL7L1P5,0.0,0.0,0.0,0.0,0.0,0.0
AL606845.1,0.7,0.0,0.0,0.0,0.0,1.2990000000000002
NKX2-2,0.0,0.0,0.035,0.0,0.0,0.04
CYP24A1,28.475,30.555999999999997,85.541,77.051,114.634,110.876
