genes,Calu3_polyA_series1-S2-24h-A,Calu3_polyA_series1-S2-24h-B,Calu3_polyA_series1-mock-24h-A,Calu3_polyA_series1-mock-24h-B
AC079834.2,0.23,0.083,0.10099999999999999,0.0
AC011498.4,0.187,0.18,0.418,0.376
HNRNPA1,81.063,85.258,110.838,115.443
PPP2R2A,22.987,22.276,12.715,12.912
ATP2C2-AS1,0.524,0.54,0.153,0.163
TNRC18P1,0.061,0.0,0.0,0.08900000000000001
AOX3P-AOX2P,0.0,0.0,0.0,0.0
IRAK3,0.314,0.534,0.425,0.48
ZFAND1,6.443,4.96,5.454,6.025
CYP4F9P,0.0,0.0,0.0,0.0
IRAK1,61.57899999999999,58.406000000000006,90.906,95.40299999999999
WFIKKN2,0.0,0.040999999999999995,0.016,0.0
DUSP15,1.006,0.513,0.035,0.013999999999999999
UBE2S,35.031,30.853,31.816,35.856
NCOA1,1.585,1.952,2.177,2.149
AC087516.2,0.0,0.044000000000000004,0.0,0.0
DDX10,5.71,5.817,6.018,6.341
SPA17,0.948,0.56,1.6230000000000002,1.6569999999999998
AL136099.1,0.0,0.0,0.0,0.0
AP006216.1,0.0,0.773,0.0,0.0
CDK19,3.228,2.501,5.353,5.045
KCNA7,0.0,0.0,0.0,0.0
RN7SL468P,0.0,0.0,0.0,0.0
CCDC124,24.18,22.63,30.039,30.471999999999998
GDNF-AS1,0.0,0.0,0.0,0.0
CCT6P4,0.0,0.0,0.0,0.0
LINC02292,0.0,0.0,0.077,0.064
EIF6,108.26799999999999,108.428,113.809,123.698
SMIM29,22.005,21.881,19.054000000000002,18.316
GPR155,0.14400000000000002,0.16699999999999998,0.32,0.265
CD27,0.159,0.0,0.0,0.0
LINC01887,0.0,0.0,0.0,0.0
NUP58,7.425,7.154,5.644,6.042999999999999
AC019257.9,0.0,0.0,0.0,0.0
AMER3,0.0,0.0,0.0,0.0
MIR548AA1,0.0,0.0,0.0,0.0
AC116049.2,0.0,0.0,0.0,0.0
RPP38,15.345999999999998,15.447000000000001,9.737,10.737
NRG1,2.108,2.086,2.727,2.748
PLEKHO1,0.609,0.611,0.474,0.385
AC007494.1,0.0,0.0,0.086,0.0
AL022237.1,0.0,0.0,0.0,0.152
MYO5B,12.805,13.379000000000001,13.606,13.418
PABPC1,110.105,108.477,149.946,152.694
DISC1,0.226,0.32,0.175,0.17
SLC1A2,0.02,0.036000000000000004,0.026000000000000002,0.006999999999999999
AC244517.6,0.889,0.77,1.141,0.731
AC093567.1,0.0,0.0,0.0,0.0
FGFR4,34.473,35.032,56.563,58.88399999999999
AL022334.1,0.0,0.0,0.114,0.0
AP001330.5,2.73,0.7879999999999999,0.0,0.66
AL023803.3,0.0,0.0,0.125,0.20800000000000002
MIR3196,0.0,0.0,0.0,0.0
RN7SL192P,0.0,0.0,0.21899999999999997,0.18100000000000002
PECAM1,0.0,0.0,0.008,0.0
DEPDC1,7.601,8.013,17.468,15.51
MAS1,0.0,0.0,0.013000000000000001,0.006
MRPL55,14.038,15.292,14.686,15.504000000000001
AC010255.1,0.153,0.0,0.0,0.0
AC114763.1,0.684,0.494,0.449,0.496
ZNF132,0.0,0.0,0.0,0.016
MYPOP,4.26,5.64,5.629,5.093
STEAP2-AS1,0.0,0.134,0.0,0.045
RPL12P17,0.0,0.0,0.131,0.0
ADH5,16.808,15.849,26.105999999999998,27.013
SNX19,9.991,9.798,9.751,9.836
SETP16,0.0,0.0,0.0,0.0
RF00322,0.0,0.0,0.0,0.0
LINC01448,0.0,0.0,0.0,0.0
BAHCC1,0.35,0.228,0.0,0.012
TMEM106C,12.526,12.262,23.516,22.98
PRDX3P1,0.294,0.0,0.086,0.0
RNU6-287P,0.0,0.0,0.0,0.0
RNU6-1241P,0.0,0.0,0.0,0.0
LINC02397,0.0,0.0,0.0,0.0
AC012368.1,0.0,0.132,0.053,0.022000000000000002
PRDM8,1.125,0.777,0.257,0.26
UTRN,7.144,7.832999999999999,10.824000000000002,9.231
LINC01342,0.139,0.1,0.243,0.268
AP000813.1,0.0,0.0,0.0,0.0
PACRG,0.0,0.0,0.05,0.021
CDC20P1,0.898,1.944,2.532,2.568
AC091868.1,0.0,0.0,0.0,0.17800000000000002
AC008581.1,0.0,0.42100000000000004,0.0,0.0
TUSC1,6.561,6.475,6.318,6.821000000000001
HAUS1,11.224,12.463,14.184000000000001,15.694
MIP,0.126,0.0,0.0,0.015
TPSAB1,0.0,0.0,0.0,0.0
AC048344.4,0.852,0.922,0.87,0.10300000000000001
AC068647.2,0.0,0.0,0.125,0.0
PDIA3P1,7.956,10.467,10.969000000000001,10.562999999999999
AL390955.1,0.24,0.0,0.28,0.0
ATP6V1H,5.979,5.143,4.606,4.687
AC021766.1,0.0,0.0,0.08800000000000001,0.073
EDARADD,0.253,0.22399999999999998,0.214,0.191
AL137246.1,0.23,0.0,0.0,0.0
AC133565.1,0.0,0.0,0.0,0.0
BX649632.1,0.0,0.0,0.067,0.0
OSBPL8,8.001,8.173,12.222999999999999,11.259
AL122035.2,0.24,0.17300000000000001,0.21,0.406
EEF1GP5,0.0,0.0,0.05,0.040999999999999995
AC010531.7,0.0,0.0,0.0,0.0
AC009812.1,0.47,0.19399999999999998,0.392,0.21100000000000002
TTC16,0.0,0.0,0.0,0.009000000000000001
AC012513.3,0.742,0.7659999999999999,2.878,3.282
AC244502.2,0.0,0.0,0.0,0.064
TTF1,8.096,7.005,6.192,6.176
STK3,3.471,3.484,2.7739999999999996,2.647
LINC00052,0.0,0.0,0.0,0.0
SETDB1,7.56,7.127000000000001,4.976,5.568
AC069549.1,0.0,0.0,0.0,0.0
AC016582.2,3.29,3.5069999999999997,2.8810000000000002,2.576
AC134349.2,0.0,0.35600000000000004,0.14400000000000002,0.06
AC009411.2,0.12,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
GYS2,0.036000000000000004,0.0,0.021,0.026000000000000002
AL160286.3,0.0,0.0,0.0,0.016
DENND1A,1.75,2.275,1.3730000000000002,1.508
LINC01608,0.0,0.0,0.0,0.0
TRBV9,0.0,0.0,0.0,0.0
LAMP5,0.0,0.079,0.128,0.213
AL139424.3,0.0,0.0,0.027999999999999997,0.0
LINC02272,0.0,0.0,0.0,0.0
NMB,11.415999999999999,9.512,18.004,18.472
XKRX,0.266,0.384,0.136,0.273
ERGIC1,14.038,13.558,23.113000000000003,23.905
HLA-A,590.031,566.129,170.355,167.137
CNFN,0.0,0.264,0.107,0.531
RNU7-195P,3.6189999999999998,0.0,0.0,0.0
RNU105B,0.0,0.0,0.0,0.0
AC239859.6,0.0,0.0,0.0,0.0
MTND1P32,0.0,0.0,0.0,0.0
AL035250.1,0.0,0.0,0.0,0.0
AC015802.1,0.0,0.0,0.0,0.0
AC137723.1,0.0,0.0,0.0,0.47700000000000004
COPE,22.906,24.148000000000003,24.301,25.37
RF00019,0.0,0.0,0.0,0.0
LINC02299,0.0,0.0,0.10800000000000001,0.0
ASCL2,0.0,0.0,0.0,0.0
NUPL2,12.838,12.174000000000001,11.901,11.069
AC093668.1,0.579,0.311,0.321,0.21600000000000003
AC007842.1,0.99,0.795,0.899,0.851
AC084364.2,0.0,0.0,0.0,0.0
MIR645,0.0,3.447,0.0,0.0
AL137220.1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
TENT2,14.502,13.177999999999999,10.187999999999999,10.273
RSPH3,1.744,2.272,3.623,3.034
AC096751.2,0.0,0.0,0.0,0.0
TGIF2P1,0.32799999999999996,0.0,0.0,0.079
RF00019,0.0,0.0,0.0,0.0
SP8,1.81,1.4380000000000002,0.0,0.0
RBL2,6.607,7.29,13.360999999999999,13.017000000000001
MIR590,2.313,3.341,1.35,0.0
TP53TG5,0.075,0.109,0.17600000000000002,0.055
AC012447.1,0.6579999999999999,0.475,0.384,0.875
MAGEA8-AS1,0.0,0.0,0.0,0.114
RF00019,0.0,0.0,0.579,0.48
AKTIP,3.196,3.3989999999999996,4.777,4.908
COQ10A,2.214,1.9980000000000002,1.635,1.5390000000000001
ZNF502,0.5479999999999999,0.545,0.34,0.381
NUDT19P5,0.0,0.0,0.115,0.095
WDTC1,2.202,2.22,3.955,3.781
AC108112.1,0.0,0.0,0.0,0.0
PANK4,4.436,4.218,3.6660000000000004,4.024
LGALSL,3.594,3.378,3.9619999999999997,3.9589999999999996
RPL36P4,0.0,0.0,0.0,0.0
AL121820.2,0.0,0.0,0.7040000000000001,0.19399999999999998
AC026412.2,1.4609999999999999,0.904,0.48700000000000004,0.757
RARRES2P11,0.0,0.0,0.0,0.0
AHNAK,23.421999999999997,24.287,81.03699999999999,79.13
AC091152.4,0.258,0.023,0.055999999999999994,0.031
COX6B1,66.385,70.649,88.589,92.76299999999999
AL441883.1,1.288,0.465,0.501,0.623
AL109767.1,0.0,0.0,0.0,0.0
AL031659.1,0.0,0.0,0.0,0.0
P3H2,1.369,1.2209999999999999,0.846,0.779
RN7SKP276,0.0,0.0,0.0,0.0
CEBPA,0.518,0.062,0.302,0.083
ZNF22,23.259,21.803,20.799,21.101
PDE11A,0.027000000000000003,0.04,0.125,0.075
NDUFB4P9,0.0,0.0,0.0,0.0
TLN1,23.651,24.000999999999998,34.275,34.633
ELMO3,12.460999999999999,12.207,15.868,16.137999999999998
ADD3-AS1,0.0,0.0,0.006999999999999999,0.006
SULT1E1,0.10800000000000001,0.0,0.18899999999999997,0.195
UGDH,17.783,16.182000000000002,16.219,16.416
DPM3,8.297,5.9910000000000005,14.949000000000002,14.129000000000001
MOB4,10.629000000000001,11.434000000000001,10.603,11.975
LINC01124,0.106,0.077,0.031,0.077
AL590666.4,0.235,0.0,0.0,0.057
AC073091.2,0.0,0.0,0.0,0.0
AC107959.2,1.788,1.045,0.025,0.0
RPL9,21.759,20.132,25.451,25.753
AVIL,0.61,0.46799999999999997,0.578,0.516
AC207130.1,0.192,0.069,0.027999999999999997,0.046
TEX54,0.0,0.0,0.0,0.0
RNU1-72P,0.0,0.0,0.0,0.0
OR2M4,0.0,0.0,0.0,0.0
TMEM43,26.163,24.29,27.57,28.018
AC008280.1,0.0,0.0,0.0,0.0
PCSK6,0.017,0.012,0.015,0.013999999999999999
AC115284.1,4.3069999999999995,3.3560000000000003,7.122999999999999,7.356
LINC02000,0.0,0.0,0.0,0.0
EID2,11.845999999999998,14.024000000000001,12.622,12.122
ELL,4.197,3.9530000000000003,2.903,2.327
CDAN1,1.8530000000000002,2.528,2.5,2.519
STAU2-AS1,0.0,0.0,0.0,0.0
PLSCR4,2.015,2.336,2.414,2.09
ATP5MC2P1,0.0,0.0,0.0,0.0
CTR9,17.11,16.875999999999998,19.451,18.296
MRPS33P3,0.0,0.0,0.0,0.0
AC091860.1,0.0,0.0,0.0,0.0
SLC51A,0.043,0.092,0.0,0.0
LINC00851,0.0,0.0,0.0,0.0
RNU1-87P,0.0,0.0,0.0,0.0
OGDHL,0.078,0.113,0.091,0.10400000000000001
CCR5,0.0,0.0,0.0,0.0
ZNF426-DT,0.519,0.0,0.37799999999999995,0.376
AC093495.1,0.084,0.141,0.08199999999999999,0.113
TERF2IP,16.802,17.243,12.509,12.907
TMPO-AS1,1.604,2.51,3.511,3.103
FAM90A27P,0.0,0.0,0.0,0.0
MT1HL1,0.0,0.0,0.0,0.0
MIR26A2,0.0,0.0,0.0,0.0
AL583722.1,0.34299999999999997,0.0,0.326,0.249
DHRS4L2,1.07,0.934,2.141,1.757
BCL10,17.832,18.104,9.16,8.628
AP003108.2,2.103,2.865,2.137,2.2319999999999998
RF00012,0.0,0.0,0.0,0.0
RPS12P18,0.0,0.0,0.0,0.0
AC010186.1,0.0,0.0,0.0,0.0
LINC01731,0.0,0.0,0.0,0.0
STAG3,0.031,0.038,0.025,0.04
MTMR7,0.0,0.0,0.009000000000000001,0.0
LINC02273,0.0,0.0,0.031,0.0
EGFEM1P,0.193,0.07,0.098,0.047
KRT18P12,0.0,0.0,0.0,0.043
FAM220A,6.142,6.669,6.9910000000000005,7.039
TM9SF1,13.772,14.443,14.991,15.432
ITGB3,0.0,0.018000000000000002,0.045,0.062
AC109492.1,0.0,0.0,0.0,0.16699999999999998
AC034231.1,0.418,0.0,0.0,0.20199999999999999
AL596223.1,0.0,0.0,0.0,0.0
ERRFI1,36.832,35.281,19.743,18.2
TMEM198,2.263,1.8230000000000002,1.321,1.22
KNSTRN,9.641,9.445,15.322000000000001,14.134
RNH1,22.395,24.345,21.143,21.614
SNORD58B,26.075,33.141,47.453,46.44
AP000350.1,0.0,0.0,0.0,0.0
RPL35P4,0.0,0.0,0.0,0.0
AC090615.1,0.0,0.0,0.425,0.0
AC092112.1,0.35100000000000003,0.506,0.102,0.0
TPD52,7.103,6.355,9.458,8.921
MDH2,27.238000000000003,28.701999999999998,34.529,35.878
RPS4XP10,0.0,0.0,0.0,0.0
ARFGAP2,22.635,21.314,18.793,19.484
RF00019,0.0,0.0,0.0,0.0
RPSAP5,0.0,0.0,0.0,0.061
EIF3C,1.35,1.091,1.304,1.189
EPYC,0.0,0.0,0.036000000000000004,0.0
FAM47E,0.11800000000000001,0.043,0.096,0.083
COPZ1,31.486,32.005,41.961999999999996,44.368
AC073648.6,0.0,0.0,0.0,0.0
RNU4-42P,0.0,0.0,0.0,0.0
ADHFE1,0.133,0.024,0.068,0.045
ZNF728,0.0,0.0,0.0,0.0
AL109610.1,0.0,0.0,0.0,0.0
NUBP2,11.294,11.168,13.857999999999999,14.53
AC023157.2,0.0,0.0,0.0,0.769
UBBP1,1.423,3.083,0.831,1.95
RF00019,0.0,0.0,0.0,0.0
MLC1,0.0,0.0,0.015,0.0
ACOX1,6.58,7.0,8.305,8.282
MIR3198-1,0.0,0.0,1.6369999999999998,0.0
POU4F3,0.261,0.126,0.127,0.042
DNAAF2,7.8,6.89,9.016,9.392000000000001
AC133106.1,0.0,0.0,0.0,0.0
REST,6.24,6.17,5.25,5.226
RAP1GAP2,5.6,5.184,5.755,5.625
NME4,13.53,14.985999999999999,19.617,19.198
NR0B2,0.0,0.0,0.0,0.0
TMEM132D-AS1,0.0,0.0,0.028999999999999998,0.0
CHERP,12.440999999999999,12.458,9.787,9.84
AC092692.1,0.0,0.187,0.0,0.0
AC099689.1,0.0,0.0,0.0,0.0
TEX43,0.9159999999999999,0.0,0.0,0.111
RPL11P4,0.0,0.0,0.0,0.0
LINC01763,0.0,0.0,0.0,0.0
AC068299.1,3.207,2.131,0.0,0.0
AC110774.1,0.0,0.0,0.0,0.0
AL513165.1,2.329,0.561,0.68,2.065
AL365226.1,0.0,0.0,1.126,0.0
SPATS1,0.0,0.0,0.0,0.017
ST13P15,0.405,1.025,2.011,1.96
PAPOLB,0.0,0.0,0.0,0.0
GOLGA8S,0.0,0.0,0.0,0.0
NEDD8-MDP1,16.261,16.521,24.546999999999997,27.365
AC090993.1,0.0,0.0,0.0,0.0
AC135352.1,0.0,0.0,0.046,0.0
CNKSR3,0.478,0.36,0.228,0.18899999999999997
AC008496.2,0.0,0.0,0.0,0.23600000000000002
RIMKLA,0.14800000000000002,0.091,0.259,0.22399999999999998
FP325330.3,0.0,0.0,0.0,0.0
AGAP2,0.0,0.048,0.019,0.032
SPIN1,13.775,13.052999999999999,18.657,16.817999999999998
ATP13A5,0.0,0.10400000000000001,0.0,0.009000000000000001
AC024341.1,0.0,0.0,0.0,0.0
RBPJL,0.485,0.35,0.0,0.0
AC026786.2,0.0,0.413,0.0,0.0
Z82196.1,0.0,0.0,0.0,0.0
AL138688.2,0.0,0.214,0.043,0.0
LINC00491,0.0,0.0,0.053,0.0
SERPINA2,0.0,0.0,0.0,0.057999999999999996
AL118496.1,0.495,0.0,0.217,0.24
ASAP2,34.876,30.118000000000002,17.974,16.842
AC008799.1,0.0,0.0,0.0,0.0
METTL2B,4.305,4.837,4.977,4.337
AL021368.3,0.0,0.0,0.0,0.094
RPL23AP44,0.0,0.0,0.0,0.0
RNU2-59P,0.0,0.0,0.0,0.0
PRPF40B,1.5919999999999999,1.87,1.8719999999999999,1.6769999999999998
MIR6880,1.8090000000000002,3.92,0.528,2.625
MIR4641,1.7,1.227,1.4880000000000002,0.41100000000000003
RNA5SP530,5.704,0.0,0.0,0.919
RNU6-490P,0.0,0.0,0.0,0.0
RN7SL55P,0.0,0.0,0.0,0.0
AC079776.1,0.0,0.0,0.0,0.0
PCBP2,21.843000000000004,21.229,25.916,26.423000000000002
AL080312.1,0.0,0.0,0.159,0.198
AL138767.2,0.0,0.0,0.0,0.0
AL844908.1,0.0,0.0,0.0,0.0
SCAF1,44.583999999999996,45.333,39.251999999999995,39.301
FAM41C,0.0,0.0,0.0,0.0
GSS,15.552,15.008,20.063,20.083
COPS8P3,0.0,0.0,0.0,0.0
SNORD22,17.808,22.503,11.953,15.284
AC097480.1,0.0,0.0,0.0,0.0
C9orf153,0.0,0.055,0.022000000000000002,0.0
SLC16A10,0.08,0.057999999999999996,0.198,0.217
STAT5A,1.3259999999999998,1.239,0.33,0.509
LINC00592,0.0,0.0,0.0,0.037000000000000005
AC010624.1,0.0,0.319,0.043,0.107
ACTB,860.6260000000001,870.255,1298.73,1366.379
LINC01132,0.044000000000000004,0.0,0.013000000000000001,0.011000000000000001
GLIS3,6.819,6.763,7.894,7.5360000000000005
SELENOS,21.017,23.238000000000003,15.140999999999998,15.793
SLC49A4,3.985,4.243,6.781000000000001,6.695
UROD,3.898,4.544,8.89,9.048
MTCO1P30,0.0,0.0,0.0,0.0
TMEM100,0.0,0.0,0.0,0.0
PLA2G12A,3.094,3.0410000000000004,5.669,5.341
AP003170.4,0.0,0.0,0.11199999999999999,0.09300000000000001
AC012498.2,0.0,0.0,0.0,0.0
RPL7L1P5,0.304,0.0,0.08900000000000001,0.0
AL606845.1,0.0,0.0,0.0,0.0
NKX2-2,0.0,0.0,0.0,0.0
CYP24A1,43.548,45.665,130.959,98.69
AC024575.1,0.32899999999999996,0.475,0.28800000000000003,0.557
TNNT3,0.0,0.0,0.0,0.0
AJ003147.2,3.455,3.5010000000000003,0.142,0.205
ALDOC,0.344,0.18600000000000003,0.401,0.602
AC097374.2,0.0,0.0,0.0,0.0
ASIC5,0.0,0.0,0.0,0.0
TPO,0.0,0.0,0.0,0.0
UST,0.092,0.1,0.04,0.08900000000000001
AC018638.6,0.0,0.895,0.413,0.3
APOC1P1,0.0,0.0,0.0,0.0
CLCNKB,0.0,0.0,0.022000000000000002,0.0
AC127070.2,0.0,0.0,0.0,0.0
AC114737.1,0.0,0.0,0.0,0.0
DCAF4L1,0.191,0.344,0.195,0.081
CDH6,1.443,1.484,1.3230000000000002,1.3840000000000001
PLBD1-AS1,0.753,1.631,1.9780000000000002,1.729
AL365226.2,0.0,0.816,0.0,0.0
LINC00661,0.0,0.11699999999999999,0.10300000000000001,0.092
FAM57A,7.709,8.705,10.052,11.579
IREB2,15.037,14.937999999999999,12.062000000000001,12.373
AP001351.1,0.12,0.0,0.0,0.145
OR7E104P,0.0,0.0,0.0,0.0
AC073592.1,0.0,0.0,0.0,0.0
RF00426,0.0,0.0,0.0,0.0
AC110760.2,0.0,0.09699999999999999,0.02,0.032
OSBPL10-AS1,0.0,0.0,0.0,0.0
LENG8-AS1,2.16,1.8519999999999999,1.8519999999999999,1.828
CYP4A22-AS1,0.48700000000000004,0.35200000000000004,0.213,0.353
AC091564.7,37.063,33.81,37.351,37.821
SNAP91,0.0,0.0,0.0,0.0
ABHD8,3.944,3.897,5.0280000000000005,4.893
AC010175.1,0.0,0.0,0.0,0.0
THAP12P2,0.0,0.0,0.0,0.0
C9orf78,6.337000000000001,6.546,6.986000000000001,6.8839999999999995
AL359317.1,0.0,0.0,0.0,0.0
RNU6-154P,0.0,1.5290000000000001,1.235,0.0
AC007560.1,0.0,0.0,1.105,0.22899999999999998
AP005205.3,0.0,0.0,0.0,0.0
TBX18,3.111,4.493,5.44,4.933
AC007608.3,0.043,0.0,0.0,0.0
AC072061.1,0.301,0.29,0.41,0.486
KLF2P4,0.0,0.0,0.0,0.0
NPPB,0.317,0.0,0.185,0.077
RPL29P32,0.0,0.34299999999999997,0.0,0.0
RPL7P61,0.0,0.0,0.0,0.0
MTND6P15,0.0,0.0,0.0,0.0
MAGI2,0.05,0.036000000000000004,0.055999999999999994,0.07200000000000001
PHF12,5.689,5.221,4.841,4.716
RPLP1,234.657,220.16400000000002,245.649,259.918
AC010092.1,0.0,0.152,0.12300000000000001,0.051
MIR3620,8.521,18.458,12.433,14.077
AC097347.1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
AP005131.7,0.0,0.0,0.0,0.0
AL157938.3,0.073,0.0,0.0,0.018000000000000002
AC087280.1,0.22399999999999998,0.0,0.0,0.0
RF00019,2.2,4.765,0.642,1.064
AC138028.5,0.0,0.0,0.0,0.0
CDC42P2,0.0,0.0,0.0,0.0
OR5BP1P,0.0,0.0,0.0,0.0
AL139354.1,0.0,0.0,0.102,0.0
C14orf119,16.387999999999998,16.81,17.923,18.496
RASA1,59.653999999999996,61.501000000000005,75.229,71.139
LINC01270,0.298,0.10800000000000001,0.043,0.036000000000000004
KRTAP19-2,0.0,0.0,0.0,0.0
RPS6,216.64700000000002,223.153,305.334,320.726
CAPN10,4.333,4.27,3.9210000000000003,4.362
AC093142.1,0.0,0.0,0.0,0.311
AL132640.2,0.0,0.0,0.039,0.032
AC073342.1,0.0,0.348,0.07,0.057999999999999996
ZDBF2,0.062,0.0,0.0,0.0
ZNF581,15.988,13.081,14.25,13.681
STAU1,81.332,83.069,78.499,77.23899999999999
MIR3189,0.0,4.439,0.897,0.0
PCDH15,0.0,0.0,0.0,0.0
GPR19,0.428,0.9259999999999999,1.6969999999999998,1.24
AP000777.2,0.0,0.0,0.261,0.0
AL357520.1,0.0,0.0,0.0,0.0
AC135803.1,0.397,0.0,0.579,0.384
DCUN1D4,5.915,4.887,6.149,5.955
RSL24D1P9,0.475,0.0,0.0,0.0
ARHGAP30,0.133,0.192,0.091,0.096
AC020951.1,0.0,0.0,0.0,0.0
MICALL1,17.069000000000003,17.076,20.314,18.570999999999998
AC007365.1,0.0,0.258,0.209,0.087
PPIAP62,0.0,0.0,0.136,0.0
TMEM106A,0.376,0.18100000000000002,0.128,0.106
RNU6-993P,0.0,0.0,0.0,0.0
RN7SL524P,0.0,0.0,0.0,0.0
AC007216.2,0.0,0.0,0.0,0.0
MTND3P17,0.0,0.0,0.0,0.0
AC109439.2,0.0,0.0,0.0,0.0
AC073365.1,0.08900000000000001,0.0,0.0,0.021
TMEM251P1,0.0,0.0,0.0,0.0
AC007132.1,0.0,0.0,0.0,0.0
ZNF765,1.9169999999999998,1.6469999999999998,1.819,1.7469999999999999
HJURP,22.138,23.279,29.046999999999997,28.296
RPN2,183.989,196.58599999999998,240.358,247.857
GPR63,1.166,1.005,1.032,1.036
CDC7,6.234,6.843,8.169,7.28
AC009336.2,0.0,0.0,0.0,0.0
KRT18P22,0.0,0.12,0.146,0.282
AC026801.2,0.7170000000000001,0.311,0.628,0.589
AC243571.1,0.0,0.0,0.0,0.0
AP003170.1,0.218,0.315,0.318,0.105
TINCR,0.051,0.073,0.044000000000000004,0.012
LYZL6,0.0,0.0,0.0,0.0
KMT5A,6.721,6.553,7.945,8.302
AC015911.6,0.0,0.0,0.0,0.0
RNU6-786P,0.0,0.0,0.0,0.0
CDRT4,1.429,1.839,1.073,1.234
AC006994.1,0.0,0.0,0.0,0.0
AC018410.2,0.0,0.0,0.0,0.0
SOCS2P1,0.0,0.0,0.0,0.09699999999999999
AL021368.4,0.0,0.0,0.29100000000000004,0.509
RPS18P12,1.4669999999999999,1.765,1.569,1.3
AC009446.1,0.0,0.0,0.0,0.0
GPX1,72.263,77.107,87.01100000000001,90.79700000000001
SPRY4,6.425,6.787000000000001,3.84,3.892
CRELD1,7.067,7.419,6.959,7.481
FKBP1AP1,0.0,0.0,0.20600000000000002,0.0
FAM136BP,3.228,2.331,3.298,3.513
HIST2H2BF,0.35100000000000003,0.253,0.12300000000000001,0.085
AC107023.1,0.0,0.0,0.0,0.0
FXYD2,0.32,0.34700000000000003,0.7879999999999999,0.706
GRN,62.843,64.321,83.67,84.375
BRIP1,3.678,3.508,2.4659999999999997,2.403
AC110056.1,0.0,0.0,0.0,0.0
RN7SL649P,0.816,0.0,0.0,0.0
LINC01399,0.278,0.201,0.081,0.067
GAS2L1,3.605,3.688,4.369,4.6
NPM1P40,0.306,0.221,0.08900000000000001,0.0
AL121972.1,0.0,0.20199999999999999,0.0,0.067
RB1-DT,0.39299999999999996,0.142,0.0,0.047
AL589765.1,0.0,0.0,0.0,0.0
LPAR4,0.0,0.0,0.0,0.0
AC008696.1,0.365,0.0,0.106,0.0
CACNA1B,0.0,0.0,0.006999999999999999,0.005
KDSR,5.686,5.95,4.887,4.87
SIGLEC20P,0.0,0.0,0.0,0.0
MT1L,0.0,0.0,0.159,0.0
TREX1,7.051,7.944,1.605,1.911
LMNB2,35.705,39.821999999999996,53.361000000000004,53.776
AC108134.4,0.743,0.536,0.0,0.0
AC024884.1,0.0,0.0,0.821,0.0
AC015908.6,0.0,0.0,0.0,0.0
RF00019,4.043,0.0,0.0,0.0
C1orf116,44.949,43.56100000000001,35.019,33.204
CFL1,149.431,146.22,160.132,167.547
TUBAP2,5.2860000000000005,4.018,6.007999999999999,6.895
DNASE1L2,1.023,0.8859999999999999,1.209,1.459
SF3A3P1,0.76,0.5479999999999999,1.197,0.845
BEST1,0.258,0.11199999999999999,0.128,0.106
CSNK1G2P1,0.0,0.17,0.0,0.0
NDNF,0.0,0.091,0.018000000000000002,0.076
SCGB1D2,0.0,0.0,0.0,0.0
