genes,H1299_polyA_S2-4h-A,H1299_polyA_S2-4h-B,H1299_polyA_mock-4h-A,H1299_polyA_mock-4h-B
AC021766.1,0.0,0.0,0.0,0.0
EDARADD,0.306,0.345,0.281,0.33
AL137246.1,0.0,0.0,0.0,0.0
AC133565.1,0.0,0.0,0.0,0.0
BX649632.1,0.2,0.0,0.0,0.068
OSBPL8,18.994,20.21,19.107,19.139
AL122035.2,0.235,0.11900000000000001,0.187,0.17600000000000002
EEF1GP5,0.0,0.0,0.0,0.0
AC010531.7,0.0,0.0,0.0,0.0
AC009812.1,1.4880000000000002,1.554,1.402,0.9840000000000001
TTC16,0.015,0.012,0.0,0.021
AC012513.3,3.505,3.7889999999999997,4.0680000000000005,3.92
AC244502.2,0.0,0.0,0.0,0.0
TTF1,13.657,14.039000000000001,13.649000000000001,14.969000000000001
STK3,2.764,2.5860000000000003,2.51,2.575
LINC00052,0.0,0.0,0.0,0.0
SETDB1,6.204,6.144,7.144,6.386
AC069549.1,0.0,0.0,0.0,0.0
AC016582.2,4.19,4.251,3.372,3.264
AC134349.2,0.214,0.245,0.231,0.36200000000000004
AC009411.2,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
GYS2,0.031,0.024,0.022000000000000002,0.011000000000000001
AL160286.3,0.0,0.0,0.0,0.0
DENND1A,3.415,3.301,3.637,3.267
LINC01608,9.667,10.168,11.168,7.6160000000000005
TRBV9,0.0,0.0,0.0,0.0
LAMP5,0.0,0.0,0.034,0.0
AL139424.3,0.02,0.0,0.0,0.0
LINC02272,0.0,0.0,0.0,0.0
NMB,13.652999999999999,14.165,11.779000000000002,13.655999999999999
XKRX,0.013999999999999999,0.022000000000000002,0.021,0.0
ERGIC1,7.037000000000001,7.172000000000001,7.497999999999999,7.157
HLA-A,67.875,66.938,66.735,66.84899999999999
CNFN,1.83,1.695,1.713,2.792
RNU7-195P,0.0,0.0,0.0,0.0
RNU105B,0.0,0.0,0.0,0.0
AC239859.6,1.8319999999999999,1.3940000000000001,2.957,2.4730000000000003
MTND1P32,0.0,0.0,0.0,0.0
AL035250.1,0.0,0.0,0.0,0.0
AC015802.1,0.0,0.0,0.0,0.0
AC137723.1,0.245,0.0,0.35200000000000004,0.0
COPE,46.411,46.256,44.695,44.045
RF00019,0.0,0.0,0.0,0.0
LINC02299,0.0,0.0,0.0,0.0
ASCL2,0.0,0.0,0.0,0.0
NUPL2,5.314,5.356,5.13,5.476
AC093668.1,0.8029999999999999,0.573,0.701,0.6579999999999999
AC007842.1,1.962,1.7480000000000002,1.4069999999999998,1.5819999999999999
AC084364.2,0.0,0.0,0.0,0.0
MIR645,0.0,0.0,0.0,0.0
AL137220.1,0.0,0.0,0.106,0.0
RF00019,0.0,0.0,0.0,0.0
TENT2,5.19,4.367,4.79,4.566
RSPH3,3.8960000000000004,3.904,3.84,3.7030000000000003
AC096751.2,0.0,0.0,0.0,0.0
TGIF2P1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
SP8,0.0,0.08,0.038,0.035
RBL2,5.686,5.975,6.153,6.096
MIR590,2.012,5.357,3.608,3.3930000000000002
TP53TG5,0.0,0.0,0.047,0.044000000000000004
AC012447.1,1.216,1.197,1.334,1.4480000000000002
MAGEA8-AS1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
AKTIP,1.465,1.258,1.5490000000000002,1.774
COQ10A,4.0169999999999995,4.533,4.23,3.7960000000000003
ZNF502,0.0,0.0,0.0,0.02
NUDT19P5,0.0,0.0,0.0,0.0
WDTC1,7.354,6.178999999999999,7.602,6.716
AC108112.1,0.0,0.0,0.0,0.0
PANK4,6.274,6.205,6.973,6.237
LGALSL,2.58,2.133,2.1,2.126
RPL36P4,0.0,0.0,0.0,0.0
AL121820.2,0.0,0.0,0.0,0.0
AC026412.2,0.726,0.552,0.586,0.429
RARRES2P11,0.0,0.0,0.0,0.0
AHNAK,54.872,53.663000000000004,56.15,56.022
AC091152.4,0.161,0.139,0.02,0.151
COX6B1,178.696,182.575,174.38400000000001,175.257
AL441883.1,2.148,2.273,2.076,2.331
AL109767.1,0.0,0.0,0.0,0.0
AL031659.1,0.0,0.0,0.0,0.0
P3H2,7.143,7.7,7.3839999999999995,6.6739999999999995
RN7SKP276,0.364,0.27699999999999997,0.0,0.0
CEBPA,0.769,0.6559999999999999,0.78,0.43
ZNF22,10.695,10.555,10.45,11.144
PDE11A,0.0,0.006,0.0,0.008
NDUFB4P9,0.0,0.0,0.0,0.0
TLN1,54.045,52.905,55.1,54.667
ELMO3,1.989,1.96,2.528,1.994
ADD3-AS1,0.011000000000000001,0.016,0.016,0.006999999999999999
SULT1E1,0.08199999999999999,0.08900000000000001,0.067,0.032
UGDH,27.320999999999998,27.63,26.587,26.121
DPM3,22.04,21.603,22.392,19.898
MOB4,10.595999999999998,10.405,10.264000000000001,10.434000000000001
LINC01124,0.207,0.0,0.066,0.09300000000000001
AL590666.4,0.0,0.0,0.0,0.0
AC073091.2,0.0,0.0,0.0,0.0
AC107959.2,0.07400000000000001,0.0,0.053,0.025
RPL9,101.663,100.492,99.95200000000001,100.925
AVIL,0.182,0.151,0.131,0.10099999999999999
AC207130.1,0.0,0.0,0.0,0.0
TEX54,0.0,0.077,0.0,0.0
RNU1-72P,0.319,0.0,0.915,0.43
OR2M4,0.025,0.0,0.024,0.022000000000000002
TMEM43,30.64,30.656,32.075,31.534000000000002
AC008280.1,0.0,0.0,0.17,0.0
PCSK6,0.262,0.213,0.235,0.26899999999999996
AC115284.1,8.711,7.148,8.807,7.562
LINC02000,0.0,0.0,0.0,0.0
EID2,38.724000000000004,36.595,38.281,37.584
ELL,5.545,5.404,5.621,5.5889999999999995
CDAN1,4.979,4.933,5.473,5.341
STAU2-AS1,0.0,0.0,0.0,0.0
PLSCR4,0.17300000000000001,0.12300000000000001,0.182,0.249
ATP5MC2P1,0.0,0.0,0.0,0.0
CTR9,15.084000000000001,15.555,14.92,15.825
MRPS33P3,0.0,0.0,0.0,0.0
AC091860.1,0.0,0.0,0.0,0.0
SLC51A,0.0,0.0,0.0,0.0
LINC00851,0.0,0.0,0.0,0.0
RNU1-87P,0.0,0.0,0.0,0.387
OGDHL,0.358,0.467,0.428,0.47100000000000003
CCR5,0.0,0.02,0.0,0.0
ZNF426-DT,0.282,0.257,0.243,0.304
AC093495.1,0.027999999999999997,0.018000000000000002,0.0,0.016
TERF2IP,45.263000000000005,45.808,44.25899999999999,44.503
TMPO-AS1,4.534,4.9319999999999995,4.649,5.354
FAM90A27P,0.0,0.0,0.0,0.0
MT1HL1,0.0,0.0,0.0,0.0
MIR26A2,0.0,1.3259999999999998,0.0,0.0
AL583722.1,0.0,0.0,0.027000000000000003,0.0
DHRS4L2,0.5329999999999999,0.723,0.6679999999999999,0.628
BCL10,6.772,7.154,6.79,6.672000000000001
AP003108.2,1.43,1.663,1.479,1.405
RF00012,0.0,0.0,0.0,0.0
RPS12P18,0.0,0.0,0.0,0.0
AC010186.1,0.0,0.27899999999999997,0.263,0.0
LINC01731,0.0,0.0,0.0,0.0
STAG3,12.616,11.944,14.328,13.597999999999999
MTMR7,0.013999999999999999,0.011000000000000001,0.01,0.028999999999999998
LINC02273,0.0,0.0,0.0,0.0
EGFEM1P,0.18899999999999997,0.128,0.135,0.127
KRT18P12,0.0,0.0,0.055,0.052000000000000005
FAM220A,5.189,5.072,5.601,5.007
TM9SF1,6.382999999999999,6.271,6.193,6.167000000000001
ITGB3,0.672,0.574,0.573,0.794
AC109492.1,0.0,0.0,0.0,0.10099999999999999
AC034231.1,0.818,0.8290000000000001,1.4340000000000002,0.858
AL596223.1,0.0,0.0,0.0,0.0
ERRFI1,317.902,327.438,306.986,314.12
TMEM198,1.192,0.778,0.706,0.613
KNSTRN,26.142,24.99,26.701,27.259
RNH1,24.949,24.695999999999998,26.205,26.131
SNORD58B,109.77,106.667,109.405,91.93700000000001
AP000350.1,0.0,0.0,0.0,0.0
RPL35P4,0.152,0.0,0.0,0.0
AC090615.1,0.0,0.0,0.0,0.0
AC092112.1,0.076,0.0,0.109,0.10300000000000001
TPD52,19.947,20.296,19.95,20.551
MDH2,140.21,141.442,138.075,136.83700000000002
RPS4XP10,0.0,0.0,0.0,0.0
ARFGAP2,12.357000000000001,12.137,13.305,12.37
RF00019,0.0,0.0,0.0,0.0
RPSAP5,0.055,0.0,0.079,0.07400000000000001
EIF3C,0.915,1.138,0.882,0.9620000000000001
EPYC,0.0,0.0,0.0,0.0
FAM47E,0.021,0.008,0.044000000000000004,0.031
COPZ1,76.472,75.514,74.747,73.028
AC073648.6,0.0,0.0,0.0,0.0
RNU4-42P,0.0,0.0,0.0,0.0
ADHFE1,0.645,0.7909999999999999,0.677,0.585
ZNF728,0.022000000000000002,0.0,0.0,0.0
AL109610.1,0.0,0.0,0.0,0.0
NUBP2,10.404000000000002,10.91,11.049000000000001,10.26
AC023157.2,0.6920000000000001,0.527,0.0,0.0
UBBP1,1.238,1.099,0.5920000000000001,0.557
RF00019,0.0,0.0,0.0,0.0
MLC1,0.0,0.0,0.0,0.0
ACOX1,4.728,4.632,4.654,4.918
MIR3198-1,0.0,0.0,0.0,0.0
POU4F3,0.085,0.057999999999999996,0.027000000000000003,0.102
DNAAF2,7.343999999999999,7.642,7.8420000000000005,7.51
AC133106.1,0.0,0.0,0.0,0.0
REST,5.983,6.249,6.013999999999999,6.111000000000001
RAP1GAP2,17.476,17.485,18.157,18.608
NME4,29.898000000000003,30.06,31.748,29.781999999999996
NR0B2,0.0,0.0,0.0,0.0
TMEM132D-AS1,0.0,0.0,0.0,0.0
CHERP,16.104,15.175,16.773,15.574000000000002
AC092692.1,0.0,0.028999999999999998,0.0,0.025
AC099689.1,0.0,0.0,0.0,0.0
TEX43,0.1,0.0,0.0,0.0
RPL11P4,0.0,0.0,0.0,0.0
LINC01763,0.0,0.0,0.0,0.043
AC068299.1,0.0,0.0,0.0,0.0
AC110774.1,0.0,0.0,0.0,0.0
AL513165.1,17.05,20.294,18.405,17.996
AL365226.1,0.419,0.638,0.401,0.0
SPATS1,0.0,0.0,0.0,0.0
ST13P15,0.925,1.006,0.632,0.595
PAPOLB,0.0,0.0,0.033,0.0
GOLGA8S,0.0,0.0,0.0,0.0
NEDD8-MDP1,21.747,20.72,21.043000000000003,19.921
AC090993.1,0.0,0.0,0.0,0.0
AC135352.1,0.0,0.0,0.0,0.046
CNKSR3,1.409,1.3969999999999998,1.301,1.446
AC008496.2,0.0,0.0,0.0,0.0
RIMKLA,0.21100000000000002,0.23,0.23,0.18600000000000003
FP325330.3,0.005,0.023,0.015,0.006999999999999999
AGAP2,0.065,0.066,0.083,0.059000000000000004
SPIN1,22.12,22.409000000000002,21.526,21.456
ATP13A5,0.008,0.0,0.011000000000000001,0.011000000000000001
AC024341.1,0.0,0.0,0.0,0.0
RBPJL,0.0,0.0,0.0,0.0
AC026786.2,0.0,0.0,0.0,0.168
Z82196.1,0.0,0.0,0.0,0.0
AL138688.2,0.032,0.0,0.0,0.0
LINC00491,0.0,0.0,0.0,0.0
SERPINA2,0.0,0.0,0.0,0.071
AL118496.1,0.027000000000000003,0.0,0.039,0.036000000000000004
ASAP2,16.773,16.491,16.878,16.22
AC008799.1,0.0,0.0,0.0,0.0
METTL2B,9.701,11.027000000000001,9.204,10.682
AL021368.3,0.0,0.0,0.0,0.114
RPL23AP44,0.0,0.0,0.0,0.0
RNU2-59P,0.0,0.0,0.0,0.0
PRPF40B,1.023,0.857,1.1640000000000001,1.248
MIR6880,2.7539999999999996,1.796,2.822,5.309
MIR4641,0.0,0.562,0.53,0.0
RNA5SP530,1.24,0.0,0.0,0.5579999999999999
RNU6-490P,0.0,0.0,0.0,0.0
RN7SL55P,0.0,0.0,0.0,0.0
AC079776.1,0.042,0.064,0.0,0.0
PCBP2,63.321000000000005,64.025,63.629,62.169
AL080312.1,0.0,0.0,0.0,0.0
AL138767.2,0.0,0.0,0.0,0.392
AL844908.1,0.0,0.0,0.0,0.0
SCAF1,22.918000000000003,24.896,25.023000000000003,23.463
FAM41C,0.0,0.0,0.0,0.0
GSS,16.505,15.809000000000001,16.31,16.738
COPS8P3,0.0,0.0,0.0,0.0
SNORD22,12.39,10.016,14.164000000000001,18.026
AC097480.1,0.0,0.0,0.0,0.0
C9orf153,0.033,0.038,0.0,0.0
SLC16A10,0.903,1.031,0.9279999999999999,0.9840000000000001
STAT5A,0.008,0.0,0.0,0.011000000000000001
LINC00592,0.1,0.051,0.14400000000000002,0.136
AC010624.1,0.0,0.0,0.0,0.0
ACTB,1203.687,1175.079,1204.5439999999999,1180.923
LINC01132,0.0,0.0,0.013999999999999999,0.0
GLIS3,1.1079999999999999,1.091,1.163,1.099
SELENOS,8.958,9.107000000000001,8.791,8.863999999999999
SLC49A4,3.407,3.486,3.245,3.5869999999999997
UROD,22.862,22.701,22.635,22.434
MTCO1P30,0.0,0.0,0.0,0.0
TMEM100,0.0,0.0,0.0,0.0
PLA2G12A,2.392,2.396,2.5540000000000003,2.667
AP003170.4,0.0,0.127,0.0,0.0
AC012498.2,0.0,0.0,0.0,0.0
RPL7L1P5,0.0,0.0,0.0,0.0
AL606845.1,0.0,0.0,0.0,0.0
NKX2-2,0.14,0.106,0.067,0.094
CYP24A1,6.5329999999999995,6.106,6.809,6.933
AC024575.1,1.073,0.653,0.513,0.579
TNNT3,0.018000000000000002,0.0,0.0,0.0
AJ003147.2,0.44799999999999995,0.24100000000000002,0.076,0.462
ALDOC,0.168,0.114,0.214,0.214
AC097374.2,0.0,0.0,0.0,0.0
ASIC5,0.0,0.0,0.0,0.0
TPO,0.0,0.009000000000000001,0.0,0.008
UST,3.483,3.574,3.427,4.09
AC018638.6,0.039,0.17600000000000002,0.11,0.0
APOC1P1,0.052000000000000005,0.158,0.149,0.0
CLCNKB,0.0,0.0,0.0,0.022000000000000002
AC127070.2,0.209,0.205,0.27899999999999997,0.262
AC114737.1,0.0,0.0,0.0,0.0
DCAF4L1,0.09300000000000001,0.095,0.10400000000000001,0.07
CDH6,0.0,0.0,0.0,0.0
PLBD1-AS1,6.138999999999999,7.474,7.985,8.174
AL365226.2,0.0,0.0,0.0,0.0
LINC00661,0.0,0.0,0.0,0.0
FAM57A,15.495,15.873,15.604000000000001,15.880999999999998
IREB2,5.4910000000000005,5.353,5.487,5.43
AP001351.1,0.0,0.0,0.0,0.0
OR7E104P,0.0,0.0,0.0,0.0
AC073592.1,0.0,0.0,0.0,0.10300000000000001
RF00426,0.0,0.0,0.0,0.0
AC110760.2,0.0,0.0,0.0,0.0
OSBPL10-AS1,0.0,0.0,0.0,0.0
LENG8-AS1,0.47,0.402,0.46299999999999997,0.515
CYP4A22-AS1,0.0,0.0,0.0,0.071
AC091564.7,14.249,13.950999999999999,14.527000000000001,14.421
SNAP91,0.873,0.915,0.831,0.9009999999999999
ABHD8,6.747000000000001,5.837000000000001,6.442,5.39
AC010175.1,0.0,0.0,0.0,0.0
THAP12P2,0.022000000000000002,0.0,0.0,0.028999999999999998
C9orf78,22.131,22.305,21.838,21.276999999999997
AL359317.1,0.0,0.0,0.0,0.0
RNU6-154P,0.0,0.0,0.0,0.0
AC007560.1,1.4409999999999998,0.94,1.181,0.556
AP005205.3,0.0,0.0,0.036000000000000004,0.0
TBX18,7.205,7.412000000000001,7.473,7.12
AC007608.3,0.0,0.0,0.0,0.0
AC072061.1,0.284,0.166,0.188,0.265
KLF2P4,0.0,0.0,0.0,0.0
NPPB,0.069,0.105,0.0,0.18600000000000003
RPL29P32,0.0,0.0,0.0,0.0
RPL7P61,0.0,0.0,0.0,0.0
MTND6P15,0.0,0.0,0.0,0.0
MAGI2,0.157,0.10800000000000001,0.142,0.13699999999999998
PHF12,2.9730000000000003,3.0660000000000003,3.1710000000000003,3.236
RPLP1,235.69799999999998,234.22099999999998,232.69299999999998,232.865
AC010092.1,0.366,0.418,0.19699999999999998,0.124
MIR3620,6.792999999999999,9.867,6.645,7.082999999999999
AC097347.1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.667,0.0
AP005131.7,0.0,0.0,0.0,0.0
AL157938.3,0.0,0.0,0.0,0.0
AC087280.1,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.0
AC138028.5,0.0,0.133,0.0,0.0
CDC42P2,0.0,0.0,0.0,0.0
OR5BP1P,0.0,0.0,0.0,0.0
AL139354.1,0.0,0.0,0.0,0.0
C14orf119,9.807,9.907,9.052999999999999,9.302
RASA1,13.418,14.757,15.062999999999999,14.583
LINC01270,0.049,0.049,0.0,0.022000000000000002
KRTAP19-2,0.0,0.0,0.0,0.0
RPS6,387.939,386.19599999999997,378.76199999999994,381.45
CAPN10,4.718,4.466,4.313,4.4319999999999995
AC093142.1,0.0,0.0,0.0,0.0
AL132640.2,0.0,0.044000000000000004,0.0,0.039
AC073342.1,0.36700000000000005,0.39899999999999997,0.903,0.496
ZDBF2,3.0389999999999997,3.14,3.2680000000000002,3.032
ZNF581,10.966,10.565,9.514,9.905
STAU1,61.085,62.669,63.988,61.137
MIR3189,0.0,0.0,0.0,0.0
PCDH15,0.0,0.0,0.0,0.0
GPR19,1.9340000000000002,2.207,2.374,2.0069999999999997
AP000777.2,0.09699999999999999,0.0,0.0,0.0
AL357520.1,0.0,0.0,0.0,0.0
AC135803.1,0.777,0.39399999999999996,0.124,0.583
DCUN1D4,5.138,5.004,4.993,5.059
RSL24D1P9,0.0,0.0,0.0,0.0
ARHGAP30,0.0,0.0,0.0,0.013000000000000001
AC020951.1,0.129,0.196,0.308,0.435
MICALL1,19.250999999999998,19.194000000000003,19.772000000000002,18.51
AC007365.1,0.156,0.474,0.0,0.21
PPIAP62,0.0,0.0,0.0,0.0
TMEM106A,0.013999999999999999,0.042,0.039,0.037000000000000005
RNU6-993P,0.0,0.0,0.0,0.0
RN7SL524P,0.0,0.0,0.0,0.0
AC007216.2,0.0,0.0,0.0,0.0
MTND3P17,0.0,0.0,0.0,0.0
AC109439.2,0.929,1.1640000000000001,1.3319999999999999,0.995
AC073365.1,0.0,0.0,0.0,0.0
TMEM251P1,0.0,0.0,0.0,0.0
AC007132.1,0.0,0.0,0.0,0.0
ZNF765,0.701,0.616,0.601,0.6559999999999999
HJURP,43.692,44.629,45.773999999999994,46.483999999999995
RPN2,135.79,132.77700000000002,138.085,138.93200000000002
GPR63,3.655,3.509,3.6710000000000003,3.508
CDC7,15.290999999999999,16.543,15.946,16.682000000000002
AC009336.2,0.18,0.095,0.099,0.11199999999999999
KRT18P22,0.0,0.055,0.0,0.0
AC026801.2,0.125,0.142,0.22399999999999998,0.126
AC243571.1,0.0,0.0,0.0,0.0
AP003170.1,0.18899999999999997,0.14400000000000002,0.0,0.128
TINCR,0.485,0.335,0.537,0.5429999999999999
LYZL6,0.0,0.0,0.0,0.0
KMT5A,15.594000000000001,15.970999999999998,15.164000000000001,15.544
AC015911.6,0.0,0.0,0.0,0.0
RNU6-786P,0.0,0.0,0.0,0.731
CDRT4,0.629,0.728,0.7120000000000001,0.727
AC006994.1,0.0,0.0,0.0,0.0
AC018410.2,0.0,0.0,0.0,0.0
SOCS2P1,0.0,0.0,0.0,0.0
AL021368.4,0.687,1.064,0.9159999999999999,1.041
RPS18P12,0.638,0.647,0.61,1.578
AC009446.1,0.0,0.0,0.0,0.0
GPX1,0.309,0.5329999999999999,0.355,0.39
SPRY4,18.095,16.894000000000002,16.492,18.491
CRELD1,1.156,0.943,1.186,1.307
FKBP1AP1,0.0,0.233,0.0,0.207
FAM136BP,0.0,0.0,0.0,0.0
HIST2H2BF,0.076,0.023,0.0,0.040999999999999995
AC107023.1,0.0,0.0,0.0,0.0
FXYD2,0.004,0.013000000000000001,0.019,0.018000000000000002
GRN,21.888,21.572,22.979,22.829
BRIP1,4.158,4.617,4.16,4.556
AC110056.1,0.0,0.0,0.0,0.07200000000000001
RN7SL649P,0.0,0.0,0.0,0.0
LINC01399,0.242,0.368,0.261,0.408
GAS2L1,15.187999999999999,14.629000000000001,15.76,14.897
NPM1P40,0.0,0.203,0.0,0.09
AL121972.1,0.243,0.0,0.087,0.08199999999999999
RB1-DT,0.0,0.0,0.0,0.0
AL589765.1,0.126,0.0,0.0,0.171
LPAR4,0.0,0.0,0.0,0.0
AC008696.1,0.0,0.0,0.0,0.0
CACNA1B,0.7240000000000001,0.682,0.784,0.758
KDSR,6.14,6.226,6.117000000000001,6.447
SIGLEC20P,0.037000000000000005,0.113,0.107,0.05
MT1L,0.0,0.0,0.0,0.0
TREX1,0.505,0.48700000000000004,0.7979999999999999,0.8640000000000001
LMNB2,133.944,129.666,129.204,129.744
AC108134.4,0.32299999999999995,0.0,0.0,0.0
AC024884.1,0.245,0.18600000000000003,0.175,0.495
AC015908.6,0.0,0.0,0.0,0.0
RF00019,0.0,0.0,0.0,0.593
C1orf116,0.0,0.0,0.013000000000000001,0.024
CFL1,140.571,133.832,136.35,136.717
TUBAP2,8.076,8.285,8.548,8.04
