genes,H1299_polyA_S2-12h-A,H1299_polyA_S2-12h-B
MDH2,138.622,136.106
RPS4XP10,0.0,0.0
ARFGAP2,10.99,10.132
RF00019,0.0,0.0
RPSAP5,0.0,0.0
EIF3C,1.064,1.105
EPYC,0.0,0.0
FAM47E,0.032,0.025
COPZ1,78.366,75.531
AC073648.6,0.0,0.0
RNU4-42P,0.0,0.0
ADHFE1,0.313,0.385
ZNF728,0.0,0.064
AL109610.1,0.0,0.0
NUBP2,10.722000000000001,10.017999999999999
AC023157.2,0.623,0.332
UBBP1,1.765,1.483
RF00019,0.0,0.0
MLC1,0.0,0.0
ACOX1,4.354,4.503
MIR3198-1,0.0,0.0
POU4F3,0.034,0.091
DNAAF2,6.318,6.627999999999999
AC133106.1,0.0,0.0
REST,5.577000000000001,6.325
RAP1GAP2,19.33,19.641
NME4,28.285999999999998,27.53
NR0B2,0.0,0.0
TMEM132D-AS1,0.0,0.021
CHERP,15.62,16.362000000000002
AC092692.1,0.017,0.018000000000000002
AC099689.1,0.0,0.0
TEX43,0.0,0.0
RPL11P4,0.0,0.0
LINC01763,0.0,0.06
AC068299.1,0.0,0.0
AC110774.1,0.0,0.0
AL513165.1,20.680999999999997,20.708000000000002
AL365226.1,0.0,0.134
SPATS1,0.0,0.0
ST13P15,1.072,0.5489999999999999
PAPOLB,0.01,0.011000000000000001
GOLGA8S,0.0,0.0
NEDD8-MDP1,23.005,18.951
AC090993.1,0.0,0.0
AC135352.1,0.0,0.0
CNKSR3,1.265,1.307
AC008496.2,0.0,0.0
RIMKLA,0.19399999999999998,0.171
FP325330.3,0.027999999999999997,0.02
AGAP2,0.046,0.063
SPIN1,21.063000000000002,21.465999999999998
ATP13A5,0.0,0.0
AC024341.1,0.0,0.0
RBPJL,0.0,0.0
AC026786.2,0.0,0.0
Z82196.1,0.0,0.0
AL138688.2,0.0,0.0
LINC00491,0.0,0.0
SERPINA2,0.047,0.0
AL118496.1,0.0,0.052000000000000005
ASAP2,15.265999999999998,16.784000000000002
AC008799.1,0.0,0.0
METTL2B,10.177,10.942
AL021368.3,0.0,0.081
RPL23AP44,0.09300000000000001,0.0
RNU2-59P,0.0,0.0
PRPF40B,1.266,1.2229999999999999
MIR6880,3.898,4.525
MIR4641,0.33299999999999996,1.4169999999999998
RNA5SP530,0.0,0.396
RNU6-490P,0.0,0.0
RN7SL55P,0.0,0.0
AC079776.1,0.076,0.0
PCBP2,64.63,64.127
AL080312.1,0.0,0.0
AL138767.2,0.0,0.278
AL844908.1,0.067,0.0
SCAF1,22.967,22.781
FAM41C,0.0,0.0
GSS,17.116,15.628
COPS8P3,0.0,0.0
SNORD22,15.520999999999999,14.657
AC097480.1,0.0,0.0
C9orf153,0.105,0.048
SLC16A10,0.774,0.865
STAT5A,0.015,0.008
LINC00592,0.21100000000000002,0.16
AC010624.1,0.0,0.031
ACTB,1014.806,1000.1
LINC01132,0.009000000000000001,0.009000000000000001
GLIS3,1.079,1.097
SELENOS,10.104,10.202
SLC49A4,3.162,3.5469999999999997
UROD,22.906,23.546
MTCO1P30,0.152,0.0
TMEM100,0.0,0.0
PLA2G12A,2.491,2.306
AP003170.4,0.0,0.16
AC012498.2,0.0,0.0
RPL7L1P5,0.0,0.0
AL606845.1,0.0,0.0
NKX2-2,0.168,0.08900000000000001
CYP24A1,4.364,4.901
AC024575.1,0.451,0.48
TNNT3,0.0,0.0
AJ003147.2,0.237,0.379
ALDOC,0.32,0.28600000000000003
AC097374.2,0.0,0.0
ASIC5,0.0,0.0
TPO,0.0,0.0
UST,3.056,3.386
AC018638.6,0.0,0.0
APOC1P1,0.21100000000000002,0.091
CLCNKB,0.015,0.0
AC127070.2,0.22899999999999998,0.287
AC114737.1,0.0,0.0
DCAF4L1,0.131,0.149
CDH6,0.0,0.0
PLBD1-AS1,5.53,5.8839999999999995
AL365226.2,0.0,0.0
LINC00661,0.0,0.0
FAM57A,13.637,13.124
IREB2,5.398,5.505
AP001351.1,0.0,0.0
OR7E104P,0.0,0.01
AC073592.1,0.0,0.036000000000000004
RF00426,0.0,0.0
AC110760.2,0.0,0.0
OSBPL10-AS1,0.0,0.0
LENG8-AS1,0.555,0.45
CYP4A22-AS1,0.0,0.051
AC091564.7,15.327,13.794
SNAP91,0.6409999999999999,0.7240000000000001
ABHD8,6.301,6.574
AC010175.1,0.0,0.036000000000000004
THAP12P2,0.0,0.0
C9orf78,23.339000000000002,22.840999999999998
AL359317.1,0.0,0.0
RNU6-154P,0.0,0.0
AC007560.1,0.927,0.19699999999999998
AP005205.3,0.0,0.048
TBX18,7.394,7.245
AC007608.3,0.0,0.0
AC072061.1,0.256,0.419
KLF2P4,0.0,0.0
NPPB,0.124,0.066
RPL29P32,0.0,0.0
RPL7P61,0.0,0.0
MTND6P15,0.0,0.0
MAGI2,0.086,0.099
PHF12,3.141,3.055
RPLP1,236.055,227.919
AC010092.1,0.124,0.307
MIR3620,10.013,7.694
AC097347.1,0.0,0.0
RF00019,0.0,0.0
AP005131.7,0.0,0.0
AL157938.3,0.0,0.0
AC087280.1,0.0,0.047
RF00019,0.862,0.0
AC138028.5,0.0,0.0
CDC42P2,0.0,0.0
OR5BP1P,0.0,0.0
AL139354.1,0.0,0.0
C14orf119,9.779,9.335
RASA1,14.632,14.513
LINC01270,0.028999999999999998,0.016
KRTAP19-2,0.0,0.0
RPS6,384.82099999999997,347.436
CAPN10,4.668,4.452
AC093142.1,0.0,0.0
AL132640.2,0.0,0.040999999999999995
AC073342.1,0.52,0.452
ZDBF2,3.06,3.097
ZNF581,9.856,9.647
STAU1,64.717,64.4
MIR3189,0.0,0.0
PCDH15,0.0,0.0
GPR19,1.8259999999999998,2.12
AP000777.2,0.08800000000000001,0.09300000000000001
AL357520.1,0.0,0.0
AC135803.1,0.544,0.579
DCUN1D4,5.101,4.979
RSL24D1P9,0.09300000000000001,0.0
ARHGAP30,0.0,0.0
AC020951.1,0.32899999999999996,0.32899999999999996
MICALL1,18.902,18.715999999999998
AC007365.1,0.07,0.149
PPIAP62,0.0,0.0
TMEM106A,0.0,0.052000000000000005
RNU6-993P,0.0,0.0
RN7SL524P,0.0,0.0
AC007216.2,0.0,0.0
MTND3P17,0.0,0.0
AC109439.2,0.96,0.759
AC073365.1,0.0,0.0
TMEM251P1,0.0,0.0
AC007132.1,0.0,0.0
ZNF765,0.703,0.6890000000000001
HJURP,55.378,57.548
RPN2,138.805,138.76
GPR63,3.55,3.236
CDC7,15.202,14.302999999999999
AC009336.2,0.087,0.08
KRT18P22,0.0,0.0
AC026801.2,0.11199999999999999,0.179
AC243571.1,0.0,0.0
AP003170.1,0.043,0.045
TINCR,0.556,0.591
LYZL6,0.0,0.0
KMT5A,16.102999999999998,16.713
AC015911.6,0.0,0.0
RNU6-786P,0.0,0.52
CDRT4,0.519,0.713
AC006994.1,0.0,0.0
AC018410.2,0.0,0.0
SOCS2P1,0.0,0.0
AL021368.4,1.193,0.785
RPS18P12,0.9570000000000001,0.509
AC009446.1,0.0,0.0
GPX1,0.297,0.079
SPRY4,16.635,16.252
CRELD1,1.21,1.077
FKBP1AP1,0.138,0.147
FAM136BP,0.0,0.0
HIST2H2BF,0.013999999999999999,0.015
AC107023.1,0.0,0.0
FXYD2,0.008,0.013000000000000001
GRN,21.311999999999998,20.352999999999998
BRIP1,3.734,3.698
AC110056.1,0.0,0.0
RN7SL649P,0.0,0.0
LINC01399,0.436,0.23199999999999998
GAS2L1,15.515,15.662
NPM1P40,0.18,0.064
AL121972.1,0.273,0.057999999999999996
RB1-DT,0.0,0.0
AL589765.1,0.0,0.0
LPAR4,0.0,0.0
AC008696.1,0.0,0.0
CACNA1B,0.763,0.7509999999999999
KDSR,6.007000000000001,6.17
SIGLEC20P,0.034,0.036000000000000004
MT1L,0.0,0.0
TREX1,0.804,0.856
LMNB2,127.631,133.24200000000002
AC108134.4,0.0,0.0
AC024884.1,0.441,0.41
AC015908.6,0.0,0.0
RF00019,0.0,0.0
C1orf116,0.016,0.0
CFL1,138.755,134.97299999999998
TUBAP2,9.017999999999999,9.45
DNASE1L2,0.601,0.5329999999999999
SF3A3P1,2.886,3.545
BEST1,0.02,0.027000000000000003
CSNK1G2P1,0.0,0.0
NDNF,0.098,0.157
SCGB1D2,0.0,0.0
AC012313.4,0.355,0.28300000000000003
BCL7B,36.858000000000004,34.567
AL133410.3,6.287999999999999,5.773
HEPHL1,0.0,0.0
PLK4,10.822000000000001,10.408
PSMD12P,1.319,0.753
RNF6,14.632,14.241
ARHGAP6,0.011000000000000001,0.023
TMEM56-RWDD3,2.812,2.786
PKN2-AS1,0.009000000000000001,0.017
FMR1NB,0.0,0.0
ADAMTS18,0.013000000000000001,0.035
AC007906.2,0.022000000000000002,0.024
LINC01529,0.03,0.0
RNU6-925P,1.69,1.349
USP38,4.498,4.335
IL5,0.0,0.059000000000000004
AL590302.2,0.0,0.0
ETFRF1,4.58,4.645
TIPARP,10.940999999999999,10.715
KRT19,0.019,0.04
PTPN7,0.0,0.0
AP005329.3,11.275,10.905
RNF175,0.0,0.011000000000000001
AC135782.1,0.0,0.022000000000000002
RHBDD1,4.365,4.401
MIR582,0.0,0.0
DNAAF5,29.314,29.433000000000003
RNU4-23P,0.628,1.3359999999999999
MIR3187,0.0,0.0
FEM1AP4,0.0,0.0
CYCS,53.983999999999995,51.287
AL359878.2,0.10800000000000001,0.0
GAD1,2.975,2.927
RRAS,31.145,31.694000000000003
RN7SL653P,0.0,0.0
RNU6-548P,0.382,0.0
AC092375.2,0.0,0.0
AL136982.4,0.18100000000000002,0.078
RNU6-693P,0.0,0.0
AL354936.1,0.0,0.0
GXYLT1P3,0.0,0.0
CEACAMP10,0.0,0.0
SNORA68B,0.0,0.0
QPCT,1.905,1.8
RAE1,14.573,13.98
LINC02135,0.0,0.0
AC092991.1,0.0,0.0
ZNF625,1.341,1.996
MTCO1P6,0.0,0.0
RNF222,0.0,0.0
LINC00567,0.0,0.0
AC079140.3,3.835,3.485
KRT8P25,0.0,0.0
SNORA71E,0.6659999999999999,1.063
AC008761.3,0.0,0.0
AC021074.3,0.0,0.0
NFASC,0.06,0.077
IL12RB2,0.47700000000000004,0.507
YBX1P10,28.892,31.026
LINC01515,0.0,0.0
RAB15,6.152,5.9670000000000005
MUC17,0.0,0.0
OSER1-DT,2.332,2.267
AC005256.1,0.096,0.0
MARVELD1,13.31,13.01
IGHV3-74,0.0,0.0
POC1A,23.939,25.136
AC010327.6,0.08800000000000001,0.09300000000000001
ADO,7.912000000000001,8.302
SFTPC,0.0,0.0
RANBP10,5.138999999999999,5.222
AC005225.1,0.0,0.0
RNU6-485P,0.41100000000000003,0.0
HIST1H4C,1.6159999999999999,0.322
RNU1-120P,0.0,0.0
RPTOR,9.052,9.635
DGLUCY,4.808,4.746
FAM78A,0.07200000000000001,0.06
KRT18P19,0.0,0.066
KIAA1671,3.825,3.945
MIR4682,0.0,0.0
MIR3168,0.0,0.0
GPRC5C,0.011000000000000001,0.012
MTND2P22,0.0,0.0
AL158013.1,2.215,1.2919999999999998
AC069444.2,0.379,0.5429999999999999
AL024507.2,0.973,1.0170000000000001
AC009955.4,0.0,0.0
PREX1,0.23399999999999999,0.18100000000000002
MIR7844,5.043,3.832
GOLGA2P9,0.0,0.0
POMP,67.542,65.208
AL096711.2,4.276,4.452
MARCO,0.0,0.0
STAMBP,7.625,7.705
AL158154.2,0.0,0.0
UQCRFS1P2,0.0,0.0
DSPP,0.0,0.0
AL359999.1,0.0,0.0
AC034243.1,0.225,0.0
GTF2E2,20.133,20.46
FKBP14,3.292,3.67
SF1,53.645,54.78
LINC00266-1,0.0,0.0
AC087242.1,0.0,0.0
AC233964.1,0.0,0.0
AL136439.1,0.0,0.0
AC020763.4,0.0,0.045
NKAIN3-IT1,0.006,0.0
MIR7162,0.0,0.0
SYCP2L,2.3680000000000003,2.319
LINC01510,0.16899999999999998,0.111
RF02271,5.553999999999999,5.266
DKK1,18.421,19.115
STRA6,0.011000000000000001,0.006
RNU6-945P,0.821,0.43700000000000006
CES3,0.054000000000000006,0.019
AC091117.1,0.0,0.0
AC022211.2,0.574,0.722
AL354714.3,0.0,0.0
ZC3H11A,3.472,3.7119999999999997
ABCG5,0.0,0.0
PHYHD1,0.0,0.0
GALT,1.94,1.984
AC012085.1,0.0,0.0
PUM2,21.677,21.971
ZNF695,2.516,2.496
RAD50,6.21,6.1160000000000005
UGT2B27P,0.0,0.0
RPL21P32,0.092,0.098
AL450405.1,15.947000000000001,16.276
PCDH19,0.0,0.0
MYOZ3,0.0,0.008
PTAFR,0.078,0.11699999999999999
NOP2,38.489000000000004,38.531
DPP9,34.739000000000004,36.378
CHD7,9.264,9.469
LGI2,0.07400000000000001,0.05
GPR158,0.35200000000000004,0.375
NAF1,3.6889999999999996,3.7880000000000003
TMED10P1,0.604,0.35700000000000004
LINC02328,0.0,0.0
AC090825.1,1.1909999999999998,1.014
SLCO5A1,0.004,0.013999999999999999
JADE1,5.437,5.6770000000000005
MIR4307,0.0,0.0
OTX1,0.682,0.687
FZD7,10.135,10.747
HAR1A,0.09300000000000001,0.05
AP005482.1,0.0,0.0
AMHR2,0.0,0.0
MX2,0.0,0.0
GRM2,0.0,0.0
MIR3158-1,0.5429999999999999,0.0
TERT,2.158,2.479
PPFIA2,0.046,0.06
LCTL,0.0,0.013000000000000001
AC135507.1,1.018,1.5
MORF4L2-AS1,0.358,0.325
MIR2115,0.0,0.0
AL109763.1,0.0,0.0
AC011944.1,0.0,0.0
C12orf45,0.993,1.046
AC100803.1,0.0,0.0
AL139142.1,0.0,0.0
AC005019.1,0.0,0.0
AC013472.1,0.017,0.0
ABHD16B,0.0,0.0
ACTBP7,0.11699999999999999,0.20800000000000002
KDELR2,43.331,43.07899999999999
ARHGEF16,0.198,0.158
TP53,7.1,7.02
MRPS18CP6,0.0,0.0
ENC1,9.482000000000001,9.405
RPL10P9,0.545,0.36200000000000004
AC083964.1,0.419,0.594
VAT1,22.081,20.774
AC099654.2,0.266,0.213
AC008708.2,0.0,0.042
LINC00703,0.018000000000000002,0.0
NAV2-AS5,0.0,0.0
AC074286.1,0.0,0.049
AF131216.3,0.04,0.043
RNA5SP150,0.0,0.0
SYTL5,0.852,0.655
OR2B8P,0.0,0.05
EIF5AP4,0.0,0.201
AC011095.1,0.0,0.0
TAF11L11,0.0,0.0
PLA2G12AP1,0.309,0.32899999999999996
FOXO6,0.037000000000000005,0.078
AC104655.1,0.0,0.0
OR7E62P,0.0,0.0
DIRAS1,0.9259999999999999,0.727
SSBP3-AS1,0.0,0.0
NR2F6,27.663,29.633000000000003
ZNF696,10.592,10.663
SERPINB3,0.0,0.0
CRYGA,0.0,0.0
TGOLN2,34.330999999999996,35.094
ALG1,7.513999999999999,7.604
RPL31P2,0.11699999999999999,0.124
C6orf47-AS1,0.131,0.0
KERA,0.0,0.0
IGF2-AS,0.0,0.0
AC110609.1,0.0,0.0
RF00026,0.0,0.0
SCARNA13,3.516,4.251
HLA-L,0.38299999999999995,0.391
OR51N1P,0.0,0.0
SEC14L5,1.581,1.66
AC233280.1,0.026000000000000002,0.083
AC111000.1,0.0,0.0
RNY1P16,0.0,0.42100000000000004
PIH1D2,0.693,0.6990000000000001
AC008805.1,0.0,0.0
AC025647.1,0.0,0.185
AC007298.2,0.0,0.054000000000000006
RALGAPA1,0.9059999999999999,0.9209999999999999
AC002550.2,0.223,0.11900000000000001
ASB16-AS1,1.536,1.102
AC063943.1,0.0,0.0
AP5Z1,8.482999999999999,8.841000000000001
AC010997.3,0.11699999999999999,0.040999999999999995
RPL21P66,0.0,0.0
RMI2,3.967,3.3789999999999996
TMEM183A,5.1370000000000005,4.527
AC107375.1,1.3,1.383
SEPT9,16.317,16.148
RHAG,0.0,0.0
GMFB,11.088,12.412
AC040169.1,4.555,4.756
KCNK9,0.0,0.0
ZNF850,6.539,6.712999999999999
EEF1AKMT4,9.799,8.193999999999999
PGM5P3-AS1,0.0,0.0
CAST,18.46,19.813
LENG9,0.413,0.415
BHLHE22,0.027000000000000003,0.013999999999999999
FMC1,16.546,15.497
NFKB2,40.814,40.656
OXCT2P1,0.028999999999999998,0.03
AP000356.1,0.0,0.0
AL050403.2,0.0,0.11
AC133550.2,0.565,0.516
AC116667.2,0.0,0.0
AL627309.1,0.0,0.0
RBMX2P1,0.0,0.0
AC008109.1,5.001,6.17
NF1P12,0.0,0.0
AC108860.1,0.0,0.0
GMFBP1,0.10300000000000001,0.109
AL445465.1,0.0,0.0
APOOP4,0.0,0.0
MAGEA10,11.422,10.427
AC099677.7,0.0,0.0
AC145207.6,0.0,0.0
LMAN1L,0.0,0.0
AL590096.1,0.055999999999999994,0.059000000000000004
LCE6A,0.0,0.0
AC022387.1,0.055,0.23600000000000002
AC011466.1,0.466,0.248
AC093884.1,6.5360000000000005,6.162999999999999
OSBPL9,7.619,7.84
AC134407.2,0.044000000000000004,0.095
OR7E59P,0.0,0.0
KDM3A,6.774,7.045
AC018809.1,0.556,0.423
MIR1266,0.0,0.0
VCL,42.477,42.956
CHST13,0.07400000000000001,0.105
MIR103A1,0.0,0.0
RNU6-106P,0.0,0.0
VAT1L,0.0,0.011000000000000001
AC091167.4,0.0,0.0
RF00019,0.0,0.0
RAI2,0.0,0.0
C22orf31,0.0,0.0
RPSAP16,0.0,0.0
STK40,13.187999999999999,12.651
ST13P13,0.0,0.0
NBN,27.134,28.535
AL356740.1,0.0,0.0
ZRANB2-AS1,0.0,0.0
ARMC8P1,0.0,0.0
DOC2A,0.552,0.49200000000000005
AL590399.3,0.0,0.0
C3orf67,0.818,0.846
CSNK1A1,40.086999999999996,39.534
AP001273.2,9.801,10.904000000000002
CBX3P1,1.587,0.591
ATOH1,0.0,0.0
AL772337.4,0.0,0.0
AC123900.1,0.0,0.0
AC027279.4,0.0,0.0
RAB19,0.0,0.0
AC099850.3,0.0,0.0
ZNF416,2.6069999999999998,2.0580000000000003
HMGN1P28,0.0,0.128
RF01210,0.0,0.0
RPL18AP16,0.083,0.0
ZNF833P,0.193,0.132
HPR,0.0,0.0
AC005307.1,0.0,0.0
UTP23,9.822000000000001,9.718
GDPD5,0.027000000000000003,0.013999999999999999
RNU6-583P,0.955,0.508
ACTR3P2,0.035,0.0
CKMT1A,0.41700000000000004,0.541
AC012360.2,0.0,0.0
AL359273.1,0.073,0.284
SNORA5B,0.6659999999999999,0.531
