"","SYMBOL","GENEID","len"
"74","HES5","ENSG00000273529",1501
"75","TNFRSF14","ENSG00000157873",6219
"76","TNFRSF14","ENSG00000273936",6459
"77","FAM213B","ENSG00000157870",3371
"78","FAM213B","ENSG00000275125",3371
"79","MMEL1","ENSG00000142606",3870
"80","MMEL1","ENSG00000277131",3841
"81","TTC34","ENSG00000215912",8814
"82","TTC34","ENSG00000275571",5657
"83","ACTRT2","ENSG00000169717",1437
"84","PRDM16","ENSG00000142611",9767
"85","ARHGEF16","ENSG00000130762",5324
"86","MEGF6","ENSG00000162591",9021
"87","MIR551A","ENSG00000207776",96
"88","TPRG1L","ENSG00000158109",2401
"89","WRAP73","ENSG00000116213",7634
"90","TP73","ENSG00000078900",6767
"91","TP73-AS1","ENSG00000227372",9701
"92","TP73-AS1","ENSG00000276189",161
"93","CCDC27","ENSG00000162592",4238
"94","SMIM1","ENSG00000235169",981
"95","LRRC47","ENSG00000130764",4509
"96","CEP104","ENSG00000116198",7871
"97","DFFB","ENSG00000169598",3870
"98","C1orf174","ENSG00000198912",4388
"99","AJAP1","ENSG00000196581",12528
"100","MIR4417","ENSG00000264341",73
"101","MIR4689","ENSG00000264101",70
"102","NPHP4","ENSG00000131697",13167
"103","KCNAB2","ENSG00000069424",17329
"104","CHD5","ENSG00000116254",10094
"105","RPL22","ENSG00000116251",4665
"106","RNF207","ENSG00000158286",6595
"107","ICMT","ENSG00000116237",4910
"108","HES3","ENSG00000173673",710
"109","GPR153","ENSG00000158292",4198
"110","ACOT7","ENSG00000097021",4124
"111","HES2","ENSG00000069812",5407
"112","ESPN","ENSG00000187017",6952
"113","MIR4252","ENSG00000265392",63
"114","TNFRSF25","ENSG00000215788",4283
"115","PLEKHG5","ENSG00000171680",7053
"117","NOL9","ENSG00000162408",7271
"118","TAS1R1","ENSG00000173662",2764
"119","ZBTB48","ENSG00000204859",4510
"120","KLHL21","ENSG00000162413",6901
"121","PHF13","ENSG00000116273",3632
"122","THAP3","ENSG00000041988",4072
"123","DNAJC11","ENSG00000007923",5083
"124","CAMTA1","ENSG00000171735",9903
"125","VAMP3","ENSG00000049245",2733
"126","PER3","ENSG00000049246",8099
"127","UTS2","ENSG00000049247",1791
"128","TNFRSF9","ENSG00000049249",6331
"129","PARK7","ENSG00000116288",2397
"130","ERRFI1","ENSG00000116285",4179
"131","SLC45A1","ENSG00000162426",2888
"132","RERE","ENSG00000142599",14112
"133","ENO1","ENSG00000074800",5216
"134","ENO1-AS1","ENSG00000230679",456
"135","CA6","ENSG00000131686",2662
"136","SLC2A7","ENSG00000197241",1539
"137","SLC2A5","ENSG00000142583",6632
"138","GPR157","ENSG00000180758",5304
"140","H6PD","ENSG00000049239",9321
"141","SPSB1","ENSG00000171621",3389
"142","SLC25A33","ENSG00000171612",3865
"143","TMEM201","ENSG00000188807",6981
"144","PIK3CD","ENSG00000171608",6333
"146","CLSTN1","ENSG00000171603",5241
"147","CTNNBIP1","ENSG00000178585",3339
"148","LZIC","ENSG00000162441",5459
"149","NMNAT1","ENSG00000173614",4610
"150","RBP7","ENSG00000162444",862
"151","UBE4B","ENSG00000130939",9237
"152","KIF1B","ENSG00000054523",17720
"154","PGD","ENSG00000142657",3333
"155","APITD1-CORT","ENSG00000251503",2244
"156","APITD1","ENSG00000175279",1748
"157","CORT","ENSG00000241563",1130
"158","DFFA","ENSG00000160049",6625
"159","PEX14","ENSG00000142655",2932
"160","CASZ1","ENSG00000130940",11336
"161","C1orf127","ENSG00000175262",3573
"162","TARDBP","ENSG00000120948",6071
"163","TARDBP","ENSG00000277726",2205
"165","MASP2","ENSG00000009724",4257
"166","SRM","ENSG00000116649",1894
"167","EXOSC10","ENSG00000171824",5991
"168","MTOR","ENSG00000198793",12163
"170","MTOR-AS1","ENSG00000225602",763
"171","ANGPTL7","ENSG00000171819",2224
"172","UBIAD1","ENSG00000120942",5082
"173","PTCHD2","ENSG00000204624",6120
"174","FBXO2","ENSG00000116661",3163
"175","FBXO44","ENSG00000132879",3527
"176","FBXO6","ENSG00000116663",1735
"177","MAD2L2","ENSG00000116670",3324
"178","DRAXIN","ENSG00000162490",7365
"179","AGTRAP","ENSG00000177674",2435
"180","MTHFR","ENSG00000177000",11513
"182","CLCN6","ENSG00000011021",8173
"184","NPPA","ENSG00000175206",1120
"186","NPPB","ENSG00000120937",708
"187","KIAA2013","ENSG00000116685",3281
"188","PLOD1","ENSG00000083444",5320
"189","MFN2","ENSG00000116688",4973
"191","MIIP","ENSG00000116691",2821
"192","TNFRSF8","ENSG00000120949",3812
"193","TNFRSF1B","ENSG00000028137",3778
"194","MIR4632","ENSG00000263676",61
"195","VPS13D","ENSG00000048707",20768
"196","SNORA59B","ENSG00000266079",701
"197","SNORA59A","ENSG00000239149",152
"199","DHRS3","ENSG00000162496",3515
"200","AADACL4","ENSG00000204518",1575
"201","AADACL3","ENSG00000188984",4055
"202","C1orf158","ENSG00000157330",4133
"203","PRAMEF12","ENSG00000116726",1786
"204","PRAMEF1","ENSG00000116721",2439
"205","PRAMEF11","ENSG00000239810",1845
"206","PRAMEF11","ENSG00000279195",1660
"207","HNRNPCL1","ENSG00000179172",1108
"208","PRAMEF2","ENSG00000120952",1642
"209","PRAMEF4","ENSG00000243073",1840
"210","PRAMEF10","ENSG00000187545",1525
"211","PRAMEF8","ENSG00000182330",1937
"212","PRAMEF8","ENSG00000278021",1601
"213","PRAMEF7","ENSG00000204510",1660
"214","PRAMEF6","ENSG00000232423",1784
"215","PRAMEF22","ENSG00000277853",1440
"216","PRAMEF5","ENSG00000270601",1720
"217","PRAMEF5","ENSG00000276420",1855
"218","PRAMEF9","ENSG00000204501",1865
"219","PRAMEF14","ENSG00000204481",2443
"220","PRAMEF19","ENSG00000204480",1440
"221","PRAMEF18","ENSG00000279804",2067
"222","PRAMEF20","ENSG00000204478",1597
"223","PRAMEF17","ENSG00000204479",1578
"224","LRRC38","ENSG00000162494",2168
"225","PDPN","ENSG00000162493",3707
"226","PRDM2","ENSG00000116731",10923
"227","KAZN","ENSG00000189337",13860
"228","TMEM51-AS1","ENSG00000175147",11973
"229","TMEM51","ENSG00000171729",2238
"230","FHAD1","ENSG00000142621",12805
"231","EFHD2","ENSG00000142634",2534
"232","CTRC","ENSG00000162438",3483
"233","CELA2A","ENSG00000142615",1519
"234","CELA2B","ENSG00000215704",1449
"235","CASP9","ENSG00000132906",5269
"236","DNAJC16","ENSG00000116138",8563
"237","AGMAT","ENSG00000116771",3095
"238","DDI2","ENSG00000197312",12178
"239","RSC1A1","ENSG00000215695",1854
"240","PLEKHM2","ENSG00000116786",4134
"241","SLC25A34","ENSG00000162461",3338
"242","TMEM82","ENSG00000162460",1443
"243","FBLIM1","ENSG00000162458",4351
"244","UQCRHL","ENSG00000233954",2180
"245","FLJ37453","ENSG00000179743",2473
"246","SPEN","ENSG00000065526",14336
"247","ZBTB17","ENSG00000116809",4240
"248","C1orf64","ENSG00000183888",3039
"249","HSPB7","ENSG00000173641",3910
"250","CLCNKA","ENSG00000186510",3476
"251","CLCNKB","ENSG00000184908",2939
"252","FAM131C","ENSG00000185519",1720
"253","EPHA2","ENSG00000142627",4141
"254","ARHGEF19","ENSG00000142632",3788
"255","RSG1","ENSG00000132881",1574
"256","FBXO42","ENSG00000037637",9009
"257","SZRD1","ENSG00000055070",4742
"258","SPATA21","ENSG00000187144",4506
"259","NECAP2","ENSG00000157191",5510
"260","CROCCP3","ENSG00000080947",6905
"261","MIR3675","ENSG00000263811",73
"263","NBPF1","ENSG00000219481",12212
"264","CROCCP2","ENSG00000215908",5606
"265","MST1P2","ENSG00000186301",2291
"266","ESPNP","ENSG00000268869",4903
"267","MST1L","ENSG00000186715",5298
"268","CROCC","ENSG00000058453",8875
"269","MFAP2","ENSG00000117122",2712
"270","ATP13A2","ENSG00000159363",5253
"271","SDHB","ENSG00000117118",2324
"273","PADI2","ENSG00000117115",6000
"274","PADI1","ENSG00000142623",4903
"275","PADI1","ENSG00000281459",4903
"276","PADI3","ENSG00000142619",3189
"277","PADI3","ENSG00000280549",3189
"278","PADI4","ENSG00000159339",2971
"279","PADI4","ENSG00000280908",2971
"280","PADI6","ENSG00000276747",2396
"281","PADI6","ENSG00000280949",2396
"282","RCC2","ENSG00000179051",4079
"283","RCC2","ENSG00000281540",4079
"284","ARHGEF10L","ENSG00000074964",7954
"285","ACTL8","ENSG00000117148",1844
"286","IGSF21","ENSG00000117154",3033
"287","KLHDC7A","ENSG00000179023",5145
"288","PAX7","ENSG00000009709",6473
"289","TAS1R2","ENSG00000179002",2542
"290","ALDH4A1","ENSG00000159423",3632
"291","MIR4695","ENSG00000265606",74
"292","IFFO2","ENSG00000169991",6179
"293","UBR4","ENSG00000127481",24661
"294","EMC1","ENSG00000127463",9602
"295","MRTO4","ENSG00000053372",2556
"296","AKR7L","ENSG00000211454",2768
"297","AKR7A3","ENSG00000162482",1215
"298","AKR7A2","ENSG00000053371",1781
"299","PQLC2","ENSG00000040487",2686
"300","CAPZB","ENSG00000077549",3239
"301","MINOS1","ENSG00000173436",5480
"302","NBL1","ENSG00000158747",3596
"303","HTR6","ENSG00000158748",3800
"304","TMCO4","ENSG00000162542",4054
"305","RNF186","ENSG00000178828",1255
"306","OTUD3","ENSG00000169914",6885
"307","PLA2G2E","ENSG00000188784",785
"308","PLA2G2A","ENSG00000188257",1685
"309","PLA2G5","ENSG00000127472",3342
"310","PLA2G2D","ENSG00000117215",2681
"311","PLA2G2F","ENSG00000158786",6440
"312","PLA2G2C","ENSG00000187980",3298
"313","UBXN10","ENSG00000162543",5562
"314","VWA5B1","ENSG00000158816",6377
"315","CAMK2N1","ENSG00000162545",2605
"316","MUL1","ENSG00000090432",2428
"317","FAM43B","ENSG00000183114",2448
"318","CDA","ENSG00000158825",820
"319","PINK1","ENSG00000158828",4833
"320","DDOST","ENSG00000244038",2721
"321","KIF17","ENSG00000117245",4470
"322","SH2D5","ENSG00000189410",4487
"323","HP1BP3","ENSG00000127483",9815
"324","EIF4G3","ENSG00000075151",9596
"325","ECE1","ENSG00000117298",7308
"326","NBPF3","ENSG00000142794",6812
"327","ALPL","ENSG00000162551",2980
"328","RAP1GAP","ENSG00000076864",5755
"329","USP48","ENSG00000090686",9497
"330","LDLRAD2","ENSG00000187942",4494
"331","HSPG2","ENSG00000142798",18118
"332","CELA3B","ENSG00000219073",1540
"333","CELA3A","ENSG00000142789",1226
"334","LINC00339","ENSG00000218510",3764
"335","CDC42","ENSG00000070831",16278
"336","WNT4","ENSG00000162552",4650
"337","ZBTB40","ENSG00000184677",9169
"338","EPHA8","ENSG00000070886",5434
"339","C1QA","ENSG00000173372",1220
"341","C1QC","ENSG00000159189",1332
"343","C1QB","ENSG00000173369",1492
"345","EPHB2","ENSG00000133216",12516
"346","MIR4684","ENSG00000265422",82
"347","MIR4253","ENSG00000264014",68
"348","KDM1A","ENSG00000004487",5440
"349","MIR3115","ENSG00000263793",68
"350","LUZP1","ENSG00000169641",9658
"351","HTR1D","ENSG00000179546",2835
"352","HNRNPR","ENSG00000125944",8676
"353","ZNF436","ENSG00000125945",4786
"354","TCEA3","ENSG00000204219",3675
"355","ASAP3","ENSG00000088280",4988
"356","E2F2","ENSG00000007968",5462
"357","ID3","ENSG00000117318",1496
"358","MDS2","ENSG00000197880",2142
"359","RPL11","ENSG00000142676",2659
"360","TCEB3","ENSG00000011007",5391
"361","PITHD1","ENSG00000057757",2173
"362","LYPLA2","ENSG00000011009",2021
"363","GALE","ENSG00000117308",3955
"364","HMGCL","ENSG00000117305",5628
"365","FUCA1","ENSG00000179163",2047
"366","CNR2","ENSG00000188822",5265
"367","MIR378F","ENSG00000264926",78
"368","PNRC2","ENSG00000189266",2763
"369","SRSF10","ENSG00000188529",11860
"370","MYOM3","ENSG00000142661",9214
"371","IL22RA1","ENSG00000142677",2817
"372","IFNLR1","ENSG00000185436",4940
"373","GRHL3","ENSG00000158055",3940
"374","STPG1","ENSG00000001460",8511
"375","NIPAL3","ENSG00000001461",9396
"376","RCAN3","ENSG00000117602",7138
"377","NCMAP","ENSG00000184454",4146
"378","SRRM1","ENSG00000133226",7922
"379","CLIC4","ENSG00000169504",4467
"380","RUNX3","ENSG00000020633",4523
"381","SYF2","ENSG00000117614",3773
"382","RHD","ENSG00000187010",3313
"383","TMEM50A","ENSG00000183726",3010
"384","RHCE","ENSG00000188672",2433
"385","TMEM57","ENSG00000204178",3979
"386","LDLRAP1","ENSG00000157978",5371
"388","MAN1C1","ENSG00000117643",9026
"389","SEPN1","ENSG00000162430",4421
"390","MTFR1L","ENSG00000117640",5797
"391","AUNIP","ENSG00000127423",2408
"392","PAQR7","ENSG00000182749",3297
"393","STMN1","ENSG00000117632",6247
"395","PAFAH2","ENSG00000158006",3795
"396","EXTL1","ENSG00000158008",4542
"397","SLC30A2","ENSG00000158014",3483
"398","TRIM63","ENSG00000158022",2573
"400","PDIK1L","ENSG00000175087",4560
"401","FAM110D","ENSG00000197245",2799
"402","ZNF593","ENSG00000142684",732
"403","CNKSR1","ENSG00000142675",3960
"404","CATSPER4","ENSG00000188782",2030
"405","CEP85","ENSG00000130695",5145
"406","SH3BGRL3","ENSG00000142669",876
"407","UBXN11","ENSG00000158062",4704
"408","CD52","ENSG00000169442",934
"409","AIM1L","ENSG00000176092",6895
"410","ZNF683","ENSG00000176083",2379
"411","LIN28A","ENSG00000131914",3975
"412","DHDDS","ENSG00000117682",5608
"413","HMGN2","ENSG00000198830",3189
"414","RPS6KA1","ENSG00000117676",5884
"415","RPS6KA1","ENSG00000281877",5884
"416","MIR1976","ENSG00000238705",52
"417","MIR1976","ENSG00000280948",52
"418","ARID1A","ENSG00000117713",15939
"419","PIGV","ENSG00000060642",3382
"420","ZDHHC18","ENSG00000204160",5460
"421","SFN","ENSG00000175793",1308
"422","GPN2","ENSG00000142751",4966
"423","GPATCH3","ENSG00000198746",2226
"424","NR0B2","ENSG00000131910",1165
"425","NUDC","ENSG00000090273",2848
"426","TRNP1","ENSG00000253368",1979
"427","FAM46B","ENSG00000158246",2382
"428","SLC9A1","ENSG00000090020",6195
"429","WDTC1","ENSG00000142784",5911
"430","TMEM222","ENSG00000186501",4476
"431","SYTL1","ENSG00000142765",5584
"432","MAP3K6","ENSG00000142733",5746
"433","FCN3","ENSG00000142748",2167
"435","CD164L2","ENSG00000174950",1994
"436","GPR3","ENSG00000181773",2137
"437","WASF2","ENSG00000158195",5681
"438","AHDC1","ENSG00000126705",8297
"439","FGR","ENSG00000000938",3382
"440","IFI6","ENSG00000126709",842
"441","FAM76A","ENSG00000009780",4034
"442","STX12","ENSG00000117758",3801
"443","PPP1R8","ENSG00000117751",2815
"444","SCARNA1","ENSG00000252947",166
"445","THEMIS2","ENSG00000130775",4621
"446","RPA2","ENSG00000117748",1981
"447","SMPDL3B","ENSG00000130768",2663
"448","XKR8","ENSG00000158156",2229
"449","EYA3","ENSG00000158161",6424
"450","PTAFR","ENSG00000169403",4208
"451","DNAJC8","ENSG00000126698",2892
"452","ATPIF1","ENSG00000130770",2225
"453","SESN2","ENSG00000130766",3462
"454","MED18","ENSG00000130772",2017
"455","PHACTR4","ENSG00000204138",7317
"456","SNHG3","ENSG00000242125",4088
"457","RCC1","ENSG00000180198",3888
"458","TRNAU1AP","ENSG00000180098",4311
"459","SNHG12","ENSG00000197989",4266
"460","SNORD99","ENSG00000221539",74
"461","SNORA61","ENSG00000278274",130
"462","SNORA44","ENSG00000252840",108
"463","SNORA44","ENSG00000273544",132
"464","SNORA16A","ENSG00000274582",137
"465","SNORA16A","ENSG00000280498",135
"466","RAB42","ENSG00000188060",2200
"467","TAF12","ENSG00000120656",2337
"468","RNU11","ENSG00000270103",131
"469","RNU11","ENSG00000274978",134
"470","GMEB1","ENSG00000162419",6459
"471","YTHDF2","ENSG00000198492",3729
"472","OPRD1","ENSG00000116329",9345
"473","EPB41","ENSG00000159023",19993
"474","TMEM200B","ENSG00000253304",2606
"475","SRSF4","ENSG00000116350",8806
"476","MECR","ENSG00000116353",4138
"477","PTPRU","ENSG00000060656",6682
"478","MATN1","ENSG00000162510",4604
"479","MATN1-AS1","ENSG00000186056",4024
"480","LAPTM5","ENSG00000162511",3228
"481","MIR4420","ENSG00000264773",77
"482","SDC3","ENSG00000162512",7065
"483","PUM1","ENSG00000134644",6621
"484","NKAIN1","ENSG00000084628",3320
"485","SNRNP40","ENSG00000060688",3887
"486","ZCCHC17","ENSG00000121766",1921
"487","FABP3","ENSG00000121769",1398
"488","SERINC2","ENSG00000168528",3452
"489","TINAGL1","ENSG00000142910",5281
"490","HCRTR1","ENSG00000121764",2558
"491","PEF1","ENSG00000162517",2223
"492","COL16A1","ENSG00000084636",9253
"493","BAI2","ENSG00000121753",7756
"494","MIR4254","ENSG00000266580",76
"495","SPOCD1","ENSG00000134668",7085
"496","PTP4A2","ENSG00000184007",6708
"497","KHDRBS1","ENSG00000121774",3544
"498","TMEM39B","ENSG00000121775",2787
"499","KPNA6","ENSG00000025800",7457
"500","TXLNA","ENSG00000084652",5114
"501","CCDC28B","ENSG00000160050",2818
"502","IQCC","ENSG00000160051",2478
"503","DCDC2B","ENSG00000222046",1869
"504","TMEM234","ENSG00000160055",3571
"505","EIF3I","ENSG00000084623",1725
"506","MTMR9LP","ENSG00000220785",2961
"507","FAM167B","ENSG00000183615",947
"508","LCK","ENSG00000182866",3339
"509","HDAC1","ENSG00000116478",3966
"510","MARCKSL1","ENSG00000175130",1546
"511","FAM229A","ENSG00000225828",2845
"512","TSSK3","ENSG00000162526",1849
"513","BSDC1","ENSG00000160058",6271
"514","ZBTB8B","ENSG00000273274",12831
"515","ZBTB8A","ENSG00000160062",7077
"516","ZBTB8OS","ENSG00000176261",3531
"517","RBBP4","ENSG00000162521",9470
"518","SYNC","ENSG00000162520",3722
"519","KIAA1522","ENSG00000162522",6020
"520","YARS","ENSG00000134684",8212
"522","S100PBP","ENSG00000116497",9190
"523","FNDC5","ENSG00000160097",3199
"524","HPCA","ENSG00000121905",1964
"525","TMEM54","ENSG00000121900",1417
"526","RNF19B","ENSG00000116514",2610
"527","AK2","ENSG00000004455",9625
"529","TRIM62","ENSG00000116525",3976
"530","ZNF362","ENSG00000160094",3384
"531","PHC2","ENSG00000134686",4975
"532","ZSCAN20","ENSG00000121903",5308
"533","CSMD2","ENSG00000121904",18157
"534","HMGB4","ENSG00000176256",2561
"535","C1orf94","ENSG00000142698",3339
"536","GJB5","ENSG00000189280",1355
"537","GJB4","ENSG00000189433",1444
"538","GJB3","ENSG00000188910",2362
"539","GJA4","ENSG00000187513",1716
"540","SMIM12","ENSG00000163866",10337
"541","DLGAP3","ENSG00000116544",4042
"542","ZMYM6NB","ENSG00000243749",922
"543","ZMYM6","ENSG00000163867",9568
"544","ZMYM1","ENSG00000197056",5205
"545","SFPQ","ENSG00000116560",7419
"546","ZMYM4","ENSG00000146463",7905
"547","KIAA0319L","ENSG00000142687",9619
"548","NCDN","ENSG00000020129",4917
"549","TFAP2E","ENSG00000116819",2272
"550","PSMB2","ENSG00000126067",4528
"551","C1orf216","ENSG00000142686",3049
"552","CLSPN","ENSG00000092853",9591
"553","AGO4","ENSG00000134698",7423
"554","AGO1","ENSG00000092847",13890
"555","AGO3","ENSG00000126070",21153
"556","TEKT2","ENSG00000092850",1959
"557","ADPRHL2","ENSG00000116863",1651
"558","COL8A2","ENSG00000171812",4669
"559","TRAPPC3","ENSG00000054116",3527
"560","MAP7D1","ENSG00000116871",5271
"561","THRAP3","ENSG00000054118",4720
"562","SH3D21","ENSG00000214193",8142
"563","EVA1B","ENSG00000142694",1211
"564","STK40","ENSG00000196182",5590
"565","LSM10","ENSG00000181817",1506
"566","OSCP1","ENSG00000116885",2788
"567","MRPS15","ENSG00000116898",2863
"568","CSF3R","ENSG00000119535",8429
"570","GRIK3","ENSG00000163873",10497
"571","MIR4255","ENSG00000264698",72
"572","ZC3H12A","ENSG00000163874",3091
"573","MEAF6","ENSG00000163875",3487
"574","MIR5581","ENSG00000263675",60
"575","SNIP1","ENSG00000163877",5718
"576","DNALI1","ENSG00000163879",4456
"577","GNL2","ENSG00000134697",5747
"578","RSPO1","ENSG00000169218",3058
"579","C1orf109","ENSG00000116922",4434
"580","CDCA8","ENSG00000134690",2406
"581","EPHA10","ENSG00000183317",8152
"582","MANEAL","ENSG00000185090",3018
"583","YRDC","ENSG00000196449",1848
"584","C1orf122","ENSG00000197982",2231
"585","MTF1","ENSG00000188786",7989
"586","INPP5B","ENSG00000204084",8930
"587","SF3A3","ENSG00000183431",3894
"588","FHL3","ENSG00000183386",2004
"589","UTP11L","ENSG00000183520",3381
"590","POU3F1","ENSG00000185668",2965
"591","MIR3659","ENSG00000265596",99
"592","RRAGC","ENSG00000116954",5116
"593","MYCBP","ENSG00000214114",2773
"594","GJA9","ENSG00000131233",2439
"595","RHBDL2","ENSG00000158315",2826
"596","AKIRIN1","ENSG00000174574",2688
"597","NDUFS5","ENSG00000168653",548
"598","MACF1","ENSG00000127603",42810
"599","BMP8A","ENSG00000183682",5636
"600","PPIEL","ENSG00000243970",5416
"601","PABPC4","ENSG00000090621",6782
"602","SNORA55","ENSG00000201457",135
"603","HEYL","ENSG00000163909",4077
"604","NT5C1A","ENSG00000116981",1107
"605","HPCAL4","ENSG00000116983",4758
"606","PPIE","ENSG00000084072",11124
"607","BMP8B","ENSG00000116985",4826
"608","OXCT2","ENSG00000198754",1826
"609","TRIT1","ENSG00000043514",6533
"610","MFSD2A","ENSG00000168389",4007
"611","CAP1","ENSG00000131236",3814
"612","PPT1","ENSG00000131238",5088
"614","RLF","ENSG00000117000",6232
"615","TMCO2","ENSG00000188800",846
"616","ZMPSTE24","ENSG00000084073",3439
"618","COL9A2","ENSG00000049089",4215
"619","SMAP2","ENSG00000084070",3601
"620","ZFP69B","ENSG00000187801",2566
"621","ZFP69","ENSG00000187815",3173
"622","EXO5","ENSG00000164002",3092
"623","ZNF684","ENSG00000117010",3101
"624","RIMS3","ENSG00000117016",7259
"625","NFYC","ENSG00000066136",5990
"626","MIR30E","ENSG00000198974",92
"627","MIR30C1","ENSG00000207962",89
"628","KCNQ4","ENSG00000117013",4408
"629","CITED4","ENSG00000179862",1310
"630","CTPS1","ENSG00000171793",11164
"631","SLFNL1-AS1","ENSG00000281207",4800
"632","SLFNL1","ENSG00000171790",4310
"633","SCMH1","ENSG00000010803",4447
"634","EDN2","ENSG00000127129",1649
"635","HIVEP3","ENSG00000127124",14625
"636","GUCA2B","ENSG00000044012",604
"637","GUCA2A","ENSG00000197273",597
"638","FOXJ3","ENSG00000198815",6896
"639","RIMKLA","ENSG00000177181",10638
"640","ZMYND12","ENSG00000066185",2181
"641","PPCS","ENSG00000127125",3412
"642","CCDC30","ENSG00000186409",25206
"643","PPIH","ENSG00000171960",1446
"644","YBX1","ENSG00000065978",3395
"645","CLDN19","ENSG00000164007",3602
"646","C1orf50","ENSG00000164008",5286
"647","CCDC23","ENSG00000177868",1353
"648","ERMAP","ENSG00000164010",5720
"649","ZNF691","ENSG00000164011",2036
"650","SLC2A1","ENSG00000117394",4416
"651","SLC2A1-AS1","ENSG00000227533",4275
"652","FAM183A","ENSG00000186973",843
"653","EBNA1BP2","ENSG00000117395",3561
"654","TMEM125","ENSG00000179178",2138
"655","C1orf210","ENSG00000253313",1522
"656","TIE1","ENSG00000066056",6705
"657","MPL","ENSG00000117400",3937
"659","CDC20","ENSG00000117399",2012
"660","ELOVL1","ENSG00000066322",2506
"661","MED8","ENSG00000159479",2704
"662","SZT2","ENSG00000198198",26354
"663","HYI","ENSG00000178922",2740
"664","PTPRF","ENSG00000142949",10712
"665","KDM4A","ENSG00000066135",5184
"666","KDM4A-AS1","ENSG00000236200",4217
"667","ST3GAL3","ENSG00000126091",19475
"668","ARTN","ENSG00000117407",2657
"669","IPO13","ENSG00000117408",5072
"670","DPH2","ENSG00000132768",2930
"671","ATP6V0B","ENSG00000117410",3239
"672","B4GALT2","ENSG00000117411",3772
"673","CCDC24","ENSG00000159214",3563
"674","SLC6A9","ENSG00000196517",5249
"675","KLF17","ENSG00000171872",3160
"676","DMAP1","ENSG00000178028",5599
"677","ERI3","ENSG00000117419",2785
"678","RNF220","ENSG00000187147",9687
"679","MIR5584","ENSG00000263381",60
"680","TMEM53","ENSG00000126106",3561
"681","C1orf228","ENSG00000198520",3290
"682","KIF2C","ENSG00000142945",3646
"683","RPS8","ENSG00000142937",2781
"684","SNORD55","ENSG00000264294",80
"685","SNORD46","ENSG00000200913",104
"686","SNORD46","ENSG00000201009",104
"687","SNORD46","ENSG00000251830",102
"688","SNORD38A","ENSG00000202031",70
"689","SNORD38B","ENSG00000207421",67
"690","SNORD38B","ENSG00000281859",69
"691","BEST4","ENSG00000142959",2512
"692","PLK3","ENSG00000173846",3327
